epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,learning_rate,loss,val_direction_macro_f1,val_direction_output_accuracy,val_direction_output_loss,val_domain_score,val_fall_f1,val_fall_output_accuracy,val_fall_output_loss,val_loss
0,0.20105288922786713,0.1411019265651703,0.8488342761993408,0.36672353744506836,0.0010000000474974513,0.5782236456871033,0.20739064856711917,0.11780454963445663,0.09616407006978989,0.20739064856711917,0.0,0.9022757411003113,0.6281278133392334,0.7302057147026062
1,0.3712709844112396,0.1279941350221634,0.8992228507995605,0.25730428099632263,0.0010000000474974513,0.4273485243320465,0.13333333333333333,0.02811245061457157,0.09653026610612869,0.13333333333333333,0.0,0.9022757411003113,0.6613759994506836,0.753801167011261
2,0.6069190502166748,0.12265844643115997,0.9383304119110107,0.18080824613571167,0.0010000000474974513,0.36716362833976746,0.20454545454545456,0.9544845819473267,0.09709631651639938,0.20454545454545456,0.0,0.9022757411003113,0.6927536129951477,0.779381275177002
3,0.5783404111862183,0.11856739223003387,0.9511155486106873,0.14855198562145233,0.0010000000474974513,0.3278060257434845,0.20454545454545456,0.9544845819473267,0.09763709455728531,0.20454545454545456,0.0,0.9022757411003113,0.7908474802970886,0.8640482425689697
4,0.6801203489303589,0.10755590349435806,0.954123854637146,0.15269678831100464,0.0010000000474974513,0.31774455308914185,0.20454545454545456,0.9451137781143188,0.1011490449309349,0.20454545454545456,0.0,0.9022757411003113,0.9129762053489685,0.9764655828475952
5,0.6006518006324768,0.09971263259649277,0.9518676400184631,0.14330968260765076,0.0010000000474974513,0.290950208902359,0.34985935302391,0.5261043906211853,0.10349192470312119,0.34985935302391,0.0,0.9022757411003113,0.9872514605522156,1.0459908246994019
6,0.641263484954834,0.09633508324623108,0.9553772807121277,0.13038796186447144,0.0010000000474974513,0.2747705578804016,0.2208994708994709,0.12315930426120758,0.10345926135778427,0.2208994708994709,0.0,0.9022757411003113,1.0980782508850098,1.1447876691818237
7,0.576585590839386,0.09789236634969711,0.9701679348945618,0.11038471013307571,0.0010000000474974513,0.22773993015289307,0.18111214662938802,0.07898259907960892,0.10372451692819595,0.18111214662938802,0.0,0.9022757411003113,1.2280977964401245,1.2593845129013062
8,0.5254449844360352,0.08355974406003952,0.9092504382133484,0.21347878873348236,0.0010000000474974513,0.32282310724258423,0.4590643274853801,0.6465863585472107,0.09382224828004837,0.5380116959064327,0.07894736842105263,0.9062918424606323,1.0058435201644897,1.0430376529693604
9,0.5675607919692993,0.0724516361951828,0.9596390128135681,0.11648563295602798,0.0010000000474974513,0.22569531202316284,0.46959646213377554,0.4457831382751465,0.09363626688718796,0.6445964621337755,0.175,0.9116466045379639,0.9768646359443665,1.0119035243988037
10,0.5319628715515137,0.07066275924444199,0.9681624174118042,0.09191734343767166,0.0010000000474974513,0.1973927915096283,0.36249371543489195,0.27978581190109253,0.09076377004384995,0.9720175249587015,0.6095238095238096,0.9451137781143188,0.771223247051239,0.8104278445243835
11,0.6006518006324768,0.06358198821544647,0.9786913990974426,0.055980417877435684,0.0005000000237487257,0.14720334112644196,0.4299613487938158,0.42971888184547424,0.08887100964784622,1.0654753674854045,0.6355140186915887,0.9477911591529846,0.808213472366333,0.8395877480506897
12,0.553271472454071,0.0512571819126606,0.9799448251724243,0.06161581724882126,0.0005000000237487257,0.1334812045097351,0.5106060606060606,0.41767069697380066,0.08320031315088272,1.1833333333333333,0.6727272727272727,0.9518072009086609,0.7579424977302551,0.7853883504867554
13,0.5916270017623901,0.0463387593626976,0.9741789698600769,0.061505191028118134,0.0005000000237487257,0.13028013706207275,0.5729468599033817,0.59303879737854,0.0777599886059761,1.382470669427191,0.8095238095238095,0.9678714871406555,0.5875424742698669,0.6201017498970032
