epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,loss,val_direction_output_accuracy,val_direction_output_loss,val_fall_output_accuracy,val_fall_output_loss,val_loss,learning_rate
1,0.4037522077560425,0.11497941613197327,0.8696714043617249,0.34224334359169006,0.5150466561317444,0.8660385012626648,0.06987589597702026,0.9340434074401855,0.5744062066078186,0.692417323589325,0.0010000000474974513
2,0.4591474235057831,0.09955170005559921,0.9197935461997986,0.22896108031272888,0.3784055709838867,0.6612043976783752,0.05598226562142372,0.9643588662147522,0.21364113688468933,0.2964046895503998,0.0010000000474974513
3,0.45981350541114807,0.09184017032384872,0.9292295575141907,0.19458891451358795,0.332008421421051,0.4145841896533966,0.04682798311114311,0.9520688056945801,0.21999847888946533,0.2894476354122162,0.0010000000474974513
4,0.4571492075920105,0.08306895196437836,0.9400532841682434,0.17892491817474365,0.30361610651016235,0.4522736668586731,0.044208984822034836,0.9319950938224792,0.18458542227745056,0.2363901287317276,0.0010000000474974513
5,0.45981350541114807,0.07228216528892517,0.9438276886940002,0.1532972902059555,0.2618505358695984,0.410077840089798,0.045609358698129654,0.9151986837387085,0.22036342322826385,0.26906946301460266,0.0010000000474974513
6,0.5160412788391113,0.060699883848428726,0.9540408253669739,0.13434933125972748,0.2255629450082779,0.4559606611728668,0.04180971905589104,0.95698481798172,0.34001731872558594,0.40254056453704834,0.0010000000474974513
7,0.5434058904647827,0.05747966840863228,0.952264666557312,0.13556340336799622,0.22202269732952118,0.6931585669517517,0.0487016886472702,0.9455141425132751,0.16968663036823273,0.2306985855102539,0.0010000000474974513
8,0.5560057759284973,0.04765870049595833,0.9592029452323914,0.11543288826942444,0.18687324225902557,0.525604248046875,0.03601639345288277,0.9455141425132751,0.19749154150485992,0.2411099523305893,0.0010000000474974513
9,0.5628330111503601,0.04116078466176987,0.960313081741333,0.11754916608333588,0.17911531031131744,0.654240071773529,0.03964627534151077,0.8750512003898621,0.2419786900281906,0.2951684594154358,0.0010000000474974513
10,0.56116783618927,0.041261762380599976,0.965031087398529,0.10875155031681061,0.17077867686748505,0.5645227432250977,0.03239256143569946,0.9123309850692749,0.2245751917362213,0.2551977038383484,0.0010000000474974513
11,0.6059058904647827,0.031393177807331085,0.9666407704353333,0.09963488578796387,0.14664621651172638,0.7574764490127563,0.0507727786898613,0.9520688056945801,0.19443783164024353,0.2651859223842621,0.0010000000474974513
12,0.6264986395835876,0.03080153651535511,0.9652531147003174,0.10226283222436905,0.14819715917110443,0.5112658739089966,0.04228019341826439,0.9389594197273254,0.188339501619339,0.24074800312519073,0.0005000000237487257
13,0.62766432762146,0.02122117206454277,0.9731904864311218,0.07595113664865494,0.10795853286981583,0.6128636002540588,0.037832748144865036,0.940188467502594,0.1747862696647644,0.2259383201599121,0.0005000000237487257
14,0.6296625137329102,0.016519932076334953,0.9759657979011536,0.06334609538316727,0.08827392011880875,0.6022121906280518,0.04764895886182785,0.950430154800415,0.19871093332767487,0.26423200964927673,0.0005000000237487257
15,0.634380578994751,0.014767213724553585,0.9766873717308044,0.06552845984697342,0.08763005584478378,0.6812781691551208,0.052533768117427826,0.9619008898735046,0.22948642075061798,0.31211617588996887,0.0005000000237487257
16,0.6372113823890686,0.013701183721423149,0.975466251373291,0.06214408949017525,0.0827413946390152,0.5931994915008545,0.048317521810531616,0.9430561065673828,0.24130623042583466,0.29814520478248596,0.0005000000237487257
17,0.6432060599327087,0.015487604774534702,0.9789076447486877,0.058242641389369965,0.08160864561796188,0.5952478647232056,0.04357505962252617,0.9602621793746948,0.2141278088092804,0.2739369571208954,0.0005000000237487257
18,0.6249445080757141,0.011881367303431034,0.9801842570304871,0.054534684866666794,0.07246451079845428,0.6575174331665039,0.04460703209042549,0.9541171789169312,0.2001647651195526,0.2587231695652008,0.0002500000118743628
19,0.6627442240715027,0.009745932184159756,0.9835701584815979,0.044406283646821976,0.05893493816256523,0.7029905915260315,0.043981440365314484,0.965587854385376,0.22479747235774994,0.29504209756851196,0.0002500000118743628
20,0.6457037925720215,0.008576045744121075,0.9855128526687622,0.04178179055452347,0.054730724543333054,0.5809094905853271,0.04436158388853073,0.9614911675453186,0.21518264710903168,0.28326037526130676,0.0002500000118743628
21,0.6500887870788574,0.0067468322813510895,0.9862899780273438,0.03818777948617935,0.048137303441762924,0.6603850722312927,0.04910334199666977,0.9545268416404724,0.2359343320131302,0.30838608741760254,0.0002500000118743628
22,0.6375443935394287,0.005614423658698797,0.9861234426498413,0.03632295876741409,0.04481113702058792,0.5968865156173706,0.05136039853096008,0.9549365043640137,0.24585746228694916,0.3215896487236023,0.0002500000118743628
23,0.6449822187423706,0.0059436592273414135,0.9830151200294495,0.04212348535656929,0.0511038713157177,0.6669397950172424,0.05316051468253136,0.9528881311416626,0.22317086160182953,0.30130383372306824,0.0001250000059371814
