epoch,direction_output_loss,fall_output_loss,learning_rate,loss,val_direction_output_loss,val_fall_output_loss,val_loss
0,0.14053399860858917,0.3686732053756714,0.0010000000474974513,0.5793274641036987,0.10326036065816879,0.6656993627548218,0.7479631304740906
1,0.11761309951543808,0.25011542439460754,0.0010000000474974513,0.42511507868766785,0.10411133617162704,0.752495288848877,0.8168013691902161
2,0.10847941786050797,0.20579397678375244,0.0010000000474974513,0.3685974180698395,0.10357368737459183,0.8352102637290955,0.8830296397209167
3,0.11302212625741959,0.17443214356899261,0.0010000000474974513,0.34471485018730164,0.10216345638036728,0.9820254445075989,1.0036654472351074
4,0.10051018744707108,0.12267018109560013,0.0005000000237487257,0.27045223116874695,0.10081148147583008,1.10762619972229,1.1042026281356812
5,0.09381704777479172,0.10115545243024826,0.0005000000237487257,0.24280093610286713,0.09575599431991577,0.901181161403656,0.8995459079742432
6,0.08476246148347855,0.07775110751390457,0.0005000000237487257,0.20529232919216156,0.08821269869804382,0.7594935297966003,0.7725005149841309
7,0.07938483357429504,0.06937271356582642,0.0002500000118743628,0.18889038264751434,0.07708673924207687,0.38049960136413574,0.44641101360321045
8,0.07623482495546341,0.059295427054166794,0.0002500000118743628,0.17318519949913025,0.07039964199066162,0.42001137137413025,0.4702109396457672
9,0.06785716116428375,0.04915178194642067,0.0002500000118743628,0.15177226066589355,0.06587141752243042,0.2546842396259308,0.32547399401664734
10,0.07205791771411896,0.04836364835500717,0.0002500000118743628,0.15645554661750793,0.06815975904464722,0.30600693821907043,0.36869168281555176
11,0.06330795586109161,0.048568420112133026,0.0002500000118743628,0.14349913597106934,0.07378502935171127,0.3301064968109131,0.39169541001319885
12,0.0657396912574768,0.04966346547007561,0.0002500000118743628,0.14589300751686096,0.08299628645181656,0.2799782454967499,0.36790090799331665
13,0.06006663292646408,0.048831481486558914,0.0001250000059371814,0.13779814541339874,0.08412700891494751,0.20065607130527496,0.3100394606590271
14,0.0611540786921978,0.03747865930199623,0.0001250000059371814,0.129861980676651,0.07365762442350388,0.1884259730577469,0.28104710578918457
15,0.05532800406217575,0.03918374702334404,0.0001250000059371814,0.12251802533864975,0.07746321707963943,0.19907307624816895,0.2980184257030487
16,0.053274206817150116,0.029735183343291283,0.0001250000059371814,0.10994076728820801,0.06815893203020096,0.19425217807292938,0.28169700503349304
17,0.047648344188928604,0.032388344407081604,0.0001250000059371814,0.10433371365070343,0.06542942672967911,0.21356342732906342,0.2958918511867523
18,0.05022885277867317,0.032141171395778656,6.25000029685907e-05,0.10748124867677689,0.0701151117682457,0.20605069398880005,0.2962261140346527
19,0.044297199696302414,0.030931223183870316,6.25000029685907e-05,0.09735310077667236,0.07907453924417496,0.22915440797805786,0.3310045003890991
20,0.04772358015179634,0.03020775318145752,6.25000029685907e-05,0.10206087678670883,0.07548408955335617,0.217240110039711,0.31244394183158875
21,0.04586723819375038,0.02726949378848076,3.125000148429535e-05,0.09635443985462189,0.08166393637657166,0.21449632942676544,0.319286584854126
