id,experiment_type,model,train_datasets,test_datasets,test_split,n_train,n_val,n_test,n_train_direction,n_val_direction,n_test_direction,note,feature_set,direction_loss_type,lambda_direction,fall_loss_weighted,augment,fall_accuracy,fall_precision,fall_recall,fall_f1,direction_num_supervised,direction_accuracy,direction_macro_f1,params,fp32_kb,estimated_int8_kb,inference_latency_ms,weda_fall_f1,weda_direction_macro_f1,weda_direction_num_supervised,direction_forward_precision,direction_forward_recall,direction_forward_f1,direction_backward_precision,direction_backward_recall,direction_backward_f1,direction_lateral_precision,direction_lateral_recall,direction_lateral_f1,experiment_id,fall_confusion_matrix,direction_confusion_matrix,bits_fall_f1,bits_direction_macro_f1,bits_direction_num_supervised
CBW_E1,clean_bits_weda,A5WCEFW,bits,weda,all,2501,528,1879,172,36,350,Train BITS only; test all WEDA windows. HIFD/UMAFall are filtered out before splits.,tilt12,weighted_ce,1.5,True,False,0.7126130920702501,0.3927765237020316,0.9942857142857143,0.5631067961165048,350,0.4228571428571429,0.34246741906316375,65959,257.65234375,64.4130859375,58.91468666668516,0.5631067961165048,0.34246741906316375,350.0,0.47342995169082125,0.7777777777777778,0.5885885885885885,0.3333333333333333,0.015873015873015872,0.030303030303030304,0.35036496350364965,0.4897959183673469,0.4085106382978723,E1,"[[991, 538], [2, 348]]","[[98, 2, 26], [61, 2, 63], [48, 2, 48]]",,,
CBW_E2,clean_bits_weda,A5WCEFW,weda,bits,all,1488,219,3557,300,25,244,Train WEDA only; test all BITS windows. HIFD/UMAFall are filtered out before splits.,tilt12,weighted_ce,1.5,True,False,0.9086308687095868,0.0,0.0,0.0,244,0.4959016393442623,0.2210045662100457,65959,257.65234375,64.4130859375,59.52183666668134,,,,0.4959016393442623,1.0,0.663013698630137,0.0,0.0,0.0,0.0,0.0,0.0,E2,"[[3232, 0], [325, 0]]","[[121, 0, 0], [41, 0, 0], [82, 0, 0]]",0.0,0.2210045662100457,244.0
CBW_E3,clean_bits_weda_mixed,A5WCEFW,bits+weda,bits+weda,test,3989,747,700,472,61,61,"Train BITS+WEDA train splits, validate on BITS+WEDA val splits, test on BITS+WEDA test splits.",tilt12,weighted_ce,1.5,True,False,0.97,0.8823529411764706,0.821917808219178,0.851063829787234,61,0.7213114754098361,0.6999233716475096,65959,257.65234375,64.4130859375,76.43235333331782,0.84,0.6349206349206349,25.0,0.7419354838709677,0.8518518518518519,0.7931034482758621,0.8,0.5333333333333333,0.64,0.65,0.6842105263157895,0.6666666666666666,E3,"[[619, 8], [13, 60]]","[[23, 1, 3], [3, 8, 4], [5, 1, 13]]",0.8571428571428571,0.752934752934753,36.0
