epoch,direction_kd_output_loss,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,loss,val_direction_kd_output_loss,val_direction_output_accuracy,val_direction_output_loss,val_fall_output_accuracy,val_fall_output_loss,val_loss,val_fall_f1,val_direction_macro_f1,val_domain_score,learning_rate
1,0.021555151790380478,0.5338834524154663,0.04939655959606171,0.9824956059455872,0.052684471011161804,0.19686250388622284,0.011823773384094238,0.427807480096817,0.0554986409842968,0.874331533908844,0.3059602975845337,0.6545286774635315,0.5727272727272728,0.7692307692307692,1.341958041958042,0.0010000000474974513
2,0.020539728924632072,0.5263816118240356,0.04472700133919716,0.9887471795082092,0.03389248624444008,0.15208177268505096,0.029919130727648735,0.6978609561920166,0.07748489826917648,0.9465240836143494,0.34090209007263184,0.8021914958953857,0.7727272727272727,0.7532575757575758,1.5259848484848484,0.0010000000474974513
3,0.018951741978526115,0.5601400136947632,0.04178488627076149,0.9817454218864441,0.05259152129292488,0.18381480872631073,0.02879808284342289,0.26871657371520996,0.05613383650779724,0.9197860956192017,0.2979464530944824,0.6885513067245483,0.6907216494845361,0.6783354549311996,1.3690571044157358,0.0010000000474974513
4,0.02413008362054825,0.5298824906349182,0.04840884730219841,0.9837459325790405,0.05073574185371399,0.19873011112213135,0.013825733214616776,0.4224599003791809,0.05056522414088249,0.9438502788543701,0.18565364181995392,0.4309307336807251,0.7692307692307693,0.7655011655011655,1.5347319347319348,0.0010000000474974513
5,0.01833196170628071,0.5571392774581909,0.039195653051137924,0.9869967699050903,0.04536251723766327,0.1622304618358612,0.021978305652737617,0.5681818127632141,0.06798382848501205,0.9558823704719543,0.2033085823059082,0.5007350444793701,0.8047337278106509,0.7416693453337619,1.546403073144413,0.0010000000474974513
6,0.016284307464957237,0.5428857207298279,0.03671273961663246,0.9924980998039246,0.026302453130483627,0.12276478111743927,0.016336428001523018,0.4946524202823639,0.05701303482055664,0.9398396015167236,0.25066888332366943,0.5758001208305359,0.7486033519553073,0.6944769330734243,1.4430802850287314,0.0010000000474974513
7,0.016397662460803986,0.5316329002380371,0.033635251224040985,0.9884971380233765,0.031215308234095573,0.12908625602722168,0.013859030790627003,0.5601603984832764,0.04631622135639191,0.9665775299072266,0.2646932005882263,0.5935308933258057,0.8427672955974843,0.7798160173160174,1.6225833129135017,0.0010000000474974513
8,0.013053122907876968,0.5666416883468628,0.03330569341778755,0.9924980998039246,0.021590067073702812,0.10287418961524963,0.023527033627033234,0.5120320916175842,0.05043646693229675,0.9719251394271851,0.4602113664150238,0.914171576499939,0.8467153284671532,0.7078403078403078,1.554555636307461,0.0010000000474974513
9,0.01174692902714014,0.5473868250846863,0.030502885580062866,0.9957489371299744,0.01781156100332737,0.08958923816680908,0.01626495271921158,0.5066844820976257,0.05345051363110542,0.9318181872367859,0.3372363746166229,0.7494656443595886,0.7243243243243244,0.7391941391941392,1.4635184635184637,0.0005000000237487257
10,0.011024321429431438,0.5558889508247375,0.027125999331474304,0.9934983849525452,0.01628359779715538,0.08228499442338943,0.016761502251029015,0.5481283664703369,0.05600999295711517,0.9732620120048523,0.3736143410205841,0.7922413945198059,0.863013698630137,0.7049472339853465,1.5679609326154835,0.0005000000237487257
