epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,loss,val_direction_output_accuracy,val_direction_output_loss,val_fall_output_accuracy,val_fall_output_loss,val_loss,val_fall_f1,val_direction_macro_f1,val_domain_score,learning_rate
1,0.38184547424316406,0.14101475477218628,0.8749687671661377,0.3150767385959625,0.4557516276836395,0.48796790838241577,0.10330134630203247,0.9024063944816589,0.6586036682128906,0.6990204453468323,0.0,0.1937984496124031,0.1937984496124031,0.0010000000474974513
2,0.4348587095737457,0.11623827368021011,0.9182295799255371,0.21477147936820984,0.32932034134864807,0.9545454382896423,0.10350397974252701,0.9024063944816589,0.7306103706359863,0.7535046339035034,0.0,0.20454545454545456,0.20454545454545456,0.0010000000474974513
3,0.45536383986473083,0.1116378977894783,0.9379844665527344,0.17655007541179657,0.2886234521865845,0.6122994422912598,0.10422269254922867,0.9024063944816589,0.8679167628288269,0.8670098781585693,0.0,0.25312899106002557,0.25312899106002557,0.0010000000474974513
4,0.5663915872573853,0.11436692625284195,0.9527381658554077,0.1325065940618515,0.24696297943592072,0.024064170196652412,0.1058591678738594,0.9024063944816589,1.0621315240859985,1.0343290567398071,0.0,0.13157894736842105,0.13157894736842105,0.0010000000474974513
5,0.5188797116279602,0.10125962644815445,0.9697424173355103,0.08837816119194031,0.18708792328834534,0.029411764815449715,0.1054423451423645,0.9024063944816589,1.249363899230957,1.1927156448364258,0.0,0.13157894736842105,0.13157894736842105,0.0005000000237487257
6,0.483370840549469,0.09497193992137909,0.9729932546615601,0.07706265896558762,0.17232103645801544,0.10561497509479523,0.10245843976736069,0.9171122908592224,1.0639991760253906,1.0193787813186646,0.2619047619047619,0.2625745950554135,0.5244793569601753,0.0005000000237487257
7,0.4571142792701721,0.09128629416227341,0.974743664264679,0.06823087483644485,0.15962961316108704,0.1256684511899948,0.09620177745819092,0.9545454382896423,0.6020705103874207,0.6230051517486572,0.7017543859649122,0.3117408906882591,1.0134952766531713,0.0005000000237487257
8,0.4771192669868469,0.08715011179447174,0.9807451963424683,0.05631332844495773,0.14370083808898926,0.18850266933441162,0.08452519029378891,0.9558823704719543,0.5856041312217712,0.6029012799263,0.7226890756302521,0.40732265446224253,1.1300117300924946,0.0005000000237487257
9,0.443360835313797,0.08502297848463058,0.9834958910942078,0.051677998155355453,0.13659094274044037,0.30481284856796265,0.06982441991567612,0.9719251394271851,0.4598154127597809,0.49710583686828613,0.8421052631578947,0.6978234896888473,1.539928752846742,0.0005000000237487257
10,0.4666166603565216,0.0752100870013237,0.9897474646568298,0.03565361350774765,0.11131856590509415,0.5494652390480042,0.0635540708899498,0.9745989441871643,0.4400383532047272,0.48134008049964905,0.8592592592592593,0.6764470097803432,1.5357062690396024,0.0005000000237487257
11,0.5093773603439331,0.07153729349374771,0.9859964847564697,0.04249953106045723,0.11349696666002274,0.5868983864784241,0.05883314087986946,0.9652406573295593,0.4146575629711151,0.4486798048019409,0.821917808219178,0.5958142050096074,1.4177320132287854,0.0005000000237487257
12,0.5013753175735474,0.06865523755550385,0.988997220993042,0.045022979378700256,0.11268610507249832,0.49331551790237427,0.06118087098002434,0.9585561752319336,0.2747753858566284,0.3286890387535095,0.8074534161490683,0.6296296296296297,1.437083045778698,0.0005000000237487257
13,0.49262315034866333,0.06384440511465073,0.9852463006973267,0.044784579426050186,0.10819502174854279,0.5868983864784241,0.06510412693023682,0.9639037251472473,0.2846031188964844,0.3364901542663574,0.8258064516129032,0.6272186147186147,1.4530250663315178,0.0005000000237487257
14,0.558639645576477,0.06419515609741211,0.9852463006973267,0.04146061837673187,0.10553757101297379,0.5467914342880249,0.061047691851854324,0.9532085657119751,0.2736097574234009,0.326715886592865,0.7904191616766467,0.6440781440781441,1.4344973057547907,0.0005000000237487257
15,0.5918979644775391,0.06215333938598633,0.9897474646568298,0.036840490996837616,0.09925954043865204,0.6363636255264282,0.060483068227767944,0.9679144620895386,0.26350724697113037,0.3119928240776062,0.8441558441558441,0.7358007845812725,1.5799566287371167,0.0005000000237487257
16,0.5668917298316956,0.05166783928871155,0.991247832775116,0.028541546314954758,0.08072107285261154,0.529411792755127,0.06894896179437637,0.9772727489471436,0.31552746891975403,0.3729252815246582,0.8827586206896552,0.6292640692640693,1.5120226899537244,0.0005000000237487257
17,0.5383846163749695,0.05384167656302452,0.9937484264373779,0.022956863045692444,0.0773371011018753,0.4331550896167755,0.07844575494527817,0.9759358167648315,0.3573342561721802,0.4214492738246918,0.8767123287671232,0.6195543653170772,1.4962666940842004,0.0005000000237487257
18,0.5273818373680115,0.05204739049077034,0.9932482838630676,0.020504526793956757,0.0725683644413948,0.6122994422912598,0.06174372136592865,0.9826202988624573,0.3910713195800781,0.4463810324668884,0.9064748201438849,0.7143005074039556,1.6207753275478405,0.0005000000237487257
19,0.5311327576637268,0.04205602407455444,0.9954988956451416,0.01986951380968094,0.061546459794044495,0.5534759163856506,0.06434420496225357,0.9612299203872681,0.31563854217529297,0.3674330711364746,0.8176100628930818,0.7188054882970137,1.5364155511900957,0.0002500000118743628
20,0.5201300382614136,0.037803709506988525,0.9949987530708313,0.01390994805842638,0.05144800990819931,0.5561497211456299,0.0637933537364006,0.9772727489471436,0.39377129077911377,0.4497043490409851,0.8827586206896552,0.6500324886289799,1.532791109318635,0.0002500000118743628
21,0.5313828587532043,0.038881540298461914,0.9914978742599487,0.025414813309907913,0.064289391040802,0.5802139043807983,0.06642531603574753,0.9505347609519958,0.2861417233943939,0.3383409082889557,0.783625730994152,0.7849252761533463,1.5685510071474984,0.0002500000118743628
22,0.5206301808357239,0.03337160870432854,0.9947487115859985,0.017492130398750305,0.05079803988337517,0.5521390438079834,0.0626189187169075,0.9786096215248108,0.3513416349887848,0.40533721446990967,0.8888888888888888,0.7695877695877695,1.6584766584766584,0.0001250000059371814
23,0.5366341471672058,0.031648099422454834,0.9924980998039246,0.024207571521401405,0.055919308215379715,0.5721924901008606,0.059339094907045364,0.9665775299072266,0.3171731233596802,0.36771801114082336,0.8366013071895425,0.7488643238189517,1.5854656310084942,0.0001250000059371814
24,0.5373843312263489,0.032428234815597534,0.9959989786148071,0.014009361155331135,0.045582398772239685,0.5762032270431519,0.0842222198843956,0.9799465537071228,0.34662875533103943,0.4194958209991455,0.8951048951048951,0.734430940267571,1.629535835372466,0.0001250000059371814
25,0.5336334109306335,0.02891133725643158,0.9977494478225708,0.011611203663051128,0.04049226641654968,0.5574866533279419,0.07797954231500626,0.9759358167648315,0.330757737159729,0.3972027897834778,0.8767123287671232,0.7176510871426126,1.594363415909736,6.25000029685907e-05
26,0.5313828587532043,0.028370551764965057,0.9974993467330933,0.009607362560927868,0.03810148686170578,0.5427807569503784,0.07491622120141983,0.9772727489471436,0.3552052080631256,0.41984623670578003,0.8827586206896552,0.7029471578971024,1.5857057785867577,6.25000029685907e-05
27,0.530132532119751,0.027830518782138824,0.9957489371299744,0.018734648823738098,0.04574607312679291,0.5307486653327942,0.06781287491321564,0.9772727489471436,0.3575647175312042,0.4166538417339325,0.8827586206896552,0.7182539682539683,1.6010125889436235,6.25000029685907e-05
28,0.5216304063796997,0.02888134866952896,0.9977494478225708,0.009128627367317677,0.037981919944286346,0.5414438247680664,0.06844086945056915,0.9745989441871643,0.35392656922340393,0.4129919707775116,0.8707482993197279,0.7198924731182795,1.5906407724380074,3.125000148429535e-05
29,0.5243811011314392,0.0293022021651268,0.9964991211891174,0.0074638668447732925,0.03682577237486839,0.5320855379104614,0.06841904670000076,0.9772727489471436,0.3687102794647217,0.4283883273601532,0.8827586206896552,0.7198924731182795,1.6026510938079346,3.125000148429535e-05
