epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,learning_rate,loss,val_direction_macro_f1,val_direction_output_accuracy,val_direction_output_loss,val_fall_f1,val_fall_output_accuracy,val_fall_output_loss,val_loss
0,0.20899070799350739,0.08284984529018402,0.8718392252922058,0.30172428488731384,0.0010000000474974513,0.4300382733345032,0.23626373626373623,0.4357541799545288,0.046274010092020035,0.0,0.8927374482154846,0.4523136019706726,0.5215701460838318
1,0.35400909185409546,0.06480954587459564,0.9301923513412476,0.18025727570056915,0.0010000000474974513,0.277686208486557,0.15956969968623935,0.046927373856306076,0.04639549180865288,0.0,0.8927374482154846,0.3768172264099121,0.4462180733680725
2,0.4149557054042816,0.06163667514920235,0.947482168674469,0.15012295544147491,0.0010000000474974513,0.2431265264749527,0.16216216216216217,0.0301675982773304,0.04653457552194595,0.0,0.8927374482154846,0.3362264633178711,0.4057565927505493
3,0.4460773766040802,0.05911661311984062,0.9487789273262024,0.13469570875167847,0.0010000000474974513,0.22559854388237,0.3579084967320261,0.23687151074409485,0.046484436839818954,0.0,0.8927374482154846,0.3544767200946808,0.4238530993461609
4,0.4899502992630005,0.05942879989743233,0.9546142220497131,0.11926176398992538,0.0010000000474974513,0.20665350556373596,0.16216216216216217,0.0301675982773304,0.048627715557813644,0.0,0.8927374482154846,0.4038047790527344,0.4763292968273163
5,0.3939917981624603,0.05436454713344574,0.9652042388916016,0.10495205968618393,0.0010000000474974513,0.1852542608976364,0.16216216216216217,0.0301675982773304,0.04708153009414673,0.0,0.8927374482154846,0.4348500370979309,0.5049688220024109
6,0.5243138074874878,0.04992708936333656,0.9626107811927795,0.10325288027524948,0.0010000000474974513,0.17577989399433136,0.18383838383838383,0.03463687002658844,0.04765242338180542,0.0,0.8927374482154846,0.47757652401924133,0.5484375953674316
7,0.4668251574039459,0.0530908927321434,0.9639074802398682,0.10508926212787628,0.0010000000474974513,0.18352261185646057,0.21385281385281382,0.03351955488324165,0.045456044375896454,0.06060606060606061,0.8960893750190735,0.4283904433250427,0.4959006905555725
8,0.3859952390193939,0.05112674832344055,0.9699589610099792,0.07565408945083618,0.0010000000474974513,0.15279193222522736,0.21425576519916142,0.03240223601460457,0.047998782247304916,0.09900990099009901,0.8983240127563477,0.49056801199913025,0.5617166757583618
9,0.2528636157512665,0.044547561556100845,0.9794683456420898,0.06059776246547699,0.0005000000237487257,0.12657855451107025,0.2729538779074383,0.035754188895225525,0.04604518786072731,0.2702702702702703,0.9094972014427185,0.4160597026348114,0.48435139656066895
10,0.32785820960998535,0.041528619825839996,0.9818456768989563,0.05484171211719513,0.0005000000237487257,0.11826437711715698,0.4585301768764301,0.05810055881738663,0.04124292731285095,0.5454545454545454,0.9329608678817749,0.316641628742218,0.3777938187122345
11,0.3477415144443512,0.04322207346558571,0.9818456768989563,0.05964697524905205,0.0005000000237487257,0.11215176433324814,0.5264202978488693,0.11508379876613617,0.03662464767694473,0.6712328767123288,0.9463686943054199,0.22254054248332977,0.27699077129364014
12,0.32850658893585205,0.041453663259744644,0.9781715869903564,0.06282151490449905,0.0005000000237487257,0.12575426697731018,0.5502441216726931,0.11061452329158783,0.0353592112660408,0.684931506849315,0.9486033320426941,0.20385019481182098,0.2565809488296509
13,0.30754268169403076,0.03870610147714615,0.9848713874816895,0.047600846737623215,0.0005000000237487257,0.10471788793802261,0.5541656107693843,0.10837988555431366,0.03344365954399109,0.7388535031847133,0.9541899561882019,0.17375871539115906,0.22350285947322845
