epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,learning_rate,loss,val_direction_macro_f1,val_direction_output_accuracy,val_direction_output_loss,val_domain_score,val_fall_f1,val_fall_output_accuracy,val_fall_output_loss,val_loss
0,0.11626344174146652,0.2756795585155487,0.7983871102333069,0.4523569345474243,0.0010000000474974513,0.8665568232536316,0.17647058823529413,0.9269406199455261,0.15110072493553162,0.17647058823529413,0.0,0.8858447670936584,0.5932662487030029,0.7457858324050903
1,0.2990591526031494,0.2224142998456955,0.8776881694793701,0.26294562220573425,0.0010000000474974513,0.5982816815376282,0.17647058823529413,0.9269406199455261,0.15120455622673035,0.17647058823529413,0.0,0.8858447670936584,0.5811249017715454,0.7258604764938354
2,0.27419355511665344,0.21225565671920776,0.9213709831237793,0.18969248235225677,0.0010000000474974513,0.5100920796394348,0.17647058823529413,0.9269406199455261,0.1513679176568985,0.17647058823529413,0.0,0.8858447670936584,0.5800777673721313,0.716378390789032
3,0.3776881694793701,0.20149005949497223,0.9495967626571655,0.14420510828495026,0.0010000000474974513,0.44850704073905945,0.17647058823529413,0.4840182662010193,0.15158291161060333,0.17647058823529413,0.0,0.8858447670936584,0.5870862007141113,0.7155323028564453
4,0.2735215127468109,0.1896388977766037,0.9556451439857483,0.10142311453819275,0.0010000000474974513,0.3881913423538208,0.17647058823529413,0.04109589010477066,0.15227755904197693,0.17647058823529413,0.0,0.8858447670936584,0.6111063957214355,0.7282636761665344
5,0.2654569745063782,0.17611032724380493,0.975806474685669,0.07969025522470474,0.0010000000474974513,0.34204787015914917,0.17647058823529413,0.04109589010477066,0.1535729020833969,0.17647058823529413,0.0,0.8858447670936584,0.6338361501693726,0.7435919642448425
6,0.25537633895874023,0.16676034033298492,0.9892473220825195,0.05153282359242439,0.0010000000474974513,0.3016418516635895,0.17647058823529413,0.04109589010477066,0.15550149977207184,0.17647058823529413,0.0,0.8858447670936584,0.6810144782066345,0.7791392207145691
7,0.19556452333927155,0.1505354940891266,0.9872311949729919,0.055264491587877274,0.0010000000474974513,0.2809740900993347,0.17647058823529413,0.04109589010477066,0.1561592072248459,0.17647058823529413,0.0,0.8858447670936584,0.7010674476623535,0.7947050333023071
8,0.23924730718135834,0.1411174237728119,0.9838709831237793,0.04315872862935066,0.0010000000474974513,0.25494202971458435,0.17647058823529413,0.04109589010477066,0.16087913513183594,0.17647058823529413,0.0,0.8858447670936584,0.756856381893158,0.8430612683296204
9,0.23790322244167328,0.1300426870584488,0.9838709831237793,0.05342031642794609,0.0010000000474974513,0.24658384919166565,0.17647058823529413,0.04109589010477066,0.16625569760799408,0.17647058823529413,0.0,0.8858447670936584,0.7837610840797424,0.8702998757362366
10,0.22110214829444885,0.11022116988897324,0.9845430254936218,0.04391833022236824,0.0010000000474974513,0.20952394604682922,0.17647058823529413,0.04109589010477066,0.17428645491600037,0.17647058823529413,0.0,0.8858447670936584,0.8566193580627441,0.938046395778656
11,0.2197580635547638,0.09053773432970047,0.9899193644523621,0.033665578812360764,0.0010000000474974513,0.17174085974693298,0.17647058823529413,0.04109589010477066,0.18345044553279877,0.17647058823529413,0.0,0.8858447670936584,0.9430870413780212,1.0188637971878052
12,0.23454301059246063,0.09072128683328629,0.9959677457809448,0.024209043011069298,0.0010000000474974513,0.1588938683271408,0.17647058823529413,0.04109589010477066,0.18910938501358032,0.17647058823529413,0.0,0.8858447670936584,0.9609843492507935,1.0402342081069946
13,0.23991934955120087,0.07653773576021194,0.9946236610412598,0.0232683178037405,0.0010000000474974513,0.1384117305278778,0.17647058823529413,0.04109589010477066,0.20012609660625458,0.17647058823529413,0.0,0.8858447670936584,1.0118030309677124,1.0951414108276367
14,0.26478493213653564,0.05989532172679901,0.9899193644523621,0.02286243997514248,0.0005000000237487257,0.11247975379228592,0.17647058823529413,0.04109589010477066,0.20945879817008972,0.17647058823529413,0.0,0.8858447670936584,1.0428194999694824,1.1319774389266968
15,0.2822580635547638,0.04978417232632637,0.9952957034111023,0.016674602404236794,0.0005000000237487257,0.09219889342784882,0.17647058823529413,0.04109589010477066,0.22064709663391113,0.17647058823529413,0.0,0.8858447670936584,1.1455023288726807,1.2300134897232056
16,0.27486559748649597,0.040174681693315506,0.9966397881507874,0.02038317732512951,0.0005000000237487257,0.08061929047107697,0.17647058823529413,0.04109589010477066,0.22990797460079193,0.17647058823529413,0.0,0.8858447670936584,1.1668224334716797,1.259006142616272
17,0.2829301059246063,0.03720105066895485,0.9966397881507874,0.014809586107730865,0.0005000000237487257,0.06788711249828339,0.17647058823529413,0.04109589010477066,0.24261508882045746,0.17647058823529413,0.0,0.8858447670936584,1.2028188705444336,1.3044174909591675
18,0.2795698940753937,0.030117124319076538,0.9966397881507874,0.011867713183164597,0.0005000000237487257,0.05804765224456787,0.17647058823529413,0.04109589010477066,0.2624732255935669,0.17647058823529413,0.0,0.8858447670936584,1.2835251092910767,1.3956942558288574
19,0.26747313141822815,0.02527240477502346,0.9979838728904724,0.01191276591271162,0.0005000000237487257,0.05086647719144821,0.17647058823529413,0.04109589010477066,0.2738904356956482,0.17647058823529413,0.0,0.8858447670936584,1.3304893970489502,1.448701024055481
20,0.27419355511665344,0.018282899633049965,0.9993279576301575,0.010358801111578941,0.0005000000237487257,0.03838026523590088,0.17647058823529413,0.04109589010477066,0.2922133207321167,0.17647058823529413,0.0,0.8858447670936584,1.3741776943206787,1.5076502561569214
