direction_output_loss,fall_output_loss,loss,val_direction_output_loss,val_fall_output_loss,val_loss,learning_rate
0.1393851637840271,0.32184162735939026,0.5303180813789368,0.10310393571853638,0.6594467163085938,0.7433158159255981,0.0010000000474974513
0.11772870272397995,0.21931226551532745,0.39422664046287537,0.10391449928283691,0.7407622337341309,0.8071837425231934,0.0010000000474974513
0.11134113371372223,0.1807185411453247,0.3483094871044159,0.10431632399559021,0.8554306030273438,0.9019755125045776,0.0010000000474974513
0.1163100004196167,0.14257431030273438,0.317339688539505,0.10352236032485962,1.035010814666748,1.0536389350891113,0.0010000000474974513
0.09895506501197815,0.11222615092992783,0.25820401310920715,0.10122271627187729,1.1821972131729126,1.1756036281585693,0.0005000000237487257
0.09060540795326233,0.08541563153266907,0.22195950150489807,0.09331482648849487,0.9066579341888428,0.9178550243377686,0.0005000000237487257
0.08310459554195404,0.08514228463172913,0.2101481407880783,0.08258917927742004,0.6448813676834106,0.696018636226654,0.0005000000237487257
0.07854755222797394,0.06765815615653992,0.18583360314369202,0.07535835355520248,0.5360364317893982,0.5960321426391602,0.0005000000237487257
0.07387765496969223,0.06197472661733627,0.172216534614563,0.06172867491841316,0.3735235929489136,0.43465811014175415,0.0005000000237487257
0.06242202967405319,0.05350406467914581,0.14784739911556244,0.05718971788883209,0.25870436429977417,0.33107590675354004,0.0005000000237487257
0.0610065758228302,0.03991544991731644,0.13186028599739075,0.06804909557104111,0.30438125133514404,0.38867488503456116,0.0005000000237487257
0.05237049236893654,0.046740807592868805,0.12545467913150787,0.05644092336297035,0.29621365666389465,0.3650309443473816,0.0005000000237487257
0.05470329895615578,0.046752531081438065,0.12585942447185516,0.07239926606416702,0.23918594419956207,0.332696795463562,0.0005000000237487257
0.04349653050303459,0.04044942185282707,0.10473520308732986,0.07669597864151001,0.26893478631973267,0.3683837652206421,0.0002500000118743628
0.0415642149746418,0.02994503453373909,0.09246434271335602,0.0718669667840004,0.2688862681388855,0.36059799790382385,0.0002500000118743628
0.038423556834459305,0.0348854623734951,0.09244496375322342,0.07022985816001892,0.3039027750492096,0.3920411765575409,0.0002500000118743628
0.03397637605667114,0.021951846778392792,0.0732819065451622,0.07501690834760666,0.30940505862236023,0.4067893922328949,0.0001250000059371814
