epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,loss,val_direction_output_accuracy,val_direction_output_loss,val_fall_output_accuracy,val_fall_output_loss,val_loss,val_fall_f1,val_direction_macro_f1,val_domain_score,learning_rate
1,0.16129031777381897,0.13106566667556763,0.8302075266838074,0.45208051800727844,0.6497696042060852,0.01871657744050026,0.10327482223510742,0.9024063944816589,0.6557043194770813,0.744672954082489,0.0,0.1498435054773083,0.1498435054773083,0.0010000000474974513
2,0.14853712916374207,0.1097128614783287,0.8949737548828125,0.28055259585380554,0.4442411959171295,0.020053476095199585,0.10412397235631943,0.9024063944816589,0.7544682025909424,0.8220497965812683,0.0,0.13157894736842105,0.13157894736842105,0.0010000000474974513
3,0.16454114019870758,0.09725140780210495,0.9234808683395386,0.21950127184391022,0.3667634129524231,0.025401068851351738,0.10174783319234848,0.9024063944816589,0.9490504264831543,0.9844813942909241,0.0,0.21249572244597117,0.21249572244597117,0.0010000000474974513
4,0.2328082025051117,0.08731561154127121,0.9269817471504211,0.19581882655620575,0.32717472314834595,0.2139037400484085,0.09501451253890991,0.9024063944816589,1.1551967859268188,1.1525946855545044,0.0,0.5862433862433862,0.5862433862433862,0.0010000000474974513
5,0.3265816569328308,0.08277040719985962,0.9362340569496155,0.1828937530517578,0.3023226261138916,0.08957219123840332,0.08258926868438721,0.9050801992416382,1.0817519426345825,1.0582871437072754,0.05333333333333334,0.660840967817712,0.7141743011510453,0.0010000000474974513
6,0.39259815216064453,0.06734947115182877,0.9487372040748596,0.14705197513103485,0.24932970106601715,0.12299465388059616,0.07085864990949631,0.9291443824768066,0.7450087070465088,0.7435136437416077,0.46464646464646464,0.7343644010310677,1.1990108656775322,0.0010000000474974513
7,0.36459115147590637,0.061769112944602966,0.9589897394180298,0.12329801917076111,0.21558673679828644,0.1296791434288025,0.06884695589542389,0.9532085657119751,0.5075001120567322,0.5362834334373474,0.7154471544715447,0.6499132509217089,1.3653604053932535,0.0010000000474974513
8,0.4276069104671478,0.058549344539642334,0.9622405767440796,0.11576282232999802,0.20222708582878113,0.17379678785800934,0.060837093740701675,0.9558823704719543,0.39744463562965393,0.4506886601448059,0.7591240875912408,0.7279878400568055,1.4871119276480464,0.0010000000474974513
9,0.45911478996276855,0.05363805592060089,0.9597399234771729,0.11644618958234787,0.19457915425300598,0.28877004981040955,0.04887725040316582,0.9545454382896423,0.22484451532363892,0.2770348787307739,0.7926829268292683,0.788641975308642,1.5813249021379103,0.0010000000474974513
10,0.45261314511299133,0.05012686550617218,0.9684921503067017,0.08555196225643158,0.1608991175889969,0.4893048107624054,0.06855225563049316,0.9505347609519958,0.2441059947013855,0.3277107775211334,0.783625730994152,0.7283797428317702,1.5120054738259223,0.0010000000474974513
