epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,loss,val_direction_output_accuracy,val_direction_output_loss,val_fall_output_accuracy,val_fall_output_loss,val_loss,val_fall_f1,val_direction_macro_f1,val_domain_score,learning_rate
1,0.5853963494300842,0.13937906920909882,0.8737184405326843,0.2970982491970062,0.7335036396980286,0.9545454382896423,0.10278744250535965,0.9024063944816589,0.6750964522361755,1.3355331420898438,0.0,0.20454545454545456,0.20454545454545456,0.0010000000474974513
2,0.7326831817626953,0.128385528922081,0.9277319312095642,0.20243124663829803,0.5349567532539368,0.9545454382896423,0.10233492404222488,0.9024063944816589,0.727363646030426,1.4174480438232422,0.0,0.20454545454545456,0.20454545454545456,0.0010000000474974513
3,0.6709177494049072,0.1227966770529747,0.9437359571456909,0.16677294671535492,0.45837196707725525,0.9545454382896423,0.10185853391885757,0.9024063944816589,0.797019898891449,1.5309555530548096,0.0,0.20454545454545456,0.20454545454545456,0.0010000000474974513
4,0.7261815667152405,0.12003990262746811,0.9504876136779785,0.13630634546279907,0.3939277231693268,0.9545454382896423,0.1013750359416008,0.9024063944816589,0.8792724609375,1.6674742698669434,0.0,0.20454545454545456,0.20454545454545456,0.0010000000474974513
5,0.6409102082252502,0.11534159630537033,0.9702425599098206,0.10869477689266205,0.3320673108100891,0.8770053386688232,0.10175687074661255,0.9024063944816589,1.062644362449646,1.9830423593521118,0.0,0.27799564270152505,0.27799564270152505,0.0010000000474974513
6,0.5971493124961853,0.11013256013393402,0.9539884924888611,0.12192033976316452,0.35449835658073425,0.6911764740943909,0.09604870527982712,0.9251337051391602,0.7119329571723938,1.3400077819824219,0.37777777777777777,0.49855379188712523,0.876331569664903,0.0010000000474974513
7,0.44961240887641907,0.1021348387002945,0.9664916396141052,0.0860515758395195,0.274783730506897,0.13235294818878174,0.0936906710267067,0.9304812550544739,1.0096476078033447,1.845278024673462,0.44680851063829785,0.5414467068878833,0.9882552175261812,0.0010000000474974513
8,0.4378594756126404,0.0991557165980339,0.9732432961463928,0.08149030059576035,0.2629654109477997,0.34625667333602905,0.07733841985464096,0.9745989441871643,0.22485339641571045,0.5179309248924255,0.8707482993197279,0.6966966966966966,1.5674449960164245,0.0010000000474974513
9,0.5288822054862976,0.0979100689291954,0.974743664264679,0.08504808694124222,0.26664602756500244,0.6042780876159668,0.06775639206171036,0.9745989441871643,0.20141609013080597,0.45576730370521545,0.8741721854304636,0.7639036886348713,1.638075874065335,0.0010000000474974513
10,0.49037259817123413,0.09309007972478867,0.9862465858459473,0.05617908015847206,0.20618923008441925,0.5441176295280457,0.07795292884111404,0.9652406573295593,0.3078822195529938,0.6574530005455017,0.821917808219178,0.5464803312629399,1.3683981394821179,0.0010000000474974513
11,0.5423855781555176,0.0899481549859047,0.9782445430755615,0.05964922904968262,0.20904769003391266,0.4745989441871643,0.06684087216854095,0.9612299203872681,0.24714140594005585,0.5455095171928406,0.8198757763975155,0.729757085020243,1.5496328614177584,0.0010000000474974513
12,0.5801450610160828,0.08343712985515594,0.9794948697090149,0.06836163997650146,0.220377117395401,0.5762032270431519,0.07438207417726517,0.9652406573295593,0.3246038854122162,0.6800782680511475,0.821917808219178,0.6944026733500417,1.5163204815692197,0.0010000000474974513
13,0.5316329002380371,0.08193899691104889,0.9662415385246277,0.09894504398107529,0.28102874755859375,0.4893048107624054,0.07902637869119644,0.9425133466720581,0.2106810063123703,0.4804638922214508,0.7514450867052023,0.6780656912862094,1.4295107779914118,0.0010000000474974513
14,0.4943735897541046,0.08424737304449081,0.9867466688156128,0.0449441522359848,0.174785777926445,0.4786096215248108,0.06069396436214447,0.9197860956192017,0.2632351815700531,0.5725911259651184,0.6938775510204082,0.7176510871426126,1.4115286381630208,0.0010000000474974513
15,0.4648662209510803,0.08086322247982025,0.9867466688156128,0.04558202996850014,0.16923929750919342,0.5628342032432556,0.08153458684682846,0.8970588445663452,0.26505452394485474,0.5925248861312866,0.6350710900473934,0.6596909631735502,1.2947620532209436,0.0010000000474974513
16,0.48812201619148254,0.08162997663021088,0.9772443175315857,0.06655014306306839,0.2112489491701126,0.44117647409439087,0.06724495440721512,0.9732620120048523,0.26251357793807983,0.5745881199836731,0.8666666666666667,0.6272232304900182,1.4938898971566847,0.0010000000474974513
17,0.4828707277774811,0.07531736046075821,0.98649662733078,0.0392337366938591,0.15408791601657867,0.4692513346672058,0.09116139262914658,0.9652406573295593,0.2534538209438324,0.5856915712356567,0.8375,0.5739213726470098,1.41142137264701,0.0010000000474974513
18,0.46961739659309387,0.06409020721912384,0.9842460751533508,0.052212249487638474,0.1684054732322693,0.6296791434288025,0.1330917477607727,0.9639037251472473,0.4267284572124481,0.9304993152618408,0.8111888111888111,0.5451207729468599,1.356309584135671,0.0010000000474974513
19,0.4776194095611572,0.05953845754265785,0.9882470369338989,0.030737774446606636,0.12151355296373367,0.45588234066963196,0.07396618276834488,0.9639037251472473,0.3145560920238495,0.6897401809692383,0.8322981366459627,0.6454452651173962,1.4777434017633588,0.0010000000474974513
20,0.4221055209636688,0.06052875146269798,0.9914978742599487,0.022505123168230057,0.10447894781827927,0.4224599003791809,0.06393704563379288,0.9652406573295593,0.47261691093444824,0.9441348910331726,0.821917808219178,0.6894279724468403,1.5113457806660184,0.0005000000237487257
21,0.47411853075027466,0.05209701508283615,0.9917479157447815,0.027612684294581413,0.10762327164411545,0.4438502788543701,0.05960971117019653,0.9719251394271851,0.2884095311164856,0.6327210068702698,0.864516129032258,0.7402133316111811,1.6047294606434392,0.0005000000237487257
22,0.483370840549469,0.05401343107223511,0.9939985275268555,0.021212195977568626,0.09709630906581879,0.38235294818878174,0.05434348061680794,0.9371657967567444,0.3517376184463501,0.7511801719665527,0.7403314917127072,0.7136752136752137,1.4540067053879209,0.0005000000237487257
23,0.4773693382740021,0.04841742664575577,0.9942485690116882,0.019069120287895203,0.08555291593074799,0.40775400400161743,0.06159033253788948,0.9719251394271851,0.3478679656982422,0.761203944683075,0.8609271523178808,0.7223502304147464,1.5832773827326272,0.0005000000237487257
24,0.48862215876579285,0.04750235006213188,0.9954988956451416,0.01018457766622305,0.06821683794260025,0.3689839541912079,0.05923416092991829,0.9625668525695801,0.32945796847343445,0.715416431427002,0.8271604938271605,0.7296067066182008,1.5567672004453614,0.0005000000237487257
25,0.4756188988685608,0.04289098456501961,0.9982495903968811,0.006576349958777428,0.055493298918008804,0.3997326195240021,0.052724193781614304,0.9679144620895386,0.31708651781082153,0.6854812502861023,0.8481012658227848,0.7405560986206147,1.5886573644433994,0.0005000000237487257
26,0.4701175391674042,0.04213142767548561,0.9977494478225708,0.004869450815021992,0.05200593173503876,0.4318181872367859,0.056429263204336166,0.9692513346672058,0.33686891198158264,0.7289143204689026,0.8535031847133758,0.7633053221288515,1.6168085068422273,0.0005000000237487257
27,0.48187047243118286,0.038190823048353195,0.9927482008934021,0.015482929535210133,0.06960492581129074,0.4171122908592224,0.07166110724210739,0.9732620120048523,0.33259129524230957,0.7372804284095764,0.868421052631579,0.7389044506691566,1.6073255033007356,0.0005000000237487257
28,0.47186797857284546,0.04077998548746109,0.9927482008934021,0.01976621337234974,0.08057823032140732,0.437165766954422,0.09801852703094482,0.970588207244873,0.42190244793891907,0.9107745885848999,0.8472222222222222,0.5956140350877193,1.4428362573099416,0.0005000000237487257
29,0.4256063997745514,0.0434919036924839,0.9937484264373779,0.02251182310283184,0.08840948343276978,0.4572192430496216,0.07325673848390579,0.9518716335296631,0.3212583363056183,0.7153798341751099,0.7831325301204819,0.6854608588029016,1.4685933889233835,0.0005000000237487257
