group,n,mean_fall_prob,median_fall_prob,p05,p25,p75,p95,min,max
bits_fall,48,0.8913543136840141,0.999999463558197,5.201746712370478e-05,0.9971849024295808,1.0,1.0,8.928447314815458e-09,1.0
bits_nonfall,480,0.0022501564301129423,4.271363991392718e-07,3.0671039041862964e-09,6.324071577523684e-08,3.816929392996826e-06,0.0005638460308545588,1.1461472396168126e-11,0.3976208865642547
weda_fall,25,0.9609355241060257,0.9999840259552002,0.9564413309097289,0.997913658618927,0.9999997615814208,1.0,0.130354419350624,1.0
weda_nonfall,155,0.13110032302672414,6.097395271353889e-06,2.479976330960199e-08,3.294155845878777e-07,0.00175495125586165,0.9991426825523375,1.9522652383585637e-09,0.9999974966049194
weda_tp,24,0.9955430701375008,0.9999855160713196,0.9688782572746276,0.9987019151449205,0.9999998211860656,1.0,0.9541140794754028,1.0
weda_fn,1,0.130354419350624,0.130354419350624,0.130354419350624,0.130354419350624,0.130354419350624,0.130354419350624,0.130354419350624,0.130354419350624
weda_fp,21,0.9172985638890948,0.9983577132225036,0.640643298625946,0.8729602098464966,0.9998494386672974,0.9999960660934448,0.5508899092674255,0.9999974966049194
weda_tn,134,0.007890150951278001,1.7439812154407264e-06,1.8559317815913803e-08,2.526270677094544e-07,9.430124919163063e-05,0.028753846511244744,1.9522652383585637e-09,0.4558168947696686
