model,feature,importance,permutation_importance_mean,permutation_importance_std,threshold_tuned_on_val,test_auroc,test_f1,bits_test_auroc,bits_test_f1,weda_test_auroc,weda_test_f1
gradient_boosting,impact_distance_from_center,0.8415543235144244,0.09524323158235365,0.00552306290845841,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
gradient_boosting,tilt_delta_std,0.002188674946416609,0.0063617732714918215,0.001092796654299047,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
gradient_boosting,jerk_std,0.000260351776083522,0.0043361018228886385,0.0035520132828810455,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
gradient_boosting,ax_std,0.0005750018983682889,0.0024830115413656205,0.0007815403700161452,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
gradient_boosting,az_std,0.0012550165380968287,0.0023751483119405447,0.0015888499002550112,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
gradient_boosting,ax_range,0.00019764952313532718,0.0019113364254126353,0.0006688355242387341,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
gradient_boosting,az_range,0.02251767073325782,0.0018768201919965976,0.003504037905109465,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
gradient_boosting,gz_min,0.0008183083208355363,0.001311616869809129,0.00037349969768662306,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
gradient_boosting,gz_std,0.0010345952211253716,0.001300830546866616,0.00045200227538301285,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
gradient_boosting,gy_mean,0.005359266394370994,0.0012771006363931138,0.001831663734303058,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
gradient_boosting,gx_min,0.001594097338888794,0.0012210117570920498,0.0022279060608485154,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
