comparison,feature,n_pos,n_neg,median_pos,median_neg,iqr_pos,iqr_neg,cohens_d,cliffs_delta,ks_statistic,mannwhitney_p,auroc,abs_auc,average_precision
bits_fall_vs_nonfall,az_range,48,480,36.2374382019043,0.6813888549804688,46.31787157058716,2.9791050851345062,4.4636876586255365,0.9611979166666667,0.9020833333333333,4.426662286758669e-28,0.9805989583333332,0.9805989583333332,0.9284580825194987
bits_fall_vs_nonfall,az_std,48,480,7.282185077667236,0.1764194294810295,6.759835481643677,0.6937430277466774,5.021184005934545,0.9597222222222223,0.8895833333333333,5.337203454052173e-28,0.9798611111111111,0.9798611111111111,0.9310086979137394
bits_fall_vs_nonfall,tilt_delta_std,48,480,4.949512243270874,0.13589449226856232,1.9282130002975464,0.5752813760191202,3.6902835759035497,0.9380208333333333,0.8916666666666667,8.045034130716248e-27,0.9690104166666667,0.9690104166666667,0.7046208845120843
bits_fall_vs_nonfall,tilt_delta_max,48,480,12.350072860717773,0.30711591243743896,7.700712203979492,1.4382407665252686,3.052242741165141,0.9362847222222223,0.9,9.957966083459105e-27,0.9681423611111112,0.9681423611111112,0.655055382439749
bits_fall_vs_nonfall,tilt_delta_p95,48,480,7.616229331493376,0.19615296274423594,4.082263022661211,0.8486288134008642,3.6410289480357845,0.9324652777777778,0.8958333333333334,1.5949998790084989e-26,0.9662326388888889,0.9662326388888889,0.735326947454423
bits_fall_vs_nonfall,jerk_max,48,480,449.8026885986328,4.139316082000732,443.8276596069336,24.055222988128662,3.5797561217926983,0.9256076388888889,0.86875,3.6898899454171106e-26,0.9628038194444445,0.9628038194444445,0.7913570517692817
bits_fall_vs_nonfall,jerk_std,48,480,152.41453552246094,1.646746039390564,132.88612747192383,9.820106253027916,3.8003952127415053,0.9238715277777778,0.8604166666666667,4.565092237910001e-26,0.9619357638888889,0.9619357638888889,0.8070042260289836
bits_fall_vs_nonfall,impact_distance_from_center,48,480,0.0,13.0,0.0,13.0,-1.6694169353118853,-0.9207465277777778,0.9333333333333333,5.752610641872657e-26,0.03962673611111112,0.9603732638888889,0.08760570824524314
bits_fall_vs_nonfall,ax_range,48,480,58.19394493103027,0.7623138427734375,48.799697399139404,5.191346764564514,3.6041087578363715,0.9146701388888889,0.8354166666666667,1.3915069915006335e-25,0.9573350694444445,0.9573350694444445,0.7596327120962485
bits_fall_vs_nonfall,acc_mag_range,48,480,57.525381088256836,0.6464614868164062,51.15509271621704,5.240738034248352,3.6049912927818735,0.9138888888888889,0.8541666666666666,1.52890926198326e-25,0.9569444444444444,0.9569444444444444,0.7827588438967595
bits_fall_vs_nonfall,ay_range,48,480,46.43362617492676,0.8942341804504395,45.26189994812012,3.6063857674598694,3.372013630171193,0.9103298611111111,0.8770833333333333,2.3458930457597235e-25,0.9551649305555555,0.9551649305555555,0.7323090228806672
bits_fall_vs_nonfall,acc_mag_max,48,480,62.96669387817383,10.133567810058594,51.94188165664673,3.527764081954956,3.7120269818582323,0.9060763888888889,0.8395833333333333,3.9007224706331116e-25,0.9530381944444444,0.9530381944444444,0.7900939524858839
bits_fall_vs_nonfall,gy_range,48,480,6.216165065765381,0.2571742683649063,5.391679406166077,1.5438397005200386,3.1629489908287822,0.9016493055555556,0.8333333333333334,6.616890883445232e-25,0.9508246527777777,0.9508246527777777,0.7291312925362738
bits_fall_vs_nonfall,az_min,48,480,-14.945565223693848,1.4870386719703674,17.88217329978943,2.353021454066038,-3.2705327605845693,-0.8983506944444445,0.80625,9.781828749798807e-25,0.05082465277777777,0.9491753472222222,0.04846859990161336
bits_fall_vs_nonfall,jerk_p95,48,480,147.92907180786108,2.930983304977415,141.05719127655004,16.16092319488525,2.745777993188107,0.8971354166666666,0.8541666666666666,1.1302362316895808e-24,0.9485677083333333,0.9485677083333333,0.6101190766282717
