epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,learning_rate,loss,val_direction_macro_f1,val_direction_output_accuracy,val_direction_output_loss,val_domain_score,val_fall_f1,val_fall_output_accuracy,val_fall_output_loss,val_loss
0,0.22449976205825806,0.13256244361400604,0.8440702557563782,0.370027095079422,0.0010000000474974513,0.5450337529182434,0.16438083879944346,0.09299655258655548,0.09930847585201263,0.16438083879944346,0.0,0.9012629389762878,0.692993700504303,0.8194254636764526
1,0.13616397976875305,0.1025790423154831,0.9153245687484741,0.2604065537452698,0.0010000000474974513,0.4104376435279846,0.15277777777777776,0.025258323177695274,0.09899546205997467,0.15277777777777776,0.0,0.9012629389762878,0.7392802834510803,0.8620056509971619
2,0.30673497915267944,0.09937167167663574,0.9192289113998413,0.2116827666759491,0.0010000000474974513,0.3707432448863983,0.15277777777777776,0.025258323177695274,0.09912008047103882,0.15277777777777776,0.0,0.9012629389762878,0.8572775721549988,0.9734022617340088
3,0.3438262641429901,0.0949670821428299,0.9321620464324951,0.16688893735408783,0.0010000000474974513,0.3180144429206848,0.15945165945165943,0.17451205849647522,0.09927240759134293,0.15945165945165943,0.0,0.9012629389762878,0.9699742197990417,1.0809977054595947
4,0.3804294764995575,0.09200155735015869,0.9380185604095459,0.16446897387504578,0.0010000000474974513,0.30464857816696167,0.21436058700209645,0.5958667993545532,0.09954120963811874,0.21436058700209645,0.0,0.9012629389762878,1.132359266281128,1.2362194061279297
5,0.4048316180706024,0.08925235271453857,0.9453392028808594,0.16596393287181854,0.0010000000474974513,0.2887421250343323,0.22969187675070027,0.9138920903205872,0.09972933679819107,0.22969187675070027,0.0,0.9012629389762878,1.1972326040267944,1.2979247570037842
6,0.4182527959346771,0.108413927257061,0.9465593099594116,0.12228519469499588,0.0010000000474974513,0.2612653076648712,0.2848899306824943,0.37083810567855835,0.0989602655172348,0.2848899306824943,0.0,0.9012629389762878,1.5357202291488647,1.6208502054214478
7,0.32772085070610046,0.09241756796836853,0.9524158239364624,0.1169683113694191,0.0010000000474974513,0.25725308060646057,0.14893617021276595,0.1228473037481308,0.10019142180681229,0.14893617021276595,0.0,0.9012629389762878,1.8421332836151123,1.9190109968185425
8,0.3789653480052948,0.08607326447963715,0.9560761451721191,0.13572855293750763,0.0010000000474974513,0.2620319724082947,0.38532429142757785,0.6716417670249939,0.09862606972455978,0.38532429142757785,0.0,0.9012629389762878,1.4840975999832153,1.55959153175354
9,0.3560273349285126,0.08447843790054321,0.9489995241165161,0.15136504173278809,0.0010000000474974513,0.2566533386707306,0.27803198768388643,0.21125143766403198,0.09687637537717819,0.3010204934310129,0.022988505747126436,0.9024110436439514,1.5645418167114258,1.6464159488677979
10,0.39897510409355164,0.08113671839237213,0.9380185604095459,0.1781887263059616,0.0010000000474974513,0.2896558344364166,0.6113095238095237,0.3765786588191986,0.09179186820983887,1.1478948896631822,0.5365853658536586,0.9345579743385315,0.8584052324295044,0.9516197443008423
