run_id,eval,dataset,forward_f1,backward_f1,lateral_f1
HN1,E3,bits+weda,0.8214285714285714,0.64,0.7317073170731707
HN1,E6,bits,0.9444444444444444,0.8333333333333334,0.8333333333333334
HN1,E7,weda,0.6,0.4615384615384615,0.5882352941176471
HN2,E3,bits+weda,0.7450980392156863,0.5833333333333334,0.6808510638297872
HN2,E6,bits,0.9444444444444444,0.9090909090909092,0.88
HN2,E7,weda,0.2666666666666666,0.3076923076923077,0.4545454545454545
HN3,E3,bits+weda,0.9285714285714286,0.896551724137931,0.8648648648648649
HN3,E6,bits,0.972972972972973,0.9230769230769232,0.9090909090909092
HN3,E7,weda,0.8421052631578947,0.875,0.8
HN4,E3,bits+weda,0.9285714285714286,0.896551724137931,0.8648648648648649
HN4,E6,bits,0.972972972972973,0.9230769230769231,0.9090909090909091
HN4,E7,weda,0.8421052631578947,0.875,0.8
