Method,Input,Params,E3 Direction F1,E6 Direction F1,E7 Direction F1,Avg_E3_E6_E7,INT8 KB
Classical ML Direction - GradientBoosting,event-window statistical features,0,0.8577334139947571,0.8320946364424625,0.88507326007326,0.8583004368368266,0.0
Classical ML Direction - HistGradientBoosting,event-window statistical features,0,0.8796786399902349,0.8732563732563733,0.8772175536881419,0.8767175223115834,0.0
Classical ML Direction - LogisticRegression,event-window statistical features,0,0.7962125020948551,0.7666237666237666,0.8026418026418026,0.7884926904534747,0.0
Classical ML Direction - RandomForest,event-window statistical features,0,0.809601034138316,0.8459888459888459,0.7416666666666667,0.7990855155979428,0.0
DS-Fall-RD A5 Hybrid Reference,historical A5 direction head,65959,0.8966626725247414,0.9350469350469351,0.8390350877192981,0.8902482317636582,64.4130859375
DS-Fall-RD Compact Hybrid,temporal tilt12 sequence 50x12,5699,0.868545885787265,0.8579140158087526,0.8777777777777779,0.8680792264579318,5.5654296875
