seed,learning_rate,best_epoch,best_val_macro_f1,best_val_loss,E3_direction_macro_f1,E6_direction_macro_f1,E7_direction_macro_f1,score_best_observed,min_E3_E6_E7,std_E3_E6_E7,E3_E2E_direction_macro_f1,E6_E2E_direction_macro_f1,E7_E2E_direction_macro_f1,avg_E2E_direction_macro_f1,validation_test_gap_E3,params,model_path
100,0.001,17,0.9312584345479084,0.2712387442588806,0.9152536970933198,0.8902319902319903,0.9568151147098515,0.9202156103198805,0.8902319902319903,0.03363220112180292,0.8253968253968255,0.7317028985507247,0.9177140941846824,0.8249379393774108,0.016004737454588525,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed100_lr0.001.pt
90,0.001,21,0.8865079365079366,0.37852802872657776,0.8993658671078025,0.8554112554112554,0.9628482972136223,0.9052242126305843,0.8554112554112554,0.05401349333388535,0.8209161542494875,0.7222576395086914,0.9212962962962963,0.8214900300181585,-0.012857930599865952,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed90_lr0.001.pt
100,0.0005,29,0.9316239316239315,0.28146037459373474,0.8966493168510085,0.8492063492063492,0.9581699346405229,0.9008726118944651,0.8492063492063492,0.05463314705501015,0.7992185592185592,0.6689814814814815,0.9165032679738562,0.7949011028912989,0.034974614772923074,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed100_lr0.0005.pt
14,0.001,15,0.8791208791208791,0.3868715465068817,0.8925324675324675,0.8662945241892611,0.9214177978883861,0.8933266836362811,0.8662945241892611,0.027572230244579117,0.8332814607324411,0.7149930679342443,0.9177140941846824,0.8219962076171227,-0.013411588411588404,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed14_lr0.001.pt
13,0.001,14,0.8599771408854672,0.41380929946899414,0.8904320987654321,0.8732563732563733,0.9153439153439153,0.8927529260862594,0.8732563732563733,0.02116193654880208,0.7980952380952381,0.7186147186147186,0.8739495798319328,0.7968865121806298,-0.030454957879964883,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed13_lr0.001.pt
3,0.001,12,0.9175195281364578,0.3261297345161438,0.8926916221033867,0.8732563732563733,0.9093567251461988,0.8918605783621263,0.8732563732563733,0.0180678810957553,0.8030815251910587,0.7186147186147186,0.8703703703703703,0.7973555380587158,0.024827906033071057,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed3_lr0.001.pt
42,0.001,11,0.8928812415654521,0.40853050351142883,0.8829185520361991,0.8902319902319903,0.8834795321637428,0.8852808775331996,0.8829185520361991,0.004070150834850353,0.7883005385804939,0.7317028985507247,0.837037037037037,0.7856801580560852,0.009962689529253055,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed42_lr0.001.pt
1,0.001,23,0.8881874701099952,0.4363093078136444,0.8876050420168067,0.8919571745658702,0.858213716108453,0.8800932840090196,0.858213716108453,0.018354890742629165,0.7955932955932955,0.7149930679342443,0.8194222931065035,0.7766695522113478,0.0005824280931885362,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed1_lr0.001.pt
23,0.0005,26,0.9104365196319218,0.37274670600891113,0.8734848484848484,0.8459888459888459,0.9153439153439153,0.8777937677937677,0.8459888459888459,0.034924531198997494,0.7980952380952381,0.7186147186147186,0.8739495798319328,0.7968865121806298,0.03695167114707343,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed23_lr0.0005.pt
80,0.0005,27,0.8947038442501237,0.3395772874355316,0.8783389450056117,0.8902319902319903,0.858213716108453,0.8758692899043776,0.858213716108453,0.01618455663469396,0.7877755240027046,0.7317028985507247,0.8194222931065035,0.7796335718866443,0.01636489924451201,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed80_lr0.0005.pt
