model_name,learning_rate,params,mean_avg_e3_e6_e7_f1,std_avg_e3_e6_e7_f1,mean_e3_f1,mean_e6_f1,mean_e7_f1,estimated_int8_kb
LDX1_D1_Wide_DSConv,0.001,5699,0.8284819360042753,0.0481538766584326,0.8303292953239619,0.8380655147245536,0.8170509979643107,5.5654296875
LDX1_D1_Wide_DSConv,0.0005,5699,0.826265402884194,0.0254689762619584,0.8275419494540504,0.8095826215826216,0.8416716376159101,5.5654296875
A5_Direction_Only,0.0005,57268,0.7716061092367148,0.0377572163064494,0.7815396075072082,0.8158763736674626,0.7174023465354734,55.92578125
A5_Direction_Only,0.001,57268,0.749904498889258,0.093168648448217,0.7638057547783387,0.831843872713438,0.6540638691759973,55.92578125
