seed,learning_rate,best_epoch,best_val_macro_f1,best_val_loss,E3_direction_macro_f1,E6_direction_macro_f1,E7_direction_macro_f1,score_best_observed,min_E3_E6_E7,std_E3_E6_E7,E3_E2E_direction_macro_f1,E6_E2E_direction_macro_f1,E7_E2E_direction_macro_f1,avg_E2E_direction_macro_f1,validation_test_gap_E3,params,model_path
1,0.001,23,0.8881874701099952,0.4363093078136444,0.8876050420168067,0.8919571745658702,0.858213716108453,0.8800932840090196,0.858213716108453,0.018354890742629165,0.7955932955932955,0.7149930679342443,0.8194222931065035,0.7766695522113478,0.0005824280931885362,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed1_lr0.001.pt
1,0.0005,28,0.8629992229992229,0.48894959688186646,0.8422908328568705,0.8732563732563733,0.7896613190730838,0.8357916408415853,0.7896613190730838,0.04226279588727762,0.7512755102040817,0.7186147186147186,0.7463924963924965,0.7387609084037656,0.020708390142352484,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed1_lr0.0005.pt
2,0.001,42,0.9065675732658655,0.3670721650123596,0.8208447096100043,0.8354438354438355,0.7638287638287639,0.8081196636257815,0.7638287638287639,0.037843253539817,0.7439914645103324,0.7186147186147186,0.7229946524064171,0.7285336118438227,0.08572286365586113,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed2_lr0.001.pt
2,0.0005,42,0.8881874701099952,0.35144585371017456,0.7873563218390803,0.8354438354438355,0.6680033416875522,0.7659766818750484,0.6680033416875522,0.08621084791088895,0.7247539398077033,0.7186147186147186,0.6618113912231559,0.7017266832151926,0.10083114827091488,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed2_lr0.0005.pt
3,0.001,12,0.9175195281364578,0.3261297345161438,0.8926916221033867,0.8732563732563733,0.9093567251461988,0.8918605783621263,0.8732563732563733,0.0180678810957553,0.8030815251910587,0.7186147186147186,0.8703703703703703,0.7973555380587158,0.024827906033071057,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed3_lr0.001.pt
3,0.0005,28,0.9363061353573688,0.3346666395664215,0.8603683897801545,0.8354438354438355,0.8740740740740741,0.8570027287674347,0.8354438354438355,0.019584749711011942,0.8030815251910587,0.7186147186147186,0.8703703703703703,0.7973555380587158,0.07593774557721433,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed3_lr0.0005.pt
4,0.001,19,0.9316239316239315,0.2607558071613312,0.8221288515406163,0.909196067090804,0.695045695045695,0.8101240692571963,0.695045695045695,0.10769649525049095,0.7619363395225465,0.7798319327731092,0.6866914761651604,0.7428199161536053,0.10949508008331521,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed4_lr0.001.pt
4,0.0005,15,0.9120463220547325,0.4191359877586365,0.846945646945647,0.8599061756956493,0.8297619047619048,0.845678682915525,0.8297619047619048,0.015121361110715478,0.7877755240027046,0.7284780578898226,0.8287786774628879,0.7816774197851384,0.06510067510908546,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed4_lr0.0005.pt
5,0.001,10,0.855569012408635,0.48376888036727905,0.7383753501400561,0.7538587538587539,0.6751075011944577,0.7240400165719859,0.6751075011944577,0.041721929280086126,0.6726898206090947,0.6262626262626263,0.6654456654456654,0.6547993707724621,0.11719366226857897,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed5_lr0.001.pt
5,0.0005,21,0.8538461538461538,0.43899139761924744,0.8113931888544892,0.8320946364424625,0.7587301587301587,0.801804714093582,0.7587301587301587,0.03782479624116273,0.7286523500756811,0.6585858585858586,0.750375939849624,0.7125380495037211,0.04245296499166462,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed5_lr0.0005.pt
10,0.001,9,0.8836638156559994,0.37630361318588257,0.8000604960677556,0.8681704260651628,0.6664894559631401,0.7804221630355932,0.6664894559631401,0.10259580808539684,0.7076033243486074,0.7131465026201869,0.6243386243386243,0.6816961504358061,0.08360331958824374,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed10_lr0.001.pt
10,0.0005,24,0.8701451338120808,0.39172834157943726,0.8093614718614718,0.8135761179239439,0.783625730994152,0.8029051434200175,0.783625730994152,0.016212738184660003,0.7318458417849899,0.6950757575757575,0.7407407407407408,0.7225541133671628,0.060783661950609025,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed10_lr0.0005.pt
11,0.001,25,0.8843856521875098,0.38099560141563416,0.8635568205776935,0.8735545500251383,0.8409258440218191,0.8597668464451647,0.8409258440218191,0.016716998082928803,0.7652300418257866,0.6943847072879331,0.794973544973545,0.7515294313624216,0.0208288316098163,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed11_lr0.001.pt
