pipeline,experiment_id,train_protocol,source,E2E_Direction_Macro_F1,coverage,correct_rate,forward_f1,backward_f1,lateral_f1,direction_n_supervised,method
Statistical-ML Baseline,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,Statistical-ML Baseline,0.8293974225008708,0.9180327868852459,0.8032786885245902,0.8727272727272727,0.8275862068965517,0.7878787878787878,61,Statistical-ML Baseline
Statistical-ML Baseline,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,Statistical-ML Baseline,0.8044961574373338,0.8888888888888888,0.7777777777777778,0.8823529411764706,0.7692307692307693,0.7619047619047619,36,Statistical-ML Baseline
Statistical-ML Baseline,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,Statistical-ML Baseline,0.8551587301587302,0.96,0.84,0.8571428571428571,0.875,0.8333333333333334,25,Statistical-ML Baseline
