pipeline,fall_source,direction_source,deep_params,a5_fp32_kb,a5_int8_kb,fall_feature_count,direction_feature_count,fall_tree_count,fall_tree_nodes,fall_tree_leaves,direction_tree_count,direction_tree_nodes,direction_tree_leaves,total_tree_count,total_tree_nodes,estimated_complexity_units,edge_suitability,complexity_notes
A5_reference,A5_deep_fall_head,A5_direction_head,65959,257.65234375,64.4130859375,12,12,0,0,0,0,0,0,0,0,65959,medium,Single compact temporal CNN; requires TensorFlow/TFLite for deployment.
Hybrid_NoTiming,GradientBoosting_FallNoTiming_Full,A5_direction_head,65959,257.65234375,64.4130859375,132,12,100,1408,754,0,0,0,100,1408,67367,medium,"GB fall expert plus A5 direction expert; best practical accuracy, moderate edge cost."
EdgeLite_Hybrid,RandomForest_FallNoTiming_Core,A5_direction_head,65959,257.65234375,64.4130859375,16,12,300,91018,45659,0,0,0,300,91018,156977,medium-high,Compact 16-feature RF fall expert; full pipeline still uses A5 for direction.
ML_only_separated,GradientBoosting_FallNoTiming_Full,GradientBoosting_DirectionFullNoTiming,0,0.0,0.0,132,132,100,1408,754,300,4404,2352,400,5812,5812,high,"Summary-only tree ensembles; no temporal deep model, CPU-friendly but less direction-consistent."
