epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,learning_rate,loss,val_direction_macro_f1,val_direction_output_accuracy,val_direction_output_loss,val_fall_f1,val_fall_output_accuracy,val_fall_output_loss,val_loss
0,0.16144369542598724,0.08573444187641144,0.804841160774231,0.4043843150138855,0.0010000000474974513,0.5385368466377258,0.1839080459770115,0.9418994188308716,0.046283405274152756,0.0,0.8927374482154846,0.602267861366272,0.671344518661499
1,0.2902528643608093,0.06532417237758636,0.8876161575317383,0.27784720063209534,0.0010000000474974513,0.3756368160247803,0.23235294117647057,0.1508379876613617,0.04625723510980606,0.0,0.8927374482154846,0.6246711015701294,0.6936183571815491
2,0.4069591462612152,0.06420332193374634,0.9094445705413818,0.2279624193906784,0.0010000000474974513,0.32718297839164734,0.1839080459770115,0.9418994188308716,0.04619905725121498,0.0,0.8927374482154846,0.7357249855995178,0.8043514490127563
3,0.4339745044708252,0.06272796541452408,0.9204668402671814,0.20917752385139465,0.0010000000474974513,0.30668163299560547,0.1839080459770115,0.9418994188308716,0.04651505500078201,0.0,0.8927374482154846,0.802125096321106,0.8710652589797974
4,0.4668251574039459,0.06263433396816254,0.9319213032722473,0.19026216864585876,0.0010000000474974513,0.284266859292984,0.4177613574165298,0.20111732184886932,0.04538547247648239,0.0,0.8927374482154846,0.9838355183601379,1.0506941080093384
5,0.4985952079296112,0.05800796300172806,0.9252215027809143,0.18301530182361603,0.0010000000474974513,0.26748126745224,0.48525938238124394,0.6000000238418579,0.04452895373106003,0.0,0.8927374482154846,1.0949877500534058,1.1600663661956787
6,0.5163172483444214,0.05472373962402344,0.9440242052078247,0.17330297827720642,0.0010000000474974513,0.25103050470352173,0.4879549620319456,0.6569832563400269,0.044226910918951035,0.0,0.8927374482154846,1.1332513093948364,1.1973605155944824
7,0.5089690685272217,0.05674898996949196,0.943375825881958,0.16384777426719666,0.0005000000237487257,0.24667170643806458,0.4515151515151515,0.4569832384586334,0.04272650554776192,0.0,0.8927374482154846,1.1359989643096924,1.19759202003479
8,0.49578559398651123,0.05171748995780945,0.9526691436767578,0.1305176317691803,0.0005000000237487257,0.2106936275959015,0.43939393939393945,0.39441341161727905,0.041112158447504044,0.13592233009708737,0.9005586504936218,1.0717180967330933,1.1310317516326904
9,0.4668251574039459,0.04923531040549278,0.958288311958313,0.11736742407083511,0.0005000000237487257,0.19008539617061615,0.4491607712581495,0.44022345542907715,0.040104061365127563,0.2857142857142857,0.910614550113678,1.0773131847381592,1.1347004175186157
10,0.4717959761619568,0.049377791583538055,0.9580721855163574,0.1416788548231125,0.0005000000237487257,0.21431638300418854,0.4692307692307692,0.4581005573272705,0.03867316618561745,0.6187050359712231,0.9407821297645569,0.6248489022254944,0.6814464330673218
11,0.45256105065345764,0.05157232657074928,0.9639074802398682,0.11236012727022171,0.0005000000237487257,0.1740451455116272,0.6004613324528579,0.5273743271827698,0.0353248193860054,0.7329192546583851,0.9519553184509277,0.48426347970962524,0.5358518958091736
12,0.4620704650878906,0.048503387719392776,0.9537497162818909,0.12003955245018005,0.0005000000237487257,0.1927080601453781,0.5734487734487734,0.49162012338638306,0.034359514713287354,0.7710843373493976,0.9575418829917908,0.40737250447273254,0.45809078216552734
13,0.33736762404441833,0.04527432098984718,0.9658526182174683,0.09716976433992386,0.0005000000237487257,0.16633784770965576,0.5654082528533801,0.5452513694763184,0.0334664024412632,0.7790697674418605,0.9575418829917908,0.42166948318481445,0.4707042872905731
14,0.3754052221775055,0.043265264481306076,0.967581570148468,0.09577961266040802,0.0005000000237487257,0.16257202625274658,0.6984126984126983,0.41787710785865784,0.03216616064310074,0.8315789473684211,0.9642457962036133,0.23876069486141205,0.286736398935318
