run_id,eval,dataset,n,E3_Fall_Precision,TN,FP,FN,TP,fall_precision,fall_recall,fall_f1,fall_accuracy,fall_auroc,fall_average_precision,direction_macro_f1,direction_accuracy,direction_n_supervised,forward_f1,backward_f1,lateral_f1,end_to_end_direction_macro_f1,end_to_end_direction_coverage,end_to_end_direction_correct_rate,E7_WEDA_FP_reduction_vs_A5_reference,model_type,feature_set,fall_expert,number_features,threshold,threshold_note,upper_bound_timing,deep_fall_used_for_final,direction_source,estimated_params_or_nodes,number_trees,max_depth,edge_suitability,complexity_notes
HYB_DT_Lite10,E6,bits,528.0,,458.0,22.0,11.0,37.0,0.6271186440677966,0.7708333333333334,0.6915887850467289,0.9375,0.9409939236111112,0.5701392450108473,0.9350469350469351,0.9444444444444444,36.0,0.972972972972973,0.9230769230769231,0.9090909090909091,0.7166907166907167,0.75,0.6944444444444444,,hybrid_ml_fall_a5_direction,Lite10,DT,10.0,0.6524142259414226,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,15.0,1.0,3.0,high,"DecisionTree depth=3, leaves=8."
HYB_DT_Lite10,E7,weda,180.0,,124.0,31.0,0.0,25.0,0.44642857142857145,1.0,0.6172839506172839,0.8277777777777777,0.8967741935483872,0.44642857142857145,0.8390350877192981,0.84,25.0,0.8421052631578947,0.875,0.8,0.8390350877192981,1.0,0.84,-10.0,hybrid_ml_fall_a5_direction,Lite10,DT,10.0,0.6524142259414226,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,15.0,1.0,3.0,high,"DecisionTree depth=3, leaves=8."
HYB_RF_Lite10,E3,bits+weda,708.0,,595.0,40.0,13.0,60.0,0.6,0.821917808219178,0.6936416184971098,0.9251412429378532,0.9545680077661525,0.699845478134884,0.8966626725247414,0.9016393442622951,61.0,0.9285714285714286,0.896551724137931,0.8648648648648649,0.7627276105536976,0.819672131147541,0.7213114754098361,,hybrid_ml_fall_a5_direction,Lite10,RF,10.0,0.6357112970711297,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,2452.0,50.0,5.0,medium,"RF 50 trees depth<=5, total nodes=2452."
HYB_RF_Lite10,E6,bits,528.0,,465.0,15.0,12.0,36.0,0.7058823529411765,0.75,0.7272727272727273,0.9488636363636364,0.9582899305555554,0.695678632521758,0.9350469350469351,0.9444444444444444,36.0,0.972972972972973,0.9230769230769231,0.9090909090909091,0.6518759018759019,0.7222222222222222,0.6666666666666666,,hybrid_ml_fall_a5_direction,Lite10,RF,10.0,0.6357112970711297,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,2452.0,50.0,5.0,medium,"RF 50 trees depth<=5, total nodes=2452."
HYB_RF_Lite10,E7,weda,180.0,,130.0,25.0,1.0,24.0,0.4897959183673469,0.96,0.6486486486486487,0.8555555555555555,0.9556129032258064,0.7606618870607564,0.8390350877192981,0.84,25.0,0.8421052631578947,0.875,0.8,0.8140350877192982,0.96,0.8,-4.0,hybrid_ml_fall_a5_direction,Lite10,RF,10.0,0.6357112970711297,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,2452.0,50.0,5.0,medium,"RF 50 trees depth<=5, total nodes=2452."
HYB_GB_Lite10,E3,bits+weda,708.0,,579.0,56.0,10.0,63.0,0.5294117647058824,0.863013698630137,0.65625,0.9067796610169492,0.961233955344623,0.7603210025651013,0.8966626725247414,0.9016393442622951,61.0,0.9285714285714286,0.896551724137931,0.8648648648648649,0.7962962962962963,0.8688524590163934,0.7704918032786885,,hybrid_ml_fall_a5_direction,Lite10,GB,10.0,0.19308368200836823,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,1436.0,100.0,3.0,medium,GradientBoosting trees=100.
HYB_GB_Lite10,E6,bits,528.0,,455.0,25.0,9.0,39.0,0.609375,0.8125,0.6964285714285714,0.9356060606060606,0.9629340277777777,0.7382035631639097,0.9350469350469351,0.9444444444444444,36.0,0.972972972972973,0.9230769230769231,0.9090909090909091,0.7386243386243386,0.8055555555555556,0.75,,hybrid_ml_fall_a5_direction,Lite10,GB,10.0,0.19308368200836823,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,1436.0,100.0,3.0,medium,GradientBoosting trees=100.
HYB_GB_Lite10,E7,weda,180.0,,124.0,31.0,1.0,24.0,0.43636363636363634,0.96,0.6,0.8222222222222222,0.9651612903225807,0.8429510239823743,0.8390350877192981,0.84,25.0,0.8421052631578947,0.875,0.8,0.8140350877192982,0.96,0.8,-10.0,hybrid_ml_fall_a5_direction,Lite10,GB,10.0,0.19308368200836823,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,1436.0,100.0,3.0,medium,GradientBoosting trees=100.
HYB_HGB_Lite10,E3,bits+weda,708.0,,623.0,12.0,21.0,52.0,0.8125,0.7123287671232876,0.7591240875912408,0.9533898305084746,0.9680185524754612,0.874683190885555,0.8966626725247414,0.9016393442622951,61.0,0.9285714285714286,0.896551724137931,0.8648648648648649,0.6630920982716478,0.7213114754098361,0.6229508196721312,,hybrid_ml_fall_a5_direction,Lite10,HGB,10.0,0.7818619246861925,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,100.0,100.0,,low,HistGradientBoosting iterations=100.
HYB_HGB_Lite10,E6,bits,528.0,,475.0,5.0,15.0,33.0,0.868421052631579,0.6875,0.7674418604651163,0.9621212121212122,0.969921875,0.8894515570349791,0.9350469350469351,0.9444444444444444,36.0,0.972972972972973,0.9230769230769231,0.9090909090909091,0.6230650154798761,0.6944444444444444,0.6388888888888888,,hybrid_ml_fall_a5_direction,Lite10,HGB,10.0,0.7818619246861925,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,100.0,100.0,,low,HistGradientBoosting iterations=100.
