end_to_end_direction_macro_f1,end_to_end_direction_coverage,end_to_end_direction_correct_rate,end_to_end_forward_f1,end_to_end_backward_f1,end_to_end_lateral_f1,direction_n_supervised,run_id,eval,dataset,feature_set,fall_expert
0.8372183372183373,0.9180327868852459,0.819672131147541,0.9090909090909091,0.7692307692307693,0.8333333333333334,61,DS_Fall_RD_A5_reference,E3,bits+weda,temporal_tilt12,A5_deep_fall_head
0.842953342953343,0.8888888888888888,0.8333333333333334,0.9444444444444444,0.7272727272727273,0.8571428571428571,36,DS_Fall_RD_A5_reference,E6,bits,temporal_tilt12,A5_deep_fall_head
0.8140350877192982,0.96,0.8,0.8421052631578947,0.8,0.8,25,DS_Fall_RD_A5_reference,E7,weda,temporal_tilt12,A5_deep_fall_head
0.7609427609427609,0.819672131147541,0.7213114754098361,0.8888888888888888,0.6666666666666666,0.7272727272727273,61,HYB_LR_Lite10,E3,bits+weda,Lite10,LR
0.6337092731829573,0.7222222222222222,0.6666666666666666,0.9142857142857143,0.25,0.7368421052631579,36,HYB_LR_Lite10,E6,bits,Lite10,LR
0.8104636591478697,0.96,0.8,0.8421052631578947,0.875,0.7142857142857143,25,HYB_LR_Lite10,E7,weda,Lite10,LR
0.7998290598290598,0.8524590163934426,0.7540983606557377,0.8461538461538461,0.72,0.8333333333333334,61,HYB_DT_Lite10,E3,bits+weda,Lite10,DT
0.7166907166907167,0.75,0.6944444444444444,0.8484848484848485,0.4444444444444444,0.8571428571428571,36,HYB_DT_Lite10,E6,bits,Lite10,DT
0.8390350877192981,1.0,0.84,0.8421052631578947,0.875,0.8,25,HYB_DT_Lite10,E7,weda,Lite10,DT
0.7627276105536976,0.819672131147541,0.7213114754098361,0.8461538461538461,0.6086956521739131,0.8333333333333334,61,HYB_RF_Lite10,E3,bits+weda,Lite10,RF
0.6518759018759019,0.7222222222222222,0.6666666666666666,0.8484848484848485,0.25,0.8571428571428571,36,HYB_RF_Lite10,E6,bits,Lite10,RF
0.8140350877192982,0.96,0.8,0.8421052631578947,0.8,0.8,25,HYB_RF_Lite10,E7,weda,Lite10,RF
0.7962962962962963,0.8688524590163934,0.7704918032786885,0.8888888888888888,0.6666666666666666,0.8333333333333334,61,HYB_GB_Lite10,E3,bits+weda,Lite10,GB
0.7386243386243386,0.8055555555555556,0.75,0.9142857142857143,0.4444444444444444,0.8571428571428571,36,HYB_GB_Lite10,E6,bits,Lite10,GB
0.8140350877192982,0.96,0.8,0.8421052631578947,0.8,0.8,25,HYB_GB_Lite10,E7,weda,Lite10,GB
0.6630920982716478,0.7213114754098361,0.6229508196721312,0.8679245283018868,0.47619047619047616,0.6451612903225806,61,HYB_HGB_Lite10,E3,bits+weda,Lite10,HGB
0.6230650154798761,0.6944444444444444,0.6388888888888888,0.8823529411764706,0.25,0.7368421052631579,36,HYB_HGB_Lite10,E6,bits,Lite10,HGB
0.6524966261808367,0.76,0.6,0.8421052631578947,0.6153846153846154,0.5,25,HYB_HGB_Lite10,E7,weda,Lite10,HGB
0.7283615136876006,0.7868852459016393,0.6885245901639344,0.8888888888888888,0.6086956521739131,0.6875,61,HYB_LR_Axis,E3,bits+weda,Axis,LR
0.6103174603174603,0.6944444444444444,0.6388888888888888,0.9142857142857143,0.25,0.6666666666666666,36,HYB_LR_Axis,E6,bits,Axis,LR
0.7854636591478696,0.92,0.76,0.8421052631578947,0.8,0.7142857142857143,25,HYB_LR_Axis,E7,weda,Axis,LR
0.8140740740740741,0.8852459016393442,0.7868852459016393,0.8888888888888888,0.72,0.8333333333333334,61,HYB_DT_Axis,E3,bits+weda,Axis,DT
0.7386243386243386,0.8055555555555556,0.75,0.9142857142857143,0.4444444444444444,0.8571428571428571,36,HYB_DT_Axis,E6,bits,Axis,DT
