feature,mean,std,min,max,p95,p99
ax,-3.5881128311157227,6.783242702484131,-78.4436264038086,78.42686462402344,7.618350028991699,10.500967979431152
ay,-3.01137638092041,5.961602210998535,-78.41632843017578,78.27363586425781,5.447287559509277,9.041462898254395
az,2.5244882106781006,5.402669429779053,-78.27603149414062,78.42638397216797,9.51168441772461,11.766291618347168
gx,-0.01491465326398611,1.2868154048919678,-31.041728973388672,27.83932876586914,1.7999999523162842,3.879050524234747
gy,0.003499007550999522,0.927764356136322,-18.841176986694336,26.291641235351562,1.3812885284423828,3.0836477279663086
gz,-0.012145768851041794,1.2640414237976074,-28.199983596801758,26.914966583251953,1.8252654075622559,4.344717979431152
acc_mag,10.717979431152344,4.917593002319336,0.10483218729496002,134.65762329101562,17.9980525970459,34.076825408935434
gyro_mag,1.1955714225769043,1.6387295722961426,9.999999747378752e-05,37.51964569091797,4.5856485366821165,7.220941543579102
jerk,0.0014901489485055208,47.57835006713867,-2154.070068359375,1906.1859130859375,37.00830841064453,168.159912109375
roll,-0.5201190710067749,1.254312515258789,-3.1415927410125732,3.1415927410125732,2.51544451713562,3.0454280376434326
pitch,0.4158551096916199,0.7228904962539673,-1.570740818977356,1.5698522329330444,1.3583288192749023,1.4631045365333546
tilt_delta,0.0022412172984331846,2.207395315170288,-68.00889587402344,54.620182037353516,2.3340821266174316,7.291257381439209
