run_id,experiment_id,train_protocol,model_name,seed,learning_rate,best_epoch,best_val_macro_f1,best_val_loss,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,historical_A5_reference_macro_f1,delta_vs_historical_A5,params,estimated_fp32_kb,estimated_int8_kb,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,params_reduction_vs_A5_Direction_Only,params_reduction_vs_historical_A5,edge_suitability,tflite_convert,int8_tflite_convert,macs_estimate,complexity_note
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,A5_Direction_Only,42,0.0005,19,0.8161268556005399,0.6101688146591187,0.5744810744810745,0.6,0.5,0.7619047619047619,0.46153846153846156,25,0.839,-0.2645189255189254,57268,223.703125,55.92578125,4,2,3,1,8,0,2,2,3,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E4_BITS_TO_WEDA_seed42_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,A5_Direction_Only,42,0.0005,7,0.8061497326203209,0.44309598207473755,0.3634632034632035,0.4,0.48,0.18181818181818182,0.42857142857142855,25,,,57268,223.703125,55.92578125,6,0,3,7,1,1,3,1,3,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E5_WEDA_TO_BITS_seed42_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,A5_Direction_Only,42,0.0005,12,0.8306878306878307,0.7712780833244324,0.6046070460704608,0.6666666666666666,0.7804878048780488,0.5333333333333333,0.5,36,,,57268,223.703125,55.92578125,16,2,0,2,4,0,5,3,4,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E1_BITS_TO_BITS_seed43_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,A5_Direction_Only,43,0.001,7,0.8121977584343175,0.4231163263320923,0.8428731762065095,0.8055555555555556,0.7878787878787878,1.0,0.7407407407407407,36,,,57268,223.703125,55.92578125,13,0,5,0,6,0,2,0,10,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E2_WEDA_TO_WEDA_seed43_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,A5_Direction_Only,43,0.001,18,0.8382352941176471,0.7998369932174683,0.6666666666666666,0.68,0.5714285714285714,0.7619047619047619,0.6666666666666666,25,,,57268,223.703125,55.92578125,4,3,2,0,8,1,1,1,5,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed43_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,A5_Direction_Only,43,0.001,11,0.8776895943562609,0.5121282339096069,0.734430940267571,0.7540983606557377,0.819672131147541,0.7586206896551724,0.625,61,0.8967,-0.162269059732429,57268,223.703125,55.92578125,25,0,2,3,11,1,6,3,10,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed43_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,A5_Direction_Only,43,0.001,11,0.8776895943562609,0.5121282339096069,0.8648581692059953,0.8611111111111112,0.8888888888888888,0.9230769230769231,0.782608695652174,36,0.935,-0.07014183079400471,57268,223.703125,55.92578125,16,0,2,0,6,0,2,1,9,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed43_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,A5_Direction_Only,43,0.001,11,0.8776895943562609,0.5121282339096069,0.5224074074074073,0.6,0.72,0.625,0.2222222222222222,25,0.839,-0.31659259259259265,57268,223.703125,55.92578125,9,0,0,3,5,1,4,2,1,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E4_BITS_TO_WEDA_seed43_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,A5_Direction_Only,43,0.001,7,0.8121977584343175,0.4231163263320923,0.14583333333333334,0.28,0.0,0.0,0.4375,25,,,57268,223.703125,55.92578125,0,0,9,0,0,9,0,0,7,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E5_WEDA_TO_BITS_seed43_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,A5_Direction_Only,43,0.001,18,0.8382352941176471,0.7998369932174683,0.5713937621832359,0.6666666666666666,0.8947368421052632,0.375,0.4444444444444444,36,,,57268,223.703125,55.92578125,17,1,0,1,3,2,2,6,4,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
