model_name,protocol_id,seed,learning_rate,best_val_macro_f1,best_val_loss,architecture_note,params,estimated_fp32_kb,estimated_int8_kb,params_reduction_vs_A5_Direction_Only,params_reduction_vs_historical_A5,edge_suitability,tflite_convert,int8_tflite_convert,macs_estimate,complexity_note
A5_Direction_Only,E4_BITS_TO_WEDA,43,0.001,0.8121977584343175,0.4231163263320923,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E5_WEDA_TO_BITS,43,0.001,0.8382352941176471,0.7998369932174683,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E1_BITS_TO_BITS,43,0.0005,0.8927738927738927,0.4159986674785614,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E2_WEDA_TO_WEDA,43,0.0005,0.8004357298474946,0.7407917976379395,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E3_BITS_WEDA_MIXED,43,0.0005,0.8709783430280326,0.5168944001197815,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E4_BITS_TO_WEDA,43,0.0005,0.8927738927738927,0.4159986674785614,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E5_WEDA_TO_BITS,43,0.0005,0.8004357298474946,0.7407917976379395,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E1_BITS_TO_BITS,44,0.001,0.8709639126305793,0.3519497215747833,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E2_WEDA_TO_WEDA,44,0.001,0.8766884531590414,0.5113512277603149,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E3_BITS_WEDA_MIXED,44,0.001,0.8362260374644276,0.5349994897842407,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E4_BITS_TO_WEDA,44,0.001,0.8709639126305793,0.3519497215747833,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E5_WEDA_TO_BITS,44,0.001,0.8766884531590414,0.5113512277603149,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E1_BITS_TO_BITS,44,0.0005,0.8684766214177979,0.4081360697746277,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E2_WEDA_TO_WEDA,44,0.0005,0.8684960263907632,0.3741755485534668,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E3_BITS_WEDA_MIXED,44,0.0005,0.8115384615384617,0.8052287697792053,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
