model_name,learning_rate,params,mean_avg_e3_e6_e7_f1,std_avg_e3_e6_e7_f1,mean_e3_f1,std_e3_f1,mean_e6_f1,std_e6_f1,mean_e7_f1,std_e7_f1,mean_cv_e3_e6_e7,mean_delta_vs_historical_A5,params_reduction_vs_A5_Direction_Only,estimated_fp32_kb,estimated_int8_kb,delta_vs_A5_Direction_Only_mean,std_delta_vs_A5_Direction_Only,delta_vs_LDX1_mean
LDX1_D1_Wide_DSConv,0.001,5699,0.8284819360042753,0.048153876658432654,0.8303292953239619,0.04506667998012403,0.8380655147245536,0.046931276997507786,0.8170509979643107,0.0585422472982405,0.01590489069639951,-0.061751397329057954,0.9004854368932039,22.26171875,5.5654296875,0.0785774371150173,-0.0450147717897844,
LDX1_D1_Wide_DSConv,0.0005,5699,0.826265402884194,0.025468976261958435,0.8275419494540504,0.02506274767010442,0.8095826215826216,0.059522213271701575,0.8416716376159101,0.046212246499017395,0.04895025298555374,-0.06396793044913936,0.9004854368932039,22.26171875,5.5654296875,0.054659293647479235,-0.012288240044490962,
A5_Direction_Only,0.0005,57268,0.7716061092367148,0.0377572163064494,0.7815396075072082,0.0346252206214737,0.8158763736674626,0.07161621197592617,0.7174023465354734,0.11107887389103338,0.09180033469382183,-0.11862722409661863,0.0,223.703125,55.92578125,,,-0.054659293647479235
A5_Direction_Only,0.001,57268,0.749904498889258,0.09316864844821705,0.7638057547783387,0.08218023609914112,0.831843872713438,0.047286892396004226,0.6540638691759973,0.1838041357613125,0.13738865506259673,-0.14032883444407537,0.0,223.703125,55.92578125,,,-0.0785774371150173
