pipeline,experiment_id,train_protocol,source,E2E_Direction_Macro_F1,coverage,correct_rate,forward_f1,backward_f1,lateral_f1,direction_n_supervised,fall_branch
A5_Direction_Only_E5_WEDA_TO_BITS_seed44_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.495906432748538,0.6944444444444444,0.4722222222222222,0.7333333333333333,0.3333333333333333,0.42105263157894735,36,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E1_BITS_TO_BITS_seed45_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.7041666666666666,0.8055555555555556,0.6944444444444444,0.8125,0.5,0.8,36,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E2_WEDA_TO_WEDA_seed45_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.7674242424242425,0.88,0.72,0.7,0.875,0.7272727272727273,25,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed45_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.6610644257703081,0.8524590163934426,0.639344262295082,0.8235294117647058,0.5882352941176471,0.5714285714285714,61,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed45_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.651702786377709,0.8055555555555556,0.6388888888888888,0.8235294117647058,0.5,0.631578947368421,36,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed45_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.634779164190929,0.92,0.64,0.8235294117647058,0.6363636363636364,0.4444444444444444,25,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E4_BITS_TO_WEDA_seed45_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.4343434343434343,0.96,0.52,0.6666666666666666,0.0,0.6363636363636364,25,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E5_WEDA_TO_BITS_seed45_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.5608974358974359,0.6944444444444444,0.5555555555555556,0.875,0.3076923076923077,0.5,36,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E1_BITS_TO_BITS_seed45_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.6689814814814815,0.8055555555555556,0.6666666666666666,0.8125,0.4444444444444444,0.75,36,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E2_WEDA_TO_WEDA_seed45_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.809368191721133,0.88,0.76,0.7058823529411765,0.8888888888888888,0.8333333333333334,25,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed45_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.6795943204868155,0.8524590163934426,0.6557377049180327,0.84,0.6470588235294118,0.5517241379310345,61,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed45_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.6135411429529076,0.8055555555555556,0.6111111111111112,0.8235294117647058,0.46153846153846156,0.5555555555555556,36,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed45_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.7274531024531025,0.92,0.72,0.875,0.7619047619047619,0.5454545454545454,25,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E4_BITS_TO_WEDA_seed45_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.34035087719298246,0.96,0.4,0.6,0.0,0.42105263157894735,25,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E5_WEDA_TO_BITS_seed45_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.4983974358974359,0.6944444444444444,0.5,0.8125,0.3076923076923077,0.375,36,GradientBoosting_FallNoTiming_Full_132
