run_id,experiment_id,train_protocol,model_name,seed,learning_rate,best_epoch,best_val_macro_f1,best_val_loss,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,A5_direction_macro_f1,D1_tiny_direction_macro_f1,D2_micro_tcn_direction_macro_f1,delta_vs_A5,delta_vs_D1,delta_vs_D2,params,estimated_fp32_kb,estimated_int8_kb,distill_temperature,distill_alpha,teacher_note,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,macs_estimate,tflite_convert,int8_tflite_convert,edge_suitability,complexity_note
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,42,0.0005,23,0.8928812415654521,0.42846181988716125,0.8374727668845315,0.84,0.8888888888888888,0.8235294117647058,0.8,25,0.8390350877192981,0.8846903583745688,0.7930283224400871,-0.0015623208347665951,-0.047217591490037236,0.0444444444444444,5699,22.26171875,5.5654296875,,,,8,1,0,0,7,2,1,0,6,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E4_BITS_TO_WEDA_seed42_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,LDX1_D1_Wide_DSConv,42,0.0005,24,0.8772175536881419,0.40039607882499695,0.3383838383838384,0.44,0.6666666666666666,0.16666666666666666,0.18181818181818182,25,0.3876262626262626,0.1777777777777777,0.3668261562998405,-0.0492424242424242,0.1606060606060607,-0.028442317916002102,5699,22.26171875,5.5654296875,,,,9,0,0,5,1,3,4,2,1,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E5_WEDA_TO_BITS_seed42_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,LDX1_D1_Wide_DSConv,42,0.0005,7,0.9166666666666666,0.8628743886947632,0.7424501424501425,0.7777777777777778,0.8717948717948718,0.8,0.5555555555555556,36,0.6271469828241374,0.6770334928229665,0.6596491228070175,0.11530315962600513,0.06541664962717597,0.08280101964312503,5699,22.26171875,5.5654296875,,,,17,0,1,0,6,0,4,3,5,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E1_BITS_TO_BITS_seed43_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,LDX1_D1_Wide_DSConv,43,0.001,29,0.8993788819875776,0.32943034172058105,0.8534618534618535,0.8888888888888888,0.972972972972973,0.7692307692307693,0.8181818181818182,36,0.8777348777348778,0.8322981366459627,0.8659932659932661,-0.024273024273024246,0.0211637168158908,-0.012531412531412545,5699,22.26171875,5.5654296875,,,,18,0,0,0,5,1,1,2,9,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E2_WEDA_TO_WEDA_seed43_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,LDX1_D1_Wide_DSConv,43,0.001,14,0.9581699346405229,0.28886836767196655,0.9197780776728145,0.92,0.8888888888888888,0.9473684210526315,0.9230769230769231,25,0.6071428571428571,0.8773809523809524,0.6004357298474946,0.3126352205299574,0.042397125291862126,0.3193423478253199,5699,22.26171875,5.5654296875,,,,8,1,0,0,9,0,1,0,6,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed43_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,43,0.001,13,0.8916293916293917,0.3871763348579407,0.8716991341991341,0.8852459016393442,0.9454545454545454,0.8571428571428571,0.8125,61,0.8966626725247414,0.8196649029982362,0.802435064935065,-0.02496353832560727,0.052034231200897896,0.06926406926406914,5699,22.26171875,5.5654296875,,,,26,1,0,0,15,0,2,4,13,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed43_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,43,0.001,13,0.8916293916293917,0.3871763348579407,0.8681704260651628,0.8888888888888888,0.9473684210526315,0.8571428571428571,0.8,36,0.9350469350469351,0.7830568124685771,0.8320946364424625,-0.06687650898177233,0.08511361359658576,0.036075789622700305,5699,22.26171875,5.5654296875,,,,18,0,0,0,6,0,2,2,8,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed43_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,43,0.001,13,0.8916293916293917,0.3871763348579407,0.8772175536881419,0.88,0.9411764705882353,0.8571428571428571,0.8333333333333334,25,0.8390350877192981,0.8846903583745688,0.7930283224400871,0.03818246596884378,-0.007472804686426859,0.08418923124805477,5699,22.26171875,5.5654296875,,,,8,1,0,0,9,0,0,2,5,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E4_BITS_TO_WEDA_seed43_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,LDX1_D1_Wide_DSConv,43,0.001,29,0.8993788819875776,0.32943034172058105,0.3742985409652076,0.44,0.5925925925925926,0.16666666666666666,0.36363636363636365,25,0.3876262626262626,0.1777777777777777,0.3668261562998405,-0.013327721661055003,0.1965207631874299,0.007472384665367093,5699,22.26171875,5.5654296875,,,,8,0,1,7,1,1,3,2,2,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E5_WEDA_TO_BITS_seed43_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,LDX1_D1_Wide_DSConv,43,0.001,14,0.9581699346405229,0.28886836767196655,0.6749999999999999,0.75,0.9,0.625,0.5,36,0.6271469828241374,0.6770334928229665,0.6596491228070175,0.047853017175862544,-0.0020334928229666094,0.015350877192982448,5699,22.26171875,5.5654296875,,,,18,0,0,1,5,0,3,5,4,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
