model_name,protocol_id,seed,learning_rate,params,best_val_macro_f1,teacher_note,estimated_fp32_kb,estimated_int8_kb,macs_estimate,tflite_convert,int8_tflite_convert,edge_suitability,complexity_note
LDX1_D1_Wide_DSConv,E4_BITS_TO_WEDA,44,0.001,5699,0.8250000000000001,,22.26171875,5.5654296875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv,E5_WEDA_TO_BITS,44,0.001,5699,0.8379629629629629,,22.26171875,5.5654296875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv,E1_BITS_TO_BITS,44,0.0005,5699,0.8216538789428816,,22.26171875,5.5654296875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv,E2_WEDA_TO_WEDA,44,0.0005,5699,0.8379629629629629,,22.26171875,5.5654296875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv,E3_BITS_WEDA_MIXED,44,0.0005,5699,0.8606887589343731,,22.26171875,5.5654296875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv,E4_BITS_TO_WEDA,44,0.0005,5699,0.8216538789428816,,22.26171875,5.5654296875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv,E5_WEDA_TO_BITS,44,0.0005,5699,0.8379629629629629,,22.26171875,5.5654296875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E1_BITS_TO_BITS,42,0.001,5748,0.7981481481481482,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E2_WEDA_TO_WEDA,42,0.001,5748,0.8297619047619048,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E3_BITS_WEDA_MIXED,42,0.001,5748,0.8274828630639247,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E4_BITS_TO_WEDA,42,0.001,5748,0.7981481481481482,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E5_WEDA_TO_BITS,42,0.001,5748,0.8297619047619048,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E1_BITS_TO_BITS,42,0.0005,5748,0.7668326220957798,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E2_WEDA_TO_WEDA,42,0.0005,5748,0.8283945157010173,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E3_BITS_WEDA_MIXED,42,0.0005,5748,0.8304839177050131,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E4_BITS_TO_WEDA,42,0.0005,5748,0.7668326220957798,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E5_WEDA_TO_BITS,42,0.0005,5748,0.8283945157010173,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E1_BITS_TO_BITS,43,0.001,5748,0.7824463118580764,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E2_WEDA_TO_WEDA,43,0.001,5748,0.7891788294265075,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E3_BITS_WEDA_MIXED,43,0.001,5748,0.7497536945812807,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E4_BITS_TO_WEDA,43,0.001,5748,0.7824463118580764,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E5_WEDA_TO_BITS,43,0.001,5748,0.7891788294265075,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E1_BITS_TO_BITS,43,0.0005,5748,0.7261904761904763,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E2_WEDA_TO_WEDA,43,0.0005,5748,0.5930500658761528,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E3_BITS_WEDA_MIXED,43,0.0005,5748,0.6430750077808901,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E4_BITS_TO_WEDA,43,0.0005,5748,0.7261904761904763,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E5_WEDA_TO_BITS,43,0.0005,5748,0.5930500658761528,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E1_BITS_TO_BITS,44,0.001,5748,0.8138998682476943,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E2_WEDA_TO_WEDA,44,0.001,5748,0.8614718614718614,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
