id,experiment_type,model,train_datasets,test_datasets,test_split,n_train,n_val,n_test,n_train_direction,n_val_direction,n_test_direction,note,feature_set,direction_loss_type,lambda_direction,fall_loss_weighted,augment,fall_accuracy,fall_precision,fall_recall,fall_f1,direction_num_supervised,direction_accuracy,direction_macro_f1,params,fp32_kb,estimated_int8_kb,inference_latency_ms,bits_fall_f1,bits_direction_macro_f1,bits_direction_num_supervised,direction_forward_precision,direction_forward_recall,direction_forward_f1,direction_backward_precision,direction_backward_recall,direction_backward_f1,direction_lateral_precision,direction_lateral_recall,direction_lateral_f1,weda_fall_f1,weda_direction_macro_f1,weda_direction_num_supervised,hifd_fall_f1,hifd_direction_macro_f1,hifd_direction_num_supervised,umafall_fall_f1,umafall_direction_macro_f1,umafall_direction_num_supervised
DS_BITS,dataset_specific,A5WCEFW,bits,bits,test,2501,528,528,172,36,36,Existing split within one dataset.,tilt12,,,,,0.9753787878787878,0.8571428571428571,0.875,0.865979381443299,36,0.7777777777777778,0.7321123321123321,65959,257.65234375,64.4130859375,63.20795666664102,0.865979381443299,0.7321123321123321,36.0,0.9411764705882352,0.8888888888888888,0.9142857142857144,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,
DS_WEDA,dataset_specific,A5WCEFW,weda,weda,test,1488,219,172,300,25,25,Existing split within one dataset.,tilt12,,,,,0.9534883720930232,0.7931034482758621,0.92,0.8518518518518519,25,0.72,0.7318840579710145,65959,257.65234375,64.4130859375,65.11480666667921,,,,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.8333333333333334,0.5555555555555556,0.6666666666666666,1.0,0.7142857142857143,0.8333333333333334,0.8518518518518519,0.7318840579710145,25.0,,,,,,
DS_HIFD,dataset_specific,A5WCEFW,hifd,hifd,test,959,195,175,74,15,15,Existing split within one dataset.,tilt12,,,,,1.0,1.0,1.0,1.0,15,0.7333333333333333,0.7248677248677248,65959,257.65234375,64.4130859375,64.79311000002781,,,,0.6666666666666666,0.5,0.5714285714285714,0.625,0.8333333333333334,0.7142857142857143,1.0,0.8,0.8888888888888888,,,,1.0,0.7248677248677248,15.0,,,
DS_UMAFALL,dataset_specific,A5WCEFW,umafall,umafall,test,638,148,192,148,23,37,Existing split within one dataset.,tilt12,,,,,0.8125,1.0,0.027027027027027,0.0526315789473684,37,0.4054054054054054,0.3406264945002391,65959,257.65234375,64.4130859375,64.78640333322498,,,,0.6666666666666666,0.1538461538461538,0.25,0.3793103448275862,0.9166666666666666,0.5365853658536586,0.4,0.1666666666666666,0.2352941176470588,,,,,,,0.0526315789473684,0.3406264945002391,37.0
T3_BITS,train3_test1,A5WCEFW,weda+hifd+umafall,bits,all,3085,562,3557,522,63,244,Held-out test dataset uses all its windows; it is never used for scaler or early stopping.,tilt12,,,,,0.9457407928029238,0.7558139534883721,0.6,0.6689536878216124,244,0.44672131147540983,0.4279575371878995,65959,257.65234375,64.4130859375,65.73136666678087,0.6689536878216124,0.4279575371878995,244.0,0.7307692307692307,0.47107438016528924,0.5728643216080402,0.21739130434782608,0.4878048780487805,0.3007518796992481,0.43243243243243246,0.3902439024390244,0.41025641025641024,,,,,,,,,
T3_WEDA,train3_test1,A5WCEFW,bits+hifd+umafall,weda,all,4098,871,1879,394,74,350,Held-out test dataset uses all its windows; it is never used for scaler or early stopping.,tilt12,,,,,0.8408728046833422,0.5415986949429038,0.9485714285714286,0.6895119418483905,350,0.44571428571428573,0.4310267591723027,65959,257.65234375,64.4130859375,63.37117333314382,,,,0.5294117647058824,0.6428571428571429,0.5806451612903226,0.40476190476190477,0.2698412698412698,0.3238095238095238,0.36283185840707965,0.41836734693877553,0.3886255924170616,0.6895119418483905,0.4310267591723027,350.0,,,,,,
T3_HIFD,train3_test1,A5WCEFW,bits+weda+umafall,hifd,all,4627,895,1329,620,84,104,Held-out test dataset uses all its windows; it is never used for scaler or early stopping.,tilt12,,,,,0.6877351392024078,0.19805825242718447,0.9807692307692307,0.3295638126009693,104,0.46153846153846156,0.3992073915347573,65959,257.65234375,64.4130859375,132.12296000007578,,,,0.37681159420289856,0.7878787878787878,0.5098039215686274,0.6666666666666666,0.058823529411764705,0.10810810810810811,0.625,0.5405405405405406,0.5797101449275363,,,,0.3295638126009693,0.3992073915347573,104.0,,,
T3_UMAFALL,train3_test1,A5WCEFW,bits+weda+hifd,umafall,all,4948,942,978,546,76,208,Held-out test dataset uses all its windows; it is never used for scaler or early stopping.,tilt12,,,,,0.843558282208589,0.5856697819314641,0.9038461538461539,0.7107750472589792,208,0.3701923076923077,0.3685332211648001,65959,257.65234375,64.4130859375,78.3205766667379,,,,0.4722222222222222,0.4788732394366197,0.4755244755244755,0.3283582089552239,0.3013698630136986,0.3142857142857143,0.30434782608695654,0.328125,0.3157894736842105,,,,,,,0.7107750472589792,0.3685332211648001,208.0
