experiment_id,train_dataset,test_dataset,sampling_rate,input_shape,n_train,n_val,n_test,fall_f1,fall_precision,fall_recall,fall_accuracy,direction_macro_f1,direction_accuracy,direction_n_supervised,best_epoch,best_val_loss,model_params,model_size_float32_kb,model_size_int8_kb_if_available,inference_latency_ms
E1_BITS_TO_BITS,bits,bits,25.0,"(50, 12)",2504,528,528,0.8888888888888888,0.9523809523809523,0.8333333333333334,0.9810606060606061,0.8777348777348778,0.8888888888888888,36,16,0.41136667132377625,65959,257.65234375,64.4130859375,96.79713333331772
E2_WEDA_TO_WEDA,weda,weda,25.0,"(50, 12)",1495,220,180,0.7755102040816326,0.7916666666666666,0.76,0.9388888888888889,0.6071428571428571,0.64,25,23,0.28851690888404846,65959,257.65234375,64.4130859375,97.75801666664847
E3_BITS_WEDA_MIXED,bits+weda,bits+weda,25.0,"(50, 12)",3999,748,708,0.8322981366459627,0.7613636363636364,0.9178082191780822,0.961864406779661,0.8966626725247414,0.9016393442622951,61,41,0.5923778414726257,65959,257.65234375,64.4130859375,96.25339333333613
E4_BITS_TO_WEDA,bits,weda,25.0,"(50, 12)",2504,528,180,0.5,0.34328358208955223,0.92,0.7444444444444445,0.3876262626262626,0.4,25,16,0.41136667132377625,65959,257.65234375,64.4130859375,99.39346666666704
E5_WEDA_TO_BITS,weda,bits,25.0,"(50, 12)",1495,220,528,0.7073170731707317,0.8529411764705882,0.6041666666666666,0.9545454545454546,0.6271469828241374,0.6666666666666666,36,23,0.28851690888404846,65959,257.65234375,64.4130859375,98.46131000000848
