feature,mean,std,min,max,p95,p99
ax,-3.9897828102111816,7.5422797203063965,-78.4436264038086,78.42686462402344,8.669565200805664,12.810975074768066
ay,-3.2406342029571533,5.125655174255371,-78.41632843017578,78.27363586425781,3.9394195079803467,9.053434371948242
az,3.0430855751037598,5.08554744720459,-78.27603149414062,78.42638397216797,9.647675514221191,14.667669858932518
gx,-0.08008256554603577,1.4406521320343018,-23.608396530151367,26.709524154663086,1.8608298897743196,3.980208396911621
gy,-0.015922915190458298,1.045912265777588,-18.841176986694336,17.796297073364258,1.426036167144774,3.2175493240356445
gz,-0.023532958701252937,1.3076244592666626,-19.34878158569336,16.43593978881836,1.8787771463394165,4.218247027397157
acc_mag,10.828168869018555,5.23949670791626,0.1137707382440567,134.65762329101562,18.276251506805362,34.158424987793055
gyro_mag,1.3259164094924927,1.7687448263168335,9.999999747378752e-05,27.204898834228516,4.83729362487793,7.949814009666445
jerk,0.1693928986787796,59.87309646606445,-1387.199951171875,1274.3145751953125,52.024986267089844,201.42079162597656
roll,-0.6748911142349243,0.9980117678642273,-3.1413469314575195,3.1415927410125732,1.4070728540420525,2.8262634873390287
pitch,0.47870317101478577,0.7871381044387817,-1.570740818977356,1.5642657279968262,1.379485845565796,1.467347502708435
tilt_delta,0.04443344846367836,3.1569344997406006,-55.403472900390625,48.87770462036133,3.8883857011795016,10.961277341842665
