dataset,n_test,fall_accuracy,fall_precision,fall_recall,fall_f1,direction_n_supervised,direction_accuracy,direction_macro_f1
bits,528,0.990530303030303,1.0,0.8958333333333334,0.945054945054945,36,0.9444444444444444,0.9350469350469351
weda,180,0.8777777777777778,0.5333333333333333,0.96,0.6857142857142857,25,0.84,0.8390350877192981
