run_id,experiment_id,train_protocol,test_dataset,model_name,model_type,feature_set,feature_count,threshold,threshold_note,TN,FP,FN,TP,fall_precision,fall_recall,fall_f1,accuracy,AUROC,average_precision,FP_reduction_vs_A5,complexity,complexity_note
FALL_LinearSVM_FallNoTiming_Core_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,LinearSVM,fall_only_ml,FallNoTiming_Core,16,0.5975804540312075,best_val_f1_then_precision_with_recall088_tiebreak,81,74,1,24,0.24489795918367346,0.96,0.3902439024390244,0.5833333333333334,0.8082580645161291,0.31967235723582965,-30,17,LinearSVM params~17
FALL_LinearSVM_FallNoTiming_Core_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,LinearSVM,fall_only_ml,FallNoTiming_Core,16,0.6917300703841854,best_val_f1_then_precision_with_recall088_tiebreak,463,17,18,30,0.6382978723404256,0.625,0.631578947368421,0.9337121212121212,0.9437934027777778,0.7177924977463159,-12,17,LinearSVM params~17
FALL_LinearSVM_FallNoTiming_Core_E6_E3_MIXED_TEST_BITS,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED_REUSED,bits,LinearSVM,fall_only_ml,FallNoTiming_Core,16,0.4483487867444781,best_val_f1_then_precision_with_recall088_tiebreak,475,5,15,33,0.868421052631579,0.6875,0.7674418604651163,0.9621212121212122,0.9756510416666666,0.8947915298125109,-5,17,LinearSVM params~17
FALL_LinearSVM_FallNoTiming_Core_E7_E3_MIXED_TEST_WEDA,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED_REUSED,weda,LinearSVM,fall_only_ml,FallNoTiming_Core,16,0.4483487867444781,best_val_f1_then_precision_with_recall088_tiebreak,132,23,4,21,0.4772727272727273,0.84,0.6086956521739131,0.85,0.9390967741935484,0.7593187058618152,-2,17,LinearSVM params~17
FALL_RandomForest_FallNoTiming_Core_E1_BITS_TO_BITS,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,RandomForest,fall_only_ml,FallNoTiming_Core,16,0.3430962343096234,best_val_f1_then_precision_with_recall088_tiebreak,467,13,5,43,0.7678571428571429,0.8958333333333334,0.8269230769230769,0.9659090909090909,0.9838324652777778,0.9326045939878762,-11,300,RandomForest trees=300 fall / 200 direction
FALL_RandomForest_FallNoTiming_Core_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,RandomForest,fall_only_ml,FallNoTiming_Core,16,0.7405857740585774,best_val_f1_then_precision_with_recall088_tiebreak,153,2,10,15,0.8823529411764706,0.6,0.7142857142857143,0.9333333333333333,0.9788387096774194,0.8880823764561264,3,300,RandomForest trees=300 fall / 200 direction
FALL_RandomForest_FallNoTiming_Core_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,RandomForest,fall_only_ml,FallNoTiming_Core,16,0.405857740585774,best_val_f1_then_precision_with_recall088_tiebreak,617,18,10,63,0.7777777777777778,0.863013698630137,0.8181818181818182,0.96045197740113,0.9729802610290151,0.8846585670563447,3,300,RandomForest trees=300 fall / 200 direction
FALL_RandomForest_FallNoTiming_Core_E3_BITS_WEDA_MIXED,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,bits,RandomForest,fall_only_ml,FallNoTiming_Core,16,0.405857740585774,best_val_f1_then_precision_with_recall088_tiebreak,471,9,9,39,0.8125,0.8125,0.8125,0.9659090909090909,0.9721788194444443,0.8839161685499426,-9,300,RandomForest trees=300 fall / 200 direction
FALL_RandomForest_FallNoTiming_Core_E3_BITS_WEDA_MIXED,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,weda,RandomForest,fall_only_ml,FallNoTiming_Core,16,0.405857740585774,best_val_f1_then_precision_with_recall088_tiebreak,146,9,1,24,0.7272727272727273,0.96,0.8275862068965517,0.9444444444444444,0.9828387096774194,0.9100470216917586,12,300,RandomForest trees=300 fall / 200 direction
FALL_RandomForest_FallNoTiming_Core_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,RandomForest,fall_only_ml,FallNoTiming_Core,16,0.3430962343096234,best_val_f1_then_precision_with_recall088_tiebreak,102,53,0,25,0.32051282051282054,1.0,0.4854368932038835,0.7055555555555556,0.9651612903225806,0.8412005702089221,-9,300,RandomForest trees=300 fall / 200 direction
FALL_RandomForest_FallNoTiming_Core_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,RandomForest,fall_only_ml,FallNoTiming_Core,16,0.7405857740585774,best_val_f1_then_precision_with_recall088_tiebreak,476,4,26,22,0.8461538461538461,0.4583333333333333,0.5945945945945946,0.9431818181818182,0.9546657986111112,0.7498937682226865,1,300,RandomForest trees=300 fall / 200 direction
FALL_RandomForest_FallNoTiming_Core_E6_E3_MIXED_TEST_BITS,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED_REUSED,bits,RandomForest,fall_only_ml,FallNoTiming_Core,16,0.405857740585774,best_val_f1_then_precision_with_recall088_tiebreak,471,9,9,39,0.8125,0.8125,0.8125,0.9659090909090909,0.9721788194444443,0.8839161685499426,-9,300,RandomForest trees=300 fall / 200 direction
FALL_RandomForest_FallNoTiming_Core_E7_E3_MIXED_TEST_WEDA,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED_REUSED,weda,RandomForest,fall_only_ml,FallNoTiming_Core,16,0.405857740585774,best_val_f1_then_precision_with_recall088_tiebreak,146,9,1,24,0.7272727272727273,0.96,0.8275862068965517,0.9444444444444444,0.9828387096774194,0.9100470216917586,12,300,RandomForest trees=300 fall / 200 direction
FALL_GradientBoosting_FallNoTiming_Core_E1_BITS_TO_BITS,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,GradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.45154072617295926,best_val_f1_then_precision_with_recall088_tiebreak,474,6,6,42,0.875,0.875,0.875,0.9772727272727273,0.97890625,0.9330364386190849,-4,100,GradientBoosting default trees=100
FALL_GradientBoosting_FallNoTiming_Core_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,GradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.88991895382407,best_val_f1_then_precision_with_recall088_tiebreak,154,1,9,16,0.9411764705882353,0.64,0.7619047619047619,0.9444444444444444,0.9907096774193549,0.9433462893481329,4,100,GradientBoosting default trees=100
