run_id,protocol_id,task,feature,importance,rank,method
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,roll_mean,0.5814345718132773,6.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,gy_median,0.5809884035279077,7.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,ax_mean,0.5748666759723859,8.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,pitch_mean,0.526886263095708,9.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,ax_final_initial,0.4892805618596472,10.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,delta_pitch_window,0.4866998563467287,11.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,gy_std,0.45893476014166595,12.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,pre_gx_mean,0.4569194615689316,13.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,pre_az_mean,0.4143105684713749,14.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,az_max,0.4121986634708432,15.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,tilt_delta_mean,0.40664490339539405,16.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,ay_std,0.39605242954415915,17.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,pitch_std,0.3911408014610121,18.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,gx_max,0.3908065075830513,19.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,gz_mean,0.3856768573502533,20.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,az_min,0.3746075790096814,21.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,tilt_delta_max,0.3692564368202915,22.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,tilt_delta_std,0.3582370558269474,23.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,ay_max,0.34356268992478417,24.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,pre_gz_mean,0.34078238871264205,25.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,tilt_delta_p95,0.3294379742016963,26.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,ay_final_initial,0.32687263971031216,27.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,gx_median,0.2687003862548748,28.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,gz_median,0.264534415089172,29.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,direction,roll_min,0.25443995747337944,30.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,direction,ay_mean,1.0897277229758806,1.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,direction,gy_mean,0.7681213780397685,2.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,direction,pre_ay_mean,0.634751384779543,3.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,direction,gx_median,0.5484505030474546,4.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,direction,ax_std,0.5403850298760338,5.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,direction,pitch_mean,0.5153376795730229,6.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,direction,roll_mean,0.4754635347311112,7.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,direction,ax_mean,0.4309453024989867,8.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,direction,gy_std,0.4204770730427791,9.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,direction,gx_mean,0.420226213774139,10.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,direction,gy_median,0.41293135157159994,11.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,direction,ay_max,0.390662965475721,12.0,abs_linear_coef
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,direction,ay_std,0.38814678107981854,13.0,abs_linear_coef
