experiment_id,model_name,model_type,feature_set,fall_expert,fall_precision,fall_recall,fall_f1,accuracy,FP,FN,TP,TN,AUROC,average_precision,complexity,notes,task,direction_model,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,run_id,eval,dataset,n,E3_Fall_Precision,fall_accuracy,fall_auroc,fall_average_precision,end_to_end_direction_macro_f1,end_to_end_direction_coverage,end_to_end_direction_correct_rate,E7_WEDA_FP_reduction_vs_A5_reference,number_features,threshold,threshold_note,upper_bound_timing,deep_fall_used_for_final,direction_source,estimated_params_or_nodes,number_trees,max_depth,edge_suitability,complexity_notes
E7_E3_MIXED_TEST_WEDA,DS-Fall-RD A5,a5_reference,temporal_tilt12,,,,,,,,,,,,65959.0,saved predictions: C:\Users\ADMIN\Desktop\ds-fall\artifacts\experiments_25hz_event\E7_E3_MIXED_TEST_WEDA\predictions.csv,direction,A5_direction_head,0.8390350877192981,0.84,0.8421052631578947,0.875,0.8,25.0,,,,,,,,,,,,,,,,,,,,,,,
E1_BITS_TO_BITS,GradientBoosting,ml_fall_only,FallNoTiming_Core,GradientBoosting,0.875,0.875,0.875,,6.0,6.0,,,0.97890625,0.9330364386190849,100.0,best ML fall-only by protocol and feature set,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2_WEDA_TO_WEDA,GradientBoosting,ml_fall_only,FallNoTiming_Core,GradientBoosting,0.9411764705882353,0.64,0.7619047619047619,,1.0,9.0,,,0.9907096774193549,0.9433462893481329,100.0,best ML fall-only by protocol and feature set,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3_BITS_WEDA_MIXED,RandomForest,ml_fall_only,FallNoTiming_Core,RandomForest,0.7777777777777778,0.863013698630137,0.8181818181818182,,18.0,10.0,,,0.9729802610290151,0.8846585670563447,300.0,best ML fall-only by protocol and feature set,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4_BITS_TO_WEDA,RandomForest,ml_fall_only,FallNoTiming_Core,RandomForest,0.32051282051282054,1.0,0.4854368932038835,,53.0,0.0,,,0.9651612903225806,0.8412005702089221,300.0,best ML fall-only by protocol and feature set,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5_WEDA_TO_BITS,LinearSVM,ml_fall_only,FallNoTiming_Core,LinearSVM,0.6382978723404256,0.625,0.631578947368421,,17.0,18.0,,,0.9437934027777778,0.7177924977463159,17.0,best ML fall-only by protocol and feature set,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6_E3_MIXED_TEST_BITS,RandomForest,ml_fall_only,FallNoTiming_Core,RandomForest,0.8125,0.8125,0.8125,,9.0,9.0,,,0.9721788194444443,0.8839161685499426,300.0,best ML fall-only by protocol and feature set,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7_E3_MIXED_TEST_WEDA,RandomForest,ml_fall_only,FallNoTiming_Core,RandomForest,0.7272727272727273,0.96,0.8275862068965517,,9.0,1.0,,,0.9828387096774194,0.9100470216917586,300.0,best ML fall-only by protocol and feature set,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1_BITS_TO_BITS,LogisticRegression,ml_fall_only,FallNoTiming_Full,LogisticRegression,1.0,0.8958333333333334,0.945054945054945,,0.0,5.0,,,0.99375,0.9754526064375116,133.0,best ML fall-only by protocol and feature set,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2_WEDA_TO_WEDA,HistGradientBoosting,ml_fall_only,FallNoTiming_Full,HistGradientBoosting,0.8846153846153846,0.92,0.9019607843137255,,3.0,2.0,,,0.9974193548387097,0.9864367816091955,140.0,best ML fall-only by protocol and feature set,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3_BITS_WEDA_MIXED,HistGradientBoosting,ml_fall_only,FallNoTiming_Full,HistGradientBoosting,0.8701298701298701,0.9178082191780822,0.8933333333333333,,10.0,6.0,,,0.9825477294790206,0.9549181840974719,140.0,best ML fall-only by protocol and feature set,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4_BITS_TO_WEDA,RandomForest,ml_fall_only,FallNoTiming_Full,RandomForest,0.390625,1.0,0.5617977528089888,,39.0,0.0,,,0.9411612903225806,0.7254244101823363,300.0,best ML fall-only by protocol and feature set,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5_WEDA_TO_BITS,GradientBoosting,ml_fall_only,FallNoTiming_Full,GradientBoosting,0.9166666666666666,0.6875,0.7857142857142857,,3.0,15.0,,,0.9384765625,0.8752666711597591,100.0,best ML fall-only by protocol and feature set,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6_E3_MIXED_TEST_BITS,HistGradientBoosting,ml_fall_only,FallNoTiming_Full,HistGradientBoosting,1.0,0.8958333333333334,0.945054945054945,,0.0,5.0,,,0.9807291666666668,0.9622662634193049,140.0,best ML fall-only by protocol and feature set,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7_E3_MIXED_TEST_WEDA,GradientBoosting,ml_fall_only,FallNoTiming_Full,GradientBoosting,0.7666666666666667,0.92,0.8363636363636363,,7.0,2.0,,,0.9816774193548388,0.9410734472049691,100.0,best ML fall-only by protocol and feature set,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1_BITS_TO_BITS,RandomForest,ml_direction_only,DirectionCore,,,,,,,,,,,,300.0,best ML direction-only by protocol and feature set,direction,RandomForest,0.9294947121034077,0.9166666666666666,0.918918918918919,1.0,0.8695652173913043,36.0,,,,,,,,,,,,,,,,,,,,,,,
E2_WEDA_TO_WEDA,LogisticRegression,ml_direction_only,DirectionCore,,,,,,,,,,,,65.0,best ML direction-only by protocol and feature set,direction,LogisticRegression,0.8822021116138764,0.88,0.8235294117647058,0.9,0.9230769230769231,25.0,,,,,,,,,,,,,,,,,,,,,,,
E3_BITS_WEDA_MIXED,HistGradientBoosting,ml_direction_only,DirectionCore,,,,,,,,,,,,140.0,best ML direction-only by protocol and feature set,direction,HistGradientBoosting,0.8329702251270877,0.8360655737704918,0.8518518518518519,0.8823529411764706,0.7647058823529411,61.0,,,,,,,,,,,,,,,,,,,,,,,
