epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,loss,val_direction_output_accuracy,val_direction_output_loss,val_fall_output_accuracy,val_fall_output_loss,val_loss,val_fall_f1,val_direction_macro_f1,val_domain_score,learning_rate
1,0.2733183205127716,0.14053590595722198,0.8767191767692566,0.3153432607650757,0.683052122592926,0.048128340393304825,0.10310546308755875,0.9024063944816589,0.6626251339912415,1.0517605543136597,0.0,0.13157894736842105,0.13157894736842105,0.0010000000474974513
2,0.261065274477005,0.11839534342288971,0.9219805002212524,0.21267464756965637,0.4939410984516144,0.022727273404598236,0.10387697070837021,0.9024063944816589,0.7525251507759094,1.158308982849121,0.0,0.13157894736842105,0.13157894736842105,0.0010000000474974513
3,0.3245811462402344,0.11417678743600845,0.9372342824935913,0.17281515896320343,0.4311361312866211,0.020053476095199585,0.10374893993139267,0.9024063944816589,0.8797491192817688,1.3168530464172363,0.0,0.13157894736842105,0.13157894736842105,0.0010000000474974513
4,0.2748187184333801,0.11798382550477982,0.9412353038787842,0.15521937608718872,0.40992558002471924,0.020053476095199585,0.10379981994628906,0.9024063944816589,1.035129427909851,1.5098851919174194,0.0,0.13157894736842105,0.13157894736842105,0.0010000000474974513
5,0.33683422207832336,0.10804994404315948,0.9594898819923401,0.12170364707708359,0.3402547538280487,0.02139037474989891,0.10294125229120255,0.9024063944816589,1.205381989479065,1.716671109199524,0.0,0.13157894736842105,0.13157894736842105,0.0010000000474974513
6,0.3698424696922302,0.10176008939743042,0.9514878988265991,0.12983588874340057,0.34882402420043945,0.30882352590560913,0.09703321009874344,0.9278075098991394,0.8063321709632874,1.1696025133132935,0.41304347826086957,0.26406926406926406,0.6771127423301336,0.0010000000474974513
7,0.3223305940628052,0.10144731402397156,0.9654913544654846,0.09124558418989182,0.2893705368041992,0.25267380475997925,0.09488407522439957,0.9425133466720581,0.7447625994682312,1.1038954257965088,0.5904761904761905,0.31592039800995025,0.9063965884861407,0.0010000000474974513
8,0.43310827016830444,0.09414760023355484,0.961240291595459,0.08817164599895477,0.27356547117233276,0.4358288645744324,0.08263301104307175,0.9598930478096008,0.3165661096572876,0.561046302318573,0.7916666666666666,0.4242656449553001,1.2159323116219667,0.0010000000474974513
9,0.376844197511673,0.09387078881263733,0.9732432961463928,0.07962226867675781,0.25890082120895386,0.616310179233551,0.07832186669111252,0.9558823704719543,0.4912424087524414,0.7907515168190002,0.7591240875912408,0.6343376374940219,1.3934617250852628,0.0010000000474974513
10,0.5741435289382935,0.08503183722496033,0.9759939908981323,0.06677398830652237,0.22915497422218323,0.6016042828559875,0.07062926888465881,0.9545454382896423,0.30764445662498474,0.5441186428070068,0.7848101265822784,0.6845755870146114,1.46938571359689,0.0010000000474974513
