run_id,protocol_id,feature_set,model_name,feature,importance
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,LogisticRegression,jerk_p95,1.5003889306940759
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,LogisticRegression,acc_mag_max,1.2446229151498653
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,LogisticRegression,gyro_mag_p95,1.0473045309015598
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,LogisticRegression,acc_mag_p95,0.46776442776500327
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,LogisticRegression,post_acc_mag_std,0.3272088515953361
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,LogisticRegression,acc_mag_range,3.6190349487637
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,LogisticRegression,acc_mag_max,1.3709532444991608
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,LogisticRegression,post_acc_mag_std,0.4924470749157697
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,LogisticRegression,jerk_p95,0.49232889005574354
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,LogisticRegression,acc_mag_std,0.35767473314421033
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,LogisticRegression,gyro_mag_p95,0.17498791964936988
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,LogisticRegression,acc_mag_p95,0.11538954296306927
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,LogisticRegression,jerk_std,0.06204190302657263
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,jerk_std,0.279817473594397
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_max,0.2545485392753903
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_range,0.19347263599112963
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_std,0.14257281195725852
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,gyro_mag_p95,0.055634666263322224
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,jerk_p95,0.03964405864382622
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,post_acc_mag_std,0.0235995748065482
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_p95,0.010710239468127925
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_range,0.6255519097353136
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,gyro_mag_p95,0.08425983548395818
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_std,0.0682442360254004
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,jerk_p95,0.05304068849497478
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,post_acc_mag_std,0.052719382558438034
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,jerk_std,0.04769806343485661
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_max,0.03563362759881737
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_p95,0.03285225666824106
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_range,0.4933579048016111
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_max,0.18312007343425288
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,GradientBoosting,jerk_std,0.09726459283952545
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,GradientBoosting,gyro_mag_p95,0.06772603979536264
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_std,0.0616134529234282
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,GradientBoosting,post_acc_mag_std,0.055784976330537445
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,GradientBoosting,jerk_p95,0.02715062971444076
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_p95,0.013982330160841534
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,jerk_std,0.279817473594397
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_max,0.2545485392753903
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_range,0.19347263599112963
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_std,0.14257281195725852
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,gyro_mag_p95,0.055634666263322224
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,jerk_p95,0.03964405864382622
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,post_acc_mag_std,0.0235995748065482
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_p95,0.010710239468127925
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_range,0.6255519097353136
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,gyro_mag_p95,0.08425983548395818
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_std,0.0682442360254004
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,jerk_p95,0.05304068849497478
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,post_acc_mag_std,0.052719382558438034
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,jerk_std,0.04769806343485661
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_max,0.03563362759881737
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,GradientBoosting,acc_mag_p95,0.03285225666824106
FALLRED_RandomForest_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,RandomForest,jerk_std,0.19700167612974798
FALLRED_RandomForest_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,RandomForest,jerk_p95,0.1707279954370849
