run_id,experiment_id,train_protocol,model_name,feature_source,seed,learning_rate,best_epoch,best_val_macro_f1,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,A5_direction_macro_f1,delta_vs_A5,params,estimated_fp32_kb,estimated_int8_kb,tflite_convert,int8_tflite_convert,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,macs_estimate,edge_suitability,complexity_note,a5_direction_macro_f1,macro_f1_delta_vs_a5
D1_Tiny_DSConv_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,D1_Tiny_DSConv_Direction,temporal_tilt12,42,0.0005,37,0.9654141440027336,0.8773809523809524,0.88,0.9,0.875,0.8571428571428571,25,0.8390350877192981,0.03834586466165424,2947,11.51171875,2.8779296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,9,0,0,1,7,1,1,0,6,,high,PyTorch temporal; params=2947; TFLite unavailable because TensorFlow import status: False,0.8390350877192981,0.03834586466165424
D1_Tiny_DSConv_Direction_E4_BITS_TO_WEDA_seed42_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,D1_Tiny_DSConv_Direction,temporal_tilt12,42,0.0005,28,0.8314814814814815,0.14619883040935672,0.16,0.3333333333333333,0.0,0.10526315789473684,25,0.3876262626262626,-0.24142743221690588,2947,11.51171875,2.8779296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,3,0,6,4,0,5,2,4,1,,high,PyTorch temporal; params=2947; TFLite unavailable because TensorFlow import status: False,0.3876262626262626,-0.24142743221690588
D1_Tiny_DSConv_Direction_E5_WEDA_TO_BITS_seed42_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,D1_Tiny_DSConv_Direction,temporal_tilt12,42,0.0005,27,0.8799019607843137,0.6770334928229665,0.75,0.8947368421052632,0.5,0.6363636363636364,36,0.6271469828241374,0.049886509998829154,2947,11.51171875,2.8779296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,17,0,1,1,3,2,2,3,7,,high,PyTorch temporal; params=2947; TFLite unavailable because TensorFlow import status: False,0.6271469828241374,0.049886509998829154
D2_Micro_TCN_Direction_E1_BITS_TO_BITS_seed42_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,D2_Micro_TCN_Direction,temporal_tilt12,42,0.001,19,0.8902319902319903,0.8459888459888459,0.8611111111111112,0.918918918918919,0.8571428571428571,0.7619047619047619,36,0.8777348777348778,-0.031746031746031855,3523,13.76171875,3.4404296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,17,0,1,0,6,0,2,2,8,,high,PyTorch temporal; params=3523; TFLite unavailable because TensorFlow import status: False,0.8777348777348778,-0.031746031746031855
D2_Micro_TCN_Direction_E2_WEDA_TO_WEDA_seed42_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,D2_Micro_TCN_Direction,temporal_tilt12,42,0.001,25,0.8337912087912088,0.4632034632034632,0.52,0.8181818181818182,0.2857142857142857,0.2857142857142857,25,0.6071428571428571,-0.14393939393939392,3523,13.76171875,3.4404296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,9,0,0,2,2,5,2,3,2,,high,PyTorch temporal; params=3523; TFLite unavailable because TensorFlow import status: False,0.6071428571428571,-0.14393939393939392
D2_Micro_TCN_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,D2_Micro_TCN_Direction,temporal_tilt12,42,0.001,33,0.85609243697479,0.8017881241565452,0.8032786885245902,0.8461538461538461,0.875,0.6842105263157895,61,0.8966626725247414,-0.0948745483681962,3523,13.76171875,3.4404296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,22,0,5,0,14,1,3,3,13,,high,PyTorch temporal; params=3523; TFLite unavailable because TensorFlow import status: False,0.8966626725247414,-0.0948745483681962
D2_Micro_TCN_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,D2_Micro_TCN_Direction,temporal_tilt12,42,0.001,33,0.85609243697479,0.8320946364424625,0.8611111111111112,0.9444444444444444,0.7692307692307693,0.782608695652174,36,0.9350469350469351,-0.10295229860447264,3523,13.76171875,3.4404296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,17,0,1,0,5,1,1,2,9,,high,PyTorch temporal; params=3523; TFLite unavailable because TensorFlow import status: False,0.9350469350469351,-0.10295229860447264
D2_Micro_TCN_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,D2_Micro_TCN_Direction,temporal_tilt12,42,0.001,33,0.85609243697479,0.7019005847953216,0.72,0.625,0.9473684210526315,0.5333333333333333,25,0.8390350877192981,-0.13713450292397655,3523,13.76171875,3.4404296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,5,0,4,0,9,0,2,1,4,,high,PyTorch temporal; params=3523; TFLite unavailable because TensorFlow import status: False,0.8390350877192981,-0.13713450292397655
D2_Micro_TCN_Direction_E4_BITS_TO_WEDA_seed42_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,D2_Micro_TCN_Direction,temporal_tilt12,42,0.001,19,0.8902319902319903,0.3307814992025518,0.36,0.6,0.18181818181818182,0.21052631578947367,25,0.3876262626262626,-0.05684476342371081,3523,13.76171875,3.4404296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,6,0,3,1,1,7,4,1,2,,high,PyTorch temporal; params=3523; TFLite unavailable because TensorFlow import status: False,0.3876262626262626,-0.05684476342371081
D2_Micro_TCN_Direction_E5_WEDA_TO_BITS_seed42_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,D2_Micro_TCN_Direction,temporal_tilt12,42,0.001,25,0.8337912087912088,0.640021862403498,0.7222222222222222,0.8780487804878049,0.5714285714285714,0.47058823529411764,36,0.6271469828241374,0.01287487957936062,3523,13.76171875,3.4404296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,18,0,0,1,4,1,4,4,4,,high,PyTorch temporal; params=3523; TFLite unavailable because TensorFlow import status: False,0.6271469828241374,0.01287487957936062
D2_Micro_TCN_Direction_E1_BITS_TO_BITS_seed42_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,D2_Micro_TCN_Direction,temporal_tilt12,42,0.0005,15,0.9123621949708905,0.8659932659932661,0.8611111111111112,0.8888888888888888,0.9090909090909091,0.8,36,0.8777348777348778,-0.011741611741611702,3523,13.76171875,3.4404296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,16,0,2,0,5,1,2,0,10,,high,PyTorch temporal; params=3523; TFLite unavailable because TensorFlow import status: False,0.8777348777348778,-0.011741611741611702
D2_Micro_TCN_Direction_E2_WEDA_TO_WEDA_seed42_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,D2_Micro_TCN_Direction,temporal_tilt12,42,0.0005,52,0.8766884531590414,0.6004357298474946,0.6,0.8235294117647058,0.5333333333333333,0.4444444444444444,25,0.6071428571428571,-0.006707127295362492,3523,13.76171875,3.4404296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,7,0,2,0,4,5,1,2,4,,high,PyTorch temporal; params=3523; TFLite unavailable because TensorFlow import status: False,0.6071428571428571,-0.006707127295362492
D2_Micro_TCN_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,D2_Micro_TCN_Direction,temporal_tilt12,42,0.0005,27,0.8108335861394815,0.802435064935065,0.819672131147541,0.9090909090909091,0.8125,0.6857142857142857,61,0.8966626725247414,-0.09422760758967641,3523,13.76171875,3.4404296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,25,0,2,0,13,2,3,4,12,,high,PyTorch temporal; params=3523; TFLite unavailable because TensorFlow import status: False,0.8966626725247414,-0.09422760758967641
D2_Micro_TCN_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,D2_Micro_TCN_Direction,temporal_tilt12,42,0.0005,27,0.8108335861394815,0.7872180451127818,0.8333333333333334,0.9473684210526315,0.7142857142857143,0.7,36,0.9350469350469351,-0.14782888993415333,3523,13.76171875,3.4404296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,18,0,0,0,5,1,2,3,7,,high,PyTorch temporal; params=3523; TFLite unavailable because TensorFlow import status: False,0.9350469350469351,-0.14782888993415333
D2_Micro_TCN_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,D2_Micro_TCN_Direction,temporal_tilt12,42,0.0005,27,0.8108335861394815,0.7930283224400871,0.8,0.8235294117647058,0.8888888888888888,0.6666666666666666,25,0.8390350877192981,-0.04600676527921099,3523,13.76171875,3.4404296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,7,0,2,0,8,1,1,1,5,,high,PyTorch temporal; params=3523; TFLite unavailable because TensorFlow import status: False,0.8390350877192981,-0.04600676527921099
D2_Micro_TCN_Direction_E4_BITS_TO_WEDA_seed42_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,D2_Micro_TCN_Direction,temporal_tilt12,42,0.0005,15,0.9123621949708905,0.3668261562998405,0.44,0.7368421052631579,0.0,0.36363636363636365,25,0.3876262626262626,-0.020800106326422096,3523,13.76171875,3.4404296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,7,0,2,0,0,9,3,0,4,,high,PyTorch temporal; params=3523; TFLite unavailable because TensorFlow import status: False,0.3876262626262626,-0.020800106326422096
D2_Micro_TCN_Direction_E5_WEDA_TO_BITS_seed42_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,D2_Micro_TCN_Direction,temporal_tilt12,42,0.0005,52,0.8766884531590414,0.6596491228070175,0.75,0.9473684210526315,0.631578947368421,0.4,36,0.6271469828241374,0.032502139982880096,3523,13.76171875,3.4404296875,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,18,0,0,0,6,0,2,7,3,,high,PyTorch temporal; params=3523; TFLite unavailable because TensorFlow import status: False,0.6271469828241374,0.032502139982880096
D3_A5_Direction_Small_050_E1_BITS_TO_BITS_seed42_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,D3_A5_Direction_Small_050,temporal_tilt12,42,0.001,15,0.9147511312217195,0.7979501240370807,0.8055555555555556,0.8648648648648649,0.8333333333333334,0.6956521739130435,36,0.8777348777348778,-0.07978475369779714,6223,24.30859375,6.0771484375,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,16,0,2,0,5,1,3,1,8,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False,0.8777348777348778,-0.07978475369779714
D3_A5_Direction_Small_050_E2_WEDA_TO_WEDA_seed42_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,D3_A5_Direction_Small_050,temporal_tilt12,42,0.001,23,0.9191176470588235,0.6342592592592592,0.64,0.7777777777777778,0.625,0.5,25,0.6071428571428571,0.027116402116402094,6223,24.30859375,6.0771484375,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,7,0,2,1,5,3,1,2,4,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False,0.6071428571428571,0.027116402116402094
D3_A5_Direction_Small_050_E3_BITS_WEDA_MIXED_seed42_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,D3_A5_Direction_Small_050,temporal_tilt12,42,0.001,7,0.8001107028452986,0.6581981981981982,0.7213114754098361,0.9,0.48,0.5945945945945946,61,0.8966626725247414,-0.23846447432654316,6223,24.30859375,6.0771484375,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,27,0,0,2,6,7,4,4,11,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False,0.8966626725247414,-0.23846447432654316
D3_A5_Direction_Small_050_E3_BITS_WEDA_MIXED_seed42_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,D3_A5_Direction_Small_050,temporal_tilt12,42,0.001,7,0.8001107028452986,0.7156545209176789,0.7777777777777778,0.9,0.6153846153846154,0.631578947368421,36,0.9350469350469351,-0.21939241412925625,6223,24.30859375,6.0771484375,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,18,0,0,1,4,1,3,3,6,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False,0.9350469350469351,-0.21939241412925625
D3_A5_Direction_Small_050_E3_BITS_WEDA_MIXED_seed42_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,D3_A5_Direction_Small_050,temporal_tilt12,42,0.001,7,0.8001107028452986,0.5962962962962963,0.64,0.9,0.3333333333333333,0.5555555555555556,25,0.8390350877192981,-0.2427387914230018,6223,24.30859375,6.0771484375,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,9,0,0,1,2,6,1,1,5,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False,0.8390350877192981,-0.2427387914230018
D3_A5_Direction_Small_050_E4_BITS_TO_WEDA_seed42_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,D3_A5_Direction_Small_050,temporal_tilt12,42,0.001,15,0.9147511312217195,0.46717817561807334,0.56,0.6956521739130435,0.0,0.7058823529411765,25,0.3876262626262626,0.07955191299181075,6223,24.30859375,6.0771484375,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,8,0,1,6,0,3,0,1,6,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False,0.3876262626262626,0.07955191299181075
D3_A5_Direction_Small_050_E5_WEDA_TO_BITS_seed42_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,D3_A5_Direction_Small_050,temporal_tilt12,42,0.001,23,0.9191176470588235,0.6374946374946374,0.6944444444444444,0.8648648648648649,0.5714285714285714,0.47619047619047616,36,0.6271469828241374,0.010347654670500028,6223,24.30859375,6.0771484375,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,16,0,2,0,4,2,3,4,5,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False,0.6271469828241374,0.010347654670500028
D3_A5_Direction_Small_050_E1_BITS_TO_BITS_seed42_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,D3_A5_Direction_Small_050,temporal_tilt12,42,0.0005,23,0.9147511312217195,0.7830568124685771,0.7777777777777778,0.8235294117647058,0.8333333333333334,0.6923076923076923,36,0.8777348777348778,-0.09467806526630074,6223,24.30859375,6.0771484375,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,14,0,4,0,5,1,2,1,9,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False,0.8777348777348778,-0.09467806526630074
D3_A5_Direction_Small_050_E2_WEDA_TO_WEDA_seed42_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,D3_A5_Direction_Small_050,temporal_tilt12,42,0.0005,35,0.9152292495945747,0.5568627450980391,0.56,0.6666666666666666,0.5333333333333333,0.47058823529411764,25,0.6071428571428571,-0.05028011204481797,6223,24.30859375,6.0771484375,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,6,0,3,2,4,3,1,2,4,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False,0.6071428571428571,-0.05028011204481797
D3_A5_Direction_Small_050_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,D3_A5_Direction_Small_050,temporal_tilt12,42,0.0005,31,0.8843856521875098,0.7880214840204589,0.8032786885245902,0.9056603773584906,0.7741935483870968,0.6842105263157895,61,0.8966626725247414,-0.1086411885042825,6223,24.30859375,6.0771484375,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,24,0,3,0,12,3,2,4,13,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False,0.8966626725247414,-0.1086411885042825
D3_A5_Direction_Small_050_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,D3_A5_Direction_Small_050,temporal_tilt12,42,0.0005,31,0.8843856521875098,0.8051408051408052,0.8333333333333334,0.918918918918919,0.7692307692307693,0.7272727272727273,36,0.9350469350469351,-0.12990612990612993,6223,24.30859375,6.0771484375,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,17,0,1,0,5,1,2,2,8,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False,0.9350469350469351,-0.12990612990612993
D3_A5_Direction_Small_050_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,D3_A5_Direction_Small_050,temporal_tilt12,42,0.0005,31,0.8843856521875098,0.7592592592592592,0.76,0.875,0.7777777777777778,0.625,25,0.8390350877192981,-0.07977582846003894,6223,24.30859375,6.0771484375,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,7,0,2,0,7,2,0,2,5,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False,0.8390350877192981,-0.07977582846003894
