model_name,protocol_id,seed,learning_rate,params,estimated_fp32_kb,estimated_int8_kb,best_val_macro_f1,tflite_convert,int8_tflite_convert,macs_estimate,edge_suitability,complexity_note
D3_A5_Direction_Small_050,E5_WEDA_TO_BITS,42,0.001,6223,24.30859375,6.0771484375,0.9191176470588235,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False
D3_A5_Direction_Small_050,E1_BITS_TO_BITS,42,0.0005,6223,24.30859375,6.0771484375,0.9147511312217195,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False
D3_A5_Direction_Small_050,E2_WEDA_TO_WEDA,42,0.0005,6223,24.30859375,6.0771484375,0.9152292495945747,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False
D3_A5_Direction_Small_050,E3_BITS_WEDA_MIXED,42,0.0005,6223,24.30859375,6.0771484375,0.8843856521875098,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False
D3_A5_Direction_Small_050,E4_BITS_TO_WEDA,42,0.0005,6223,24.30859375,6.0771484375,0.9147511312217195,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False
D3_A5_Direction_Small_050,E5_WEDA_TO_BITS,42,0.0005,6223,24.30859375,6.0771484375,0.9152292495945747,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=6223; TFLite unavailable because TensorFlow import status: False
D4_A5_Direction_Small_025,E1_BITS_TO_BITS,42,0.001,1761,6.87890625,1.7197265625,0.8513457556935817,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1761; TFLite unavailable because TensorFlow import status: False
D4_A5_Direction_Small_025,E2_WEDA_TO_WEDA,42,0.001,1761,6.87890625,1.7197265625,0.8741228070175439,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1761; TFLite unavailable because TensorFlow import status: False
D4_A5_Direction_Small_025,E3_BITS_WEDA_MIXED,42,0.001,1761,6.87890625,1.7197265625,0.7319444444444444,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1761; TFLite unavailable because TensorFlow import status: False
D4_A5_Direction_Small_025,E4_BITS_TO_WEDA,42,0.001,1761,6.87890625,1.7197265625,0.8513457556935817,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1761; TFLite unavailable because TensorFlow import status: False
D4_A5_Direction_Small_025,E5_WEDA_TO_BITS,42,0.001,1761,6.87890625,1.7197265625,0.8741228070175439,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1761; TFLite unavailable because TensorFlow import status: False
D4_A5_Direction_Small_025,E1_BITS_TO_BITS,42,0.0005,1761,6.87890625,1.7197265625,0.6695970695970695,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1761; TFLite unavailable because TensorFlow import status: False
D4_A5_Direction_Small_025,E2_WEDA_TO_WEDA,42,0.0005,1761,6.87890625,1.7197265625,0.9568151147098515,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1761; TFLite unavailable because TensorFlow import status: False
D4_A5_Direction_Small_025,E3_BITS_WEDA_MIXED,42,0.0005,1761,6.87890625,1.7197265625,0.7294903926482874,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1761; TFLite unavailable because TensorFlow import status: False
D4_A5_Direction_Small_025,E4_BITS_TO_WEDA,42,0.0005,1761,6.87890625,1.7197265625,0.6695970695970695,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1761; TFLite unavailable because TensorFlow import status: False
D4_A5_Direction_Small_025,E5_WEDA_TO_BITS,42,0.0005,1761,6.87890625,1.7197265625,0.9568151147098515,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1761; TFLite unavailable because TensorFlow import status: False
D5_Tiny_GRU_Direction,E1_BITS_TO_BITS,42,0.001,1763,6.88671875,1.7216796875,0.7519640852974186,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1763; TFLite unavailable because TensorFlow import status: False
D5_Tiny_GRU_Direction,E2_WEDA_TO_WEDA,42,0.001,1763,6.88671875,1.7216796875,0.7990196078431372,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1763; TFLite unavailable because TensorFlow import status: False
D5_Tiny_GRU_Direction,E3_BITS_WEDA_MIXED,42,0.001,1763,6.88671875,1.7216796875,0.7336996336996338,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1763; TFLite unavailable because TensorFlow import status: False
D5_Tiny_GRU_Direction,E4_BITS_TO_WEDA,42,0.001,1763,6.88671875,1.7216796875,0.7519640852974186,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1763; TFLite unavailable because TensorFlow import status: False
D5_Tiny_GRU_Direction,E5_WEDA_TO_BITS,42,0.001,1763,6.88671875,1.7216796875,0.7990196078431372,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1763; TFLite unavailable because TensorFlow import status: False
D5_Tiny_GRU_Direction,E1_BITS_TO_BITS,42,0.0005,1763,6.88671875,1.7216796875,0.6565130775657092,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1763; TFLite unavailable because TensorFlow import status: False
D5_Tiny_GRU_Direction,E2_WEDA_TO_WEDA,42,0.0005,1763,6.88671875,1.7216796875,0.7990196078431372,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1763; TFLite unavailable because TensorFlow import status: False
D5_Tiny_GRU_Direction,E3_BITS_WEDA_MIXED,42,0.0005,1763,6.88671875,1.7216796875,0.7125226860254084,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1763; TFLite unavailable because TensorFlow import status: False
D5_Tiny_GRU_Direction,E4_BITS_TO_WEDA,42,0.0005,1763,6.88671875,1.7216796875,0.6565130775657092,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1763; TFLite unavailable because TensorFlow import status: False
D5_Tiny_GRU_Direction,E5_WEDA_TO_BITS,42,0.0005,1763,6.88671875,1.7216796875,0.7990196078431372,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch temporal; params=1763; TFLite unavailable because TensorFlow import status: False
D6_Summary_MLP_DirectionCore,E1_BITS_TO_BITS,42,0.001,2659,10.38671875,2.5966796875,0.8927738927738927,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch summary; params=2659; TFLite unavailable because TensorFlow import status: False
D6_Summary_MLP_DirectionCore,E2_WEDA_TO_WEDA,42,0.001,2659,10.38671875,2.5966796875,0.8766884531590414,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch summary; params=2659; TFLite unavailable because TensorFlow import status: False
D6_Summary_MLP_DirectionCore,E3_BITS_WEDA_MIXED,42,0.001,2659,10.38671875,2.5966796875,0.8439743345403722,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch summary; params=2659; TFLite unavailable because TensorFlow import status: False
D6_Summary_MLP_DirectionCore,E4_BITS_TO_WEDA,42,0.001,2659,10.38671875,2.5966796875,0.8927738927738927,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch summary; params=2659; TFLite unavailable because TensorFlow import status: False
D6_Summary_MLP_DirectionCore,E5_WEDA_TO_BITS,42,0.001,2659,10.38671875,2.5966796875,0.8766884531590414,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch summary; params=2659; TFLite unavailable because TensorFlow import status: False
D6_Summary_MLP_DirectionCore,E1_BITS_TO_BITS,42,0.0005,2659,10.38671875,2.5966796875,0.8554112554112554,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch summary; params=2659; TFLite unavailable because TensorFlow import status: False
D6_Summary_MLP_DirectionCore,E2_WEDA_TO_WEDA,42,0.0005,2659,10.38671875,2.5966796875,0.8766884531590414,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch summary; params=2659; TFLite unavailable because TensorFlow import status: False
D6_Summary_MLP_DirectionCore,E3_BITS_WEDA_MIXED,42,0.0005,2659,10.38671875,2.5966796875,0.8439743345403722,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch summary; params=2659; TFLite unavailable because TensorFlow import status: False
D6_Summary_MLP_DirectionCore,E4_BITS_TO_WEDA,42,0.0005,2659,10.38671875,2.5966796875,0.8554112554112554,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch summary; params=2659; TFLite unavailable because TensorFlow import status: False
D6_Summary_MLP_DirectionCore,E5_WEDA_TO_BITS,42,0.0005,2659,10.38671875,2.5966796875,0.8766884531590414,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,high,PyTorch summary; params=2659; TFLite unavailable because TensorFlow import status: False
