pipeline,experiment_id,train_protocol,source,E2E_Direction_Macro_F1,coverage,correct_rate,forward_f1,backward_f1,lateral_f1,direction_n_supervised
D5_Tiny_GRU_Direction_E5_WEDA_TO_BITS_seed42_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,lightweight_direction_with_best_fall,0.43771231793010373,0.6944444444444444,0.4166666666666667,0.6896551724137931,0.3076923076923077,0.3157894736842105,36
D6_Summary_MLP_DirectionCore_E1_BITS_TO_BITS_seed42_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,lightweight_direction_with_best_fall,0.7041666666666666,0.8055555555555556,0.6944444444444444,0.8125,0.5,0.8,36
D6_Summary_MLP_DirectionCore_E2_WEDA_TO_WEDA_seed42_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,lightweight_direction_with_best_fall,0.6220043572984749,0.88,0.56,0.4444444444444444,0.5882352941176471,0.8333333333333334,25
D6_Summary_MLP_DirectionCore_E3_BITS_WEDA_MIXED_seed42_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.6828064559156997,0.8524590163934426,0.639344262295082,0.7346938775510204,0.6470588235294118,0.6666666666666666,61
D6_Summary_MLP_DirectionCore_E3_BITS_WEDA_MIXED_seed42_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.651702786377709,0.8055555555555556,0.6388888888888888,0.8235294117647058,0.5,0.631578947368421,36
D6_Summary_MLP_DirectionCore_E3_BITS_WEDA_MIXED_seed42_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.6626262626262627,0.92,0.64,0.5333333333333333,0.7272727272727273,0.7272727272727273,25
D6_Summary_MLP_DirectionCore_E4_BITS_TO_WEDA_seed42_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,lightweight_direction_with_best_fall,0.301994301994302,0.96,0.36,0.46153846153846156,0.0,0.4444444444444444,25
D6_Summary_MLP_DirectionCore_E5_WEDA_TO_BITS_seed42_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,lightweight_direction_with_best_fall,0.5450980392156862,0.6944444444444444,0.5277777777777778,0.7647058823529411,0.4,0.47058823529411764,36
D6_Summary_MLP_DirectionCore_E1_BITS_TO_BITS_seed42_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,lightweight_direction_with_best_fall,0.7506393861892583,0.8055555555555556,0.75,0.8823529411764706,0.5,0.8695652173913043,36
D6_Summary_MLP_DirectionCore_E2_WEDA_TO_WEDA_seed42_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,lightweight_direction_with_best_fall,0.6220043572984749,0.88,0.56,0.4444444444444444,0.5882352941176471,0.8333333333333334,25
D6_Summary_MLP_DirectionCore_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.6828064559156997,0.8524590163934426,0.639344262295082,0.7346938775510204,0.6470588235294118,0.6666666666666666,61
D6_Summary_MLP_DirectionCore_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.651702786377709,0.8055555555555556,0.6388888888888888,0.8235294117647058,0.5,0.631578947368421,36
D6_Summary_MLP_DirectionCore_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.6626262626262627,0.92,0.64,0.5333333333333333,0.7272727272727273,0.7272727272727273,25
D6_Summary_MLP_DirectionCore_E4_BITS_TO_WEDA_seed42_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,lightweight_direction_with_best_fall,0.25071225071225073,0.96,0.32,0.3076923076923077,0.0,0.4444444444444444,25
D6_Summary_MLP_DirectionCore_E5_WEDA_TO_BITS_seed42_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,lightweight_direction_with_best_fall,0.5011140819964349,0.6944444444444444,0.5,0.7647058823529411,0.36363636363636365,0.375,36
