epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,learning_rate,loss,val_direction_macro_f1,val_direction_output_accuracy,val_direction_output_loss,val_fall_f1,val_fall_output_accuracy,val_fall_output_loss,val_loss
0,0.2756892144680023,0.14840486645698547,0.8220551609992981,0.38683050870895386,0.0010000000474974513,0.6105241775512695,0.18491484184914841,0.9422018527984619,0.11393051594495773,0.0,0.8981651663780212,0.656761109828949,0.7632347345352173
1,0.4409237504005432,0.13217784464359283,0.9199784994125366,0.2250233292579651,0.0010000000474974513,0.42173129320144653,0.24480095068330363,0.3302752375602722,0.11382651329040527,0.0,0.8981651663780212,0.7211459875106812,0.8111676573753357
2,0.46849265694618225,0.12547072768211365,0.9214106798171997,0.20353032648563385,0.0010000000474974513,0.39136743545532227,0.158974358974359,0.03486238420009613,0.1137145385146141,0.0,0.8981651663780212,0.787786602973938,0.8653095960617065
3,0.5254206657409668,0.12147866934537888,0.9396706223487854,0.16284281015396118,0.0010000000474974513,0.34516313672065735,0.2857142857142857,0.905504584312439,0.11392601579427719,0.0,0.8981651663780212,0.9707632064819336,1.020001769065857
4,0.47440028190612793,0.11070061475038528,0.950232744216919,0.13923881947994232,0.0010000000474974513,0.30490490794181824,0.3106060606060606,0.6908257007598877,0.11408811062574387,0.0,0.8981651663780212,1.1434050798416138,1.1681513786315918
5,0.451127827167511,0.10618490725755692,0.9480844736099243,0.13723553717136383,0.0010000000474974513,0.29681169986724854,0.3650793650793651,0.6513761281967163,0.11356332898139954,0.0,0.8981651663780212,1.1302549839019775,1.1514453887939453
6,0.5094879865646362,0.09946560859680176,0.952022910118103,0.1207938864827156,0.0010000000474974513,0.270199179649353,0.27777777777777773,0.2100917398929596,0.11420224606990814,0.06956521739130435,0.9018348455429077,1.0863876342773438,1.1137508153915405
7,0.4425349235534668,0.09054134041070938,0.9683136343955994,0.096581369638443,0.0005000000237487257,0.23247751593589783,0.38690476190476186,0.25321102142333984,0.11216485500335693,0.35555555555555557,0.9201834797859192,0.8637655973434448,0.9047619700431824
8,0.4897959232330322,0.08248782902956009,0.970819890499115,0.07961315661668777,0.0005000000237487257,0.20314060151576996,0.46834033522723767,0.31376147270202637,0.10692182183265686,0.34328358208955223,0.9192660450935364,1.1570874452590942,1.1701891422271729
9,0.483172208070755,0.07908215373754501,0.9744002819061279,0.06983191519975662,0.0005000000237487257,0.1893010139465332,0.5388707690077553,0.4678899049758911,0.0968368723988533,0.7513812154696132,0.9587156176567078,0.601090133190155,0.6648602485656738
10,0.4577515125274658,0.07764732092618942,0.9751163721084595,0.07471582293510437,0.0005000000237487257,0.1913674771785736,0.591938091938092,0.5834862589836121,0.09603619575500488,0.783068783068783,0.9623852968215942,0.5254358649253845,0.5940443277359009
11,0.49498745799064636,0.0709688663482666,0.9747583270072937,0.0647314041852951,0.0005000000237487257,0.17104023694992065,0.609858874975154,0.4669724702835083,0.087847501039505,0.8195121951219512,0.9660550355911255,0.45640426874160767,0.5244559645652771
12,0.47690653800964355,0.06568633764982224,0.9756534099578857,0.0647701546549797,0.0005000000237487257,0.16319188475608826,0.5857039080993142,0.5697247982025146,0.09333057701587677,0.803921568627451,0.963302731513977,0.418113648891449,0.4967089593410492
13,0.4806659519672394,0.0656573623418808,0.9792338013648987,0.050576936453580856,0.0005000000237487257,0.14836767315864563,0.6613151216599492,0.5036697387695312,0.09602978825569153,0.8340807174887892,0.9660550355911255,0.3243252635002136,0.44805246591567993
14,0.43877550959587097,0.06146891042590141,0.9776226282119751,0.057652976363897324,0.0005000000237487257,0.14990559220314026,0.6491407795755623,0.40366971492767334,0.08384671062231064,0.8398268398268398,0.9660550355911255,0.29468581080436707,0.3881119191646576
15,0.49230217933654785,0.05744503438472748,0.9853204488754272,0.047982122749090195,0.0005000000237487257,0.1343049556016922,0.6305520059539691,0.4550458788871765,0.08416058123111725,0.8178137651821862,0.9587156176567078,0.2744036614894867,0.3779175877571106
16,0.48532044887542725,0.05517014488577843,0.9817400574684143,0.04434317722916603,0.0005000000237487257,0.12726463377475739,0.6760483297796731,0.4293577969074249,0.09015858173370361,0.8198198198198198,0.963302731513977,0.3727794885635376,0.46500515937805176
17,0.47869673371315,0.05448798090219498,0.9854994416236877,0.039831146597862244,0.0005000000237487257,0.12195532023906708,0.7006073281978015,0.552293598651886,0.09193722158670425,0.831858407079646,0.9651376008987427,0.3411403298377991,0.4409901797771454
