group_id,runs,best_weda_fall_f1,best_e3_direction_macro_f1,best_selection_score
baseline,1,0.7586206896551724,0.7024827024827025,0.7237840260799248
compactness,6,0.8135593220338984,0.7618010167029775,0.8054197958938143
feature_ablation,9,0.8135593220338984,0.7618010167029775,0.8054197958938143
loss,15,0.8148148148148148,0.8298412698412699,0.8433993594742297
reference,1,0.6857142857142857,0.8966626725247414,0.8226750268121686
sampler,9,0.7666666666666667,0.882694873260911,0.8213060201225587
