run_id,seed,dataset,fall_f1,fall_precision,fall_recall,direction_macro_f1,direction_accuracy,direction_n_supervised
L1_FALL_WCE,42,bits,0.8539325842696629,0.926829268292683,0.7916666666666666,0.8280701754385965,0.8611111111111112,36
L1_FALL_WCE,42,weda,0.7419354838709677,0.6216216216216216,0.92,0.6388888888888888,0.64,25
L2_FALL_WCE,42,bits,0.896551724137931,1.0,0.8125,0.8019203413940256,0.8333333333333334,36
L2_FALL_WCE,42,weda,0.7666666666666667,0.6571428571428571,0.92,0.6352941176470588,0.64,25
L5_FALL_WCE,42,bits,0.9130434782608696,0.9545454545454546,0.875,0.6262626262626263,0.6666666666666666,36
L5_FALL_WCE,42,weda,0.7333333333333333,0.6285714285714286,0.88,0.638095238095238,0.64,25
FL1_FALL_FOCAL,42,bits,0.8705882352941177,1.0,0.7708333333333334,0.8174258174258174,0.8333333333333334,36
FL1_FALL_FOCAL,42,weda,0.7368421052631579,0.65625,0.84,0.5231481481481481,0.52,25
FL2_FALL_FOCAL,42,bits,0.8863636363636364,0.975,0.8125,0.7568197568197568,0.7777777777777778,36
FL2_FALL_FOCAL,42,weda,0.7540983606557377,0.6388888888888888,0.92,0.5437451437451437,0.56,25
FL3_FALL_FOCAL,42,bits,0.9213483146067416,1.0,0.8541666666666666,0.8394383394383395,0.8611111111111112,36
FL3_FALL_FOCAL,42,weda,0.7368421052631579,0.65625,0.84,0.5571095571095571,0.6,25
FL4_FALL_FOCAL,42,bits,0.8888888888888888,0.9523809523809524,0.8333333333333334,0.8513457556935817,0.8611111111111112,36
FL4_FALL_FOCAL,42,weda,0.7301587301587301,0.6052631578947368,0.92,0.5292397660818713,0.52,25
S1_DATASET_BALANCED,42,bits,0.9247311827956988,0.9555555555555556,0.8958333333333334,0.8576576576576578,0.8888888888888888,36
S1_DATASET_BALANCED,42,weda,0.6984126984126984,0.5789473684210527,0.88,0.8309200603318251,0.84,25
S2_DATASET_BALANCED,42,bits,0.9333333333333332,1.0,0.875,0.8354438354438355,0.8611111111111112,36
S2_DATASET_BALANCED,42,weda,0.711864406779661,0.6176470588235294,0.84,0.6262626262626262,0.64,25
S4_DATASET_BALANCED,42,bits,0.8571428571428571,0.9069767441860463,0.8125,0.7668326220957798,0.8055555555555556,36
S4_DATASET_BALANCED,42,weda,0.75,0.6153846153846154,0.96,0.8379629629629629,0.84,25
FA0_RAW6,42,bits,0.8705882352941177,1.0,0.7708333333333334,0.8181345224823486,0.8333333333333334,36
FA0_RAW6,42,weda,0.7857142857142857,0.7096774193548387,0.88,0.6018518518518519,0.6,25
FA1_FA1_ACC_MAG7,42,bits,0.898876404494382,0.975609756097561,0.8333333333333334,0.6185352018685352,0.75,36
FA1_FA1_ACC_MAG7,42,weda,0.7457627118644068,0.6470588235294118,0.88,0.5908496732026144,0.6,25
FA2_FA2_MAG8,42,bits,0.9111111111111112,0.9761904761904762,0.8541666666666666,0.6848011891490152,0.7777777777777778,36
FA2_FA2_MAG8,42,weda,0.7076923076923077,0.575,0.92,0.5943223443223443,0.6,25
FA3_MAG_JERK9,42,bits,0.8735632183908046,0.9743589743589745,0.7916666666666666,0.6483542365895307,0.7222222222222222,36
FA3_MAG_JERK9,42,weda,0.7368421052631579,0.65625,0.84,0.6262626262626262,0.64,25
FA4_FA4_ROLL_PITCH8,42,bits,0.8837209302325582,1.0,0.7916666666666666,0.6318322200675142,0.6944444444444444,36
FA4_FA4_ROLL_PITCH8,42,weda,0.711864406779661,0.6176470588235294,0.84,0.5597147950089126,0.6,25
FA5_FA5_TILT9,42,bits,0.8367346938775511,0.82,0.8541666666666666,0.8290598290598291,0.8055555555555556,36
FA5_FA5_TILT9,42,weda,0.6865671641791045,0.5476190476190477,0.92,0.6238095238095238,0.64,25
FA6_FA6_NO_JERK11,42,bits,0.8936170212765957,0.9130434782608696,0.875,0.7668326220957798,0.8055555555555556,36
FA6_FA6_NO_JERK11,42,weda,0.7540983606557377,0.6388888888888888,0.92,0.7148148148148148,0.72,25
FA7_FA7_NO_GYRO_MAG11,42,bits,0.8837209302325582,1.0,0.7916666666666666,0.7503607503607505,0.7777777777777778,36
FA7_FA7_NO_GYRO_MAG11,42,weda,0.7586206896551724,0.6666666666666666,0.88,0.5985029463290333,0.6,25
FA8_TILT12,42,bits,0.9213483146067416,1.0,0.8541666666666666,0.7839955620275987,0.8055555555555556,36
FA8_TILT12,42,weda,0.8135593220338984,0.7058823529411765,0.96,0.7243083003952568,0.72,25
W050_WIDTH,42,bits,0.8602150537634409,0.8888888888888888,0.8333333333333334,0.649294805641555,0.6944444444444444,36
W050_WIDTH,42,weda,0.6785714285714286,0.6129032258064516,0.76,0.6632996632996633,0.68,25
W075_WIDTH,42,bits,0.9230769230769232,0.9767441860465116,0.875,0.6623931623931624,0.7222222222222222,36
W075_WIDTH,42,weda,0.71875,0.5897435897435898,0.92,0.7012066365007542,0.72,25
W100_WIDTH,42,bits,0.9213483146067416,1.0,0.8541666666666666,0.7839955620275987,0.8055555555555556,36
W100_WIDTH,42,weda,0.8135593220338984,0.7058823529411765,0.96,0.7243083003952568,0.72,25
W125_WIDTH,42,bits,0.8913043478260869,0.9318181818181818,0.8541666666666666,0.753056884635832,0.75,36
W125_WIDTH,42,weda,0.75,0.6774193548387096,0.84,0.4702093397745572,0.48,25
D48_24_HEAD,42,bits,0.875,0.875,0.875,0.7604125864995431,0.8055555555555556,36
D48_24_HEAD,42,weda,0.6666666666666666,0.5714285714285714,0.8,0.6349206349206349,0.64,25
D32_16_HEAD,42,bits,0.9230769230769232,0.9767441860465116,0.875,0.8071188071188072,0.8333333333333334,36
D32_16_HEAD,42,weda,0.7796610169491526,0.6764705882352942,0.92,0.6197330934173039,0.64,25
B0_BASE_A5WCEFW,42,bits,0.898876404494382,0.975609756097561,0.8333333333333334,0.8449536493014754,0.8611111111111112,36
B0_BASE_A5WCEFW,42,weda,0.7586206896551724,0.6666666666666666,0.88,0.5069597069597069,0.56,25
L3_FALL_WCE,42,bits,0.9090909090909092,1.0,0.8333333333333334,0.8035964035964036,0.8333333333333334,36
L3_FALL_WCE,42,weda,0.8148148148148148,0.7586206896551724,0.88,0.8390350877192981,0.84,25
L4_FALL_WCE,42,bits,0.9090909090909092,1.0,0.8333333333333334,0.8063063063063064,0.8333333333333334,36
L4_FALL_WCE,42,weda,0.71875,0.5897435897435898,0.92,0.7100014994751837,0.72,25
S3_DATASET_BALANCED,42,bits,0.945054945054945,1.0,0.8958333333333334,0.8534618534618535,0.8888888888888888,36
S3_DATASET_BALANCED,42,weda,0.7096774193548387,0.5945945945945946,0.88,0.8409258440218191,0.84,25
S5_DATASET_BALANCED,42,bits,0.9213483146067416,1.0,0.8541666666666666,0.8063063063063064,0.8333333333333334,36
S5_DATASET_BALANCED,42,weda,0.7017543859649122,0.625,0.8,0.7962962962962963,0.8,25
L3_FALL_WCE,7,bits,0.8602150537634409,0.8888888888888888,0.8333333333333334,0.7974358974358976,0.8333333333333334,36
L3_FALL_WCE,7,weda,0.696969696969697,0.5609756097560976,0.92,0.5988903883640725,0.6,25
L3_FALL_WCE,123,bits,0.8888888888888888,0.8627450980392157,0.9166666666666666,0.8354497354497354,0.8611111111111112,36
L3_FALL_WCE,123,weda,0.6301369863013698,0.4791666666666667,0.92,0.7664160401002507,0.8,25
L4_FALL_WCE,7,bits,0.9111111111111112,0.9761904761904762,0.8541666666666666,0.79052790346908,0.8055555555555556,36
L4_FALL_WCE,7,weda,0.6216216216216216,0.4693877551020408,0.92,0.6,0.6,25
L4_FALL_WCE,123,bits,0.8775510204081632,0.86,0.8958333333333334,0.7870370370370371,0.8333333333333334,36
L4_FALL_WCE,123,weda,0.7058823529411765,0.5581395348837209,0.96,0.5499999999999999,0.6,25
S3_DATASET_BALANCED,7,bits,0.8863636363636364,0.975,0.8125,0.7992709045340624,0.8055555555555556,36
S3_DATASET_BALANCED,7,weda,0.7213114754098361,0.6111111111111112,0.88,0.633115468409586,0.64,25
S3_DATASET_BALANCED,123,bits,0.9230769230769232,0.9767441860465116,0.875,0.7348272642390289,0.75,36
S3_DATASET_BALANCED,123,weda,0.7540983606557377,0.6388888888888888,0.92,0.6773504273504273,0.68,25
S5_DATASET_BALANCED,7,bits,0.896551724137931,1.0,0.8125,0.8648581692059953,0.8611111111111112,36
S5_DATASET_BALANCED,7,weda,0.6086956521739131,0.4772727272727273,0.84,0.921417797888386,0.92,25
S5_DATASET_BALANCED,123,bits,0.8131868131868132,0.8604651162790697,0.7708333333333334,0.7730605285592498,0.7777777777777778,36
S5_DATASET_BALANCED,123,weda,0.7666666666666667,0.6571428571428571,0.92,0.5444444444444444,0.56,25
L6_FALL2_DIRW15,42,bits,0.8888888888888888,0.9523809523809524,0.8333333333333334,0.8106162843004948,0.8055555555555556,36
L6_FALL2_DIRW15,42,weda,0.7540983606557377,0.6388888888888888,0.92,0.5568627450980391,0.56,25
L7_FALL2_DIRW20,42,bits,0.9090909090909092,1.0,0.8333333333333334,0.8513457556935817,0.8611111111111112,36
L7_FALL2_DIRW20,42,weda,0.7368421052631579,0.65625,0.84,0.7206140350877194,0.72,25
REF_CURRENT_E3_ARTIFACT,42,bits,0.945054945054945,1.0,0.8958333333333334,0.9350469350469351,0.9444444444444444,36
REF_CURRENT_E3_ARTIFACT,42,weda,0.6857142857142857,0.5333333333333333,0.96,0.8390350877192981,0.84,25
