run_id,seed,best_threshold,val_best_fall_f1,test_e3_fall_f1_tuned,test_e6_bits_fall_f1_tuned,test_e7_weda_fall_f1_tuned
L1_FALL_WCE,42,0.5799999999999997,0.8951048951048951,0.8079470198675497,0.8539325842696629,0.7419354838709677
L2_FALL_WCE,42,0.7999999999999996,0.87248322147651,0.8435374149659864,0.896551724137931,0.7666666666666667
L5_FALL_WCE,42,0.6699999999999997,0.8289473684210527,0.8421052631578947,0.9130434782608696,0.7333333333333333
FL1_FALL_FOCAL,42,0.5499999999999998,0.8592592592592593,0.8169014084507042,0.8705882352941177,0.7368421052631579
FL2_FALL_FOCAL,42,0.7699999999999997,0.8,0.8322147651006712,0.8863636363636364,0.7540983606557377
FL3_FALL_FOCAL,42,0.5899999999999997,0.8611111111111112,0.8493150684931506,0.9213483146067416,0.7368421052631579
FL4_FALL_FOCAL,42,0.5299999999999998,0.8366013071895425,0.8235294117647058,0.8888888888888888,0.7301587301587301
S1_DATASET_BALANCED,42,0.8999999999999996,0.8076923076923077,0.8333333333333334,0.9247311827956988,0.6984126984126984
S2_DATASET_BALANCED,42,0.8699999999999996,0.7950310559006211,0.8456375838926175,0.9333333333333332,0.711864406779661
S4_DATASET_BALANCED,42,0.7299999999999996,0.8,0.8129032258064516,0.8571428571428571,0.75
FA0_RAW6,42,0.7199999999999996,0.8857142857142857,0.8368794326241135,0.8705882352941177,0.7857142857142857
FA1_FA1_ACC_MAG7,42,0.8999999999999996,0.8435374149659864,0.8378378378378378,0.898876404494382,0.7457627118644068
FA2_FA2_MAG8,42,0.6499999999999997,0.8435374149659864,0.8258064516129032,0.9111111111111112,0.7076923076923077
FA3_MAG_JERK9,42,0.5299999999999998,0.8827586206896552,0.8194444444444444,0.8735632183908046,0.7368421052631579
FA4_FA4_ROLL_PITCH8,42,0.7599999999999997,0.8955223880597015,0.8137931034482758,0.8837209302325582,0.711864406779661
FA5_FA5_TILT9,42,0.6899999999999997,0.8648648648648649,0.7757575757575758,0.8367346938775511,0.6865671641791045
FA6_FA6_NO_JERK11,42,0.8899999999999996,0.9154929577464788,0.8387096774193549,0.8936170212765957,0.7540983606557377
FA7_FA7_NO_GYRO_MAG11,42,0.8899999999999996,0.8652482269503546,0.8333333333333334,0.8837209302325582,0.7586206896551724
FA8_TILT12,42,0.8999999999999996,0.8666666666666667,0.8783783783783784,0.9213483146067416,0.8135593220338984
W050_WIDTH,42,0.5099999999999998,0.8444444444444444,0.7919463087248322,0.8602150537634409,0.6785714285714286
W075_WIDTH,42,0.8699999999999996,0.8333333333333334,0.8387096774193549,0.9230769230769232,0.71875
W100_WIDTH,42,0.8999999999999996,0.8666666666666667,0.8783783783783784,0.9213483146067416,0.8135593220338984
W125_WIDTH,42,0.6999999999999996,0.8732394366197183,0.8378378378378378,0.8913043478260869,0.75
D48_24_HEAD,42,0.5799999999999997,0.9006622516556292,0.7948717948717948,0.875,0.6666666666666666
D32_16_HEAD,42,0.4099999999999998,0.8450704225352113,0.8666666666666667,0.9230769230769232,0.7796610169491526
B0_BASE_A5WCEFW,42,0.8999999999999996,0.863013698630137,0.8435374149659864,0.898876404494382,0.7586206896551724
L3_FALL_WCE,42,0.8299999999999996,0.8811188811188811,0.8732394366197183,0.9090909090909092,0.8148148148148148
L4_FALL_WCE,42,0.7999999999999996,0.8133333333333334,0.8289473684210527,0.9090909090909092,0.71875
S3_DATASET_BALANCED,42,0.5399999999999998,0.8271604938271605,0.8496732026143791,0.945054945054945,0.7096774193548387
S5_DATASET_BALANCED,42,0.8999999999999996,0.8163265306122449,0.8356164383561644,0.9213483146067416,0.7017543859649122
L3_FALL_WCE,7,0.6699999999999997,0.8767123287671232,0.7924528301886793,0.8602150537634409,0.696969696969697
L3_FALL_WCE,123,0.2699999999999999,0.8143712574850299,0.7790697674418605,0.8888888888888888,0.6301369863013698
L4_FALL_WCE,7,0.7899999999999996,0.8648648648648649,0.7804878048780488,0.9111111111111112,0.6216216216216216
L4_FALL_WCE,123,0.6099999999999998,0.8176100628930818,0.8072289156626506,0.8775510204081632,0.7058823529411765
S3_DATASET_BALANCED,7,0.8099999999999996,0.8513513513513513,0.8187919463087249,0.8863636363636364,0.7213114754098361
S3_DATASET_BALANCED,123,0.7999999999999996,0.8648648648648649,0.8552631578947368,0.9230769230769232,0.7540983606557377
S5_DATASET_BALANCED,7,0.8999999999999996,0.863013698630137,0.7692307692307693,0.896551724137931,0.6086956521739131
S5_DATASET_BALANCED,123,0.7199999999999996,0.8285714285714286,0.7947019867549668,0.8131868131868132,0.7666666666666667
L6_FALL2_DIRW15,42,0.7999999999999996,0.8951048951048951,0.8344370860927153,0.8888888888888888,0.7540983606557377
L7_FALL2_DIRW20,42,0.7299999999999996,0.8714285714285714,0.8413793103448276,0.9090909090909092,0.7368421052631579
