epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,loss,val_direction_output_accuracy,val_direction_output_loss,val_fall_output_accuracy,val_fall_output_loss,val_loss,val_fall_f1,val_direction_macro_f1,val_domain_score,learning_rate
1,0.3365841507911682,0.14352253079414368,0.8387096524238586,0.4038274586200714,0.9512372612953186,0.9545454382896423,0.10278596729040146,0.9024063944816589,0.6542903184890747,1.303176760673523,0.0,0.20454545454545456,0.20454545454545456,0.0010000000474974513
2,0.5131282806396484,0.12384876608848572,0.9054763913154602,0.23906192183494568,0.6005449295043945,0.9545454382896423,0.10231099277734756,0.9024063944816589,0.7520309090614319,1.4526751041412354,0.0,0.20454545454545456,0.20454545454545456,0.0010000000474974513
3,0.621905505657196,0.12046334147453308,0.9307326674461365,0.19886361062526703,0.5198050141334534,0.9331550598144531,0.1014605388045311,0.9024063944816589,0.8502965569496155,1.6175174713134766,0.0,0.31954887218045114,0.31954887218045114,0.0010000000474974513
4,0.6651663184165955,0.12251465022563934,0.933483362197876,0.18084487318992615,0.4816088378429413,0.4839572310447693,0.1011611819267273,0.9024063944816589,1.0522788763046265,1.9735642671585083,0.0,0.400909681611436,0.400909681611436,0.0010000000474974513
5,0.6701675653457642,0.11388558149337769,0.945236325263977,0.15427148342132568,0.41430962085723877,0.6082887649536133,0.09870558232069016,0.9117646813392639,0.9006579518318176,1.7134456634521484,0.175,0.39891304347826084,0.5739130434782609,0.0005000000237487257
6,0.690172553062439,0.11163011193275452,0.953238308429718,0.13730062544345856,0.38757607340812683,0.7727272510528564,0.09283804893493652,0.9398396015167236,0.6190465092658997,1.2196552753448486,0.5544554455445545,0.46541381323990016,1.0198692587844547,0.0005000000237487257
7,0.6961740255355835,0.11181086301803589,0.9602400660514832,0.11597335338592529,0.34490594267845154,0.7754010558128357,0.08750806003808975,0.9558823704719543,0.4064992368221283,0.8527600169181824,0.736,0.5116310892172962,1.2476310892172962,0.0005000000237487257
8,0.7024255990982056,0.10874422639608383,0.9634908437728882,0.10489077121019363,0.31794071197509766,0.7526738047599792,0.08261484652757645,0.970588207244873,0.3200754225254059,0.6968058943748474,0.8382352941176471,0.6109529814447847,1.449188275562432,0.0005000000237487257
9,0.7279319763183594,0.10670872777700424,0.9629907608032227,0.10497968643903732,0.3142668306827545,0.7433155179023743,0.07953248172998428,0.9572192430496216,0.2866816520690918,0.6378209590911865,0.7894736842105263,0.5662643367561401,1.3557380209666663,0.0005000000237487257
10,0.6771692633628845,0.10634680837392807,0.9649912714958191,0.09805712848901749,0.3041093945503235,0.7647058963775635,0.07921449095010757,0.9639037251472473,0.26321926712989807,0.5903318524360657,0.8187919463087249,0.6069223985890653,1.42571434489779,0.0005000000237487257
11,0.6981745362281799,0.10961325466632843,0.972243070602417,0.08656799793243408,0.27730676531791687,0.7473261952400208,0.0778127983212471,0.9371657967567444,0.2569945454597473,0.578859806060791,0.7314285714285714,0.481359649122807,1.2127882205513785,0.0005000000237487257
12,0.6914228796958923,0.10386351495981216,0.9697424173355103,0.08698537945747375,0.2792189419269562,0.8101603984832764,0.07926798611879349,0.9625668525695801,0.3402121067047119,0.7250987887382507,0.8055555555555556,0.5717576140461712,1.377313169601727,0.0005000000237487257
13,0.7181795239448547,0.10301810503005981,0.9697424173355103,0.07955075800418854,0.26244401931762695,0.653743326663971,0.0779258981347084,0.9558823704719543,0.27589452266693115,0.611585259437561,0.7898089171974523,0.5940035273368607,1.383812444534313,0.0005000000237487257
14,0.6879220008850098,0.10263897478580475,0.9752438068389893,0.06453520804643631,0.2314799427986145,0.6818181872367859,0.07519734650850296,0.9625668525695801,0.2872847020626068,0.6357414126396179,0.8157894736842105,0.6040552995391705,1.419844773223381,0.0005000000237487257
15,0.6756688952445984,0.1012968197464943,0.9827457070350647,0.05725716054439545,0.21594354510307312,0.6951871514320374,0.07628724724054337,0.9585561752319336,0.3165077865123749,0.6872056722640991,0.7947019867549668,0.6169818316648127,1.4116838184197795,0.0002500000118743628
