epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,loss,val_direction_output_accuracy,val_direction_output_loss,val_fall_output_accuracy,val_fall_output_loss,val_loss,learning_rate
1,0.4667108356952667,0.17223809659481049,0.7905194163322449,0.4406878352165222,0.6990567445755005,0.569193959236145,0.3116306960582733,0.7355539202690125,0.6005371809005737,1.0681848526000977,0.0010000000474974513
2,0.5212886929512024,0.14460346102714539,0.819109320640564,0.38290441036224365,0.5997937321662903,0.5360692143440247,0.3543611764907837,0.7543246150016785,0.5952439904212952,1.1272563934326172,0.0010000000474974513
3,0.5392500162124634,0.1314026117324829,0.8319140672683716,0.3581854999065399,0.5553022623062134,0.5878726243972778,0.36192384362220764,0.7530364394187927,0.6447114944458008,1.1880428791046143,0.0010000000474974513
4,0.5300406813621521,0.12263383716344833,0.8406187891960144,0.336762011051178,0.5207350850105286,0.6066433787345886,0.29140257835388184,0.7638019919395447,0.648695170879364,1.0863087177276611,0.0010000000474974513
5,0.5056611895561218,0.11145918816328049,0.8479357957839966,0.3241015076637268,0.4913041293621063,0.48076921701431274,0.33492112159729004,0.7690467238426208,0.6519501805305481,1.154895544052124,0.0010000000474974513
6,0.5013877153396606,0.1068660169839859,0.8497492671012878,0.31142458319664,0.47171780467033386,0.5373573899269104,0.4052909016609192,0.7442031502723694,0.5959201455116272,1.2045443058013916,0.0005000000237487257
7,0.5018450021743774,0.09367166459560394,0.8623490333557129,0.28390195965766907,0.4244491457939148,0.5509753227233887,0.3806287348270416,0.7693227529525757,0.7129232287406921,1.284788966178894,0.0005000000237487257
8,0.5036742687225342,0.08732977509498596,0.8678683042526245,0.27162691950798035,0.4026234447956085,0.48730218410491943,0.29295846819877625,0.7385903596878052,0.6487947106361389,1.0888984203338623,0.0005000000237487257
9,0.5184028744697571,0.0836142897605896,0.8704860210418701,0.2640324831008911,0.3894530236721039,0.5057048201560974,0.3192327320575714,0.7491718530654907,0.6539458632469177,1.133329153060913,0.0005000000237487257
10,0.5075219869613647,0.08013355731964111,0.8738606572151184,0.2557485103607178,0.37593021988868713,0.5437062978744507,0.3988734483718872,0.7489878535270691,0.7865047454833984,1.3857210874557495,0.0005000000237487257
11,0.5035954117774963,0.07799879461526871,0.8781814575195312,0.2496975213289261,0.3667016923427582,0.5368973016738892,0.439336359500885,0.722212016582489,0.766278862953186,1.426393985748291,0.0002500000118743628
