epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,learning_rate,loss,val_direction_macro_f1,val_direction_output_accuracy,val_direction_output_loss,val_domain_score,val_fall_f1,val_fall_output_accuracy,val_fall_output_loss,val_loss
0,0.16019615530967712,0.19439224898815155,0.8226399421691895,0.3885013461112976,0.0010000000474974513,0.6830114126205444,0.1818181818181818,0.9396135210990906,0.08586373180150986,0.1818181818181818,0.0,0.9033816456794739,0.513032078742981,0.7197859883308411
1,0.1810380071401596,0.16752637922763824,0.9109113216400146,0.19694849848747253,0.0010000000474974513,0.45706358551979065,0.15384615384615385,0.028985507786273956,0.08599135279655457,0.15384615384615385,0.0,0.9033816456794739,0.4971659779548645,0.7206359505653381
2,0.2120964378118515,0.1642717868089676,0.9480997323989868,0.15190894901752472,0.0010000000474974513,0.39173778891563416,0.16352201257861634,0.03140096738934517,0.0861997976899147,0.16352201257861634,0.0,0.9033816456794739,0.5069125294685364,0.7472991347312927
3,0.22762566804885864,0.16025200486183167,0.9521863460540771,0.12265805900096893,0.0010000000474974513,0.36309224367141724,0.16352201257861634,0.03140096738934517,0.0864461213350296,0.16352201257861634,0.0,0.9033816456794739,0.5363752841949463,0.7952930331230164
4,0.2533714771270752,0.1619146317243576,0.9734368324279785,0.1262737512588501,0.0010000000474974513,0.33475685119628906,0.16352201257861634,0.03140096738934517,0.08663840591907501,0.16352201257861634,0.0,0.9033816456794739,0.5701630115509033,0.8437626957893372
5,0.1810380071401596,0.1582184135913849,0.9619942903518677,0.08267603814601898,0.0010000000474974513,0.32575732469558716,0.16352201257861634,0.03140096738934517,0.086967833340168,0.16352201257861634,0.0,0.9033816456794739,0.6082113981246948,0.8961999416351318
6,0.37556192278862,0.14807966351509094,0.9767061471939087,0.08424945175647736,0.0010000000474974513,0.30970969796180725,0.16352201257861634,0.03140096738934517,0.08766646683216095,0.16352201257861634,0.0,0.9033816456794739,0.6551340818405151,0.9593685865402222
7,0.23988556861877441,0.14936591684818268,0.9762974977493286,0.0701407715678215,0.0010000000474974513,0.2920912206172943,0.16352201257861634,0.03140096738934517,0.08928674459457397,0.16352201257861634,0.0,0.9033816456794739,0.7130224704742432,1.0374778509140015
8,0.19411523640155792,0.13946779072284698,0.9771148562431335,0.05265539139509201,0.0010000000474974513,0.26822629570961,0.16352201257861634,0.03140096738934517,0.08995307236909866,0.16352201257861634,0.0,0.9033816456794739,0.8171725273132324,1.1713298559188843
9,0.22272169589996338,0.13523539900779724,0.9914180636405945,0.032698363065719604,0.0010000000474974513,0.2367144376039505,0.16352201257861634,0.03140096738934517,0.09211020916700363,0.16352201257861634,0.0,0.9033816456794739,0.8895702362060547,1.266463279724121
