class_name,feature,n_target,n_rest,AUROC,abs_auc,cohens_d,ks_statistic,median_target,median_rest
backward,post_pitch_mean,167,427,0.1784907935884671,0.8215092064115329,-1.1924408846446246,0.5348833948029,-0.1465369015932083,0.2270678430795669
backward,post_ax_mean,167,427,0.8118750788820486,0.8118750788820486,1.1826122538752017,0.5450784613442904,1.1132475137710571,-3.332054853439331
backward,ax_mean,167,427,0.7749793153739359,0.7749793153739359,0.9863233196090763,0.43838786127978235,-1.4905238,-5.6321297
backward,integrated_ax,167,427,0.7749793153739359,0.7749793153739359,0.9863233276415093,0.43838786127978235,-2.9810476,-11.264258
backward,gy_mean,167,427,0.24958981334754377,0.7504101866524562,-0.8857528438921289,0.3974533368859471,-0.70629865,-0.12701598
backward,integrated_gy,167,427,0.24958981334754377,0.7504101866524562,-0.8857528443344023,0.3974533368859471,-1.4125973,-0.25403193
backward,pitch_mean,167,427,0.2503470810136168,0.7496529189863832,-0.9215734359690311,0.3930639891177832,0.16125245,0.49791932
backward,gy_median,167,427,0.27296694666872345,0.7270330533312765,-0.7576904978650819,0.35559326312246703,-0.3575958,-0.007452555
backward,ax_median,167,427,0.7269068420535978,0.7269068420535978,0.8302687665362123,0.346225581623638,-1.8142016,-5.26054
backward,ax_min,167,427,0.7223211656312668,0.7223211656312668,0.8390875485949747,0.3280231106872905,-19.3,-31.369787
backward,peak_signed_ax,167,427,0.7135915522584807,0.7135915522584807,0.7585071939213318,0.3349086370584358,2.807441,-30.675861
backward,pitch_median,167,427,0.28888359113155426,0.7111164088684457,-0.7777754431820476,0.32956569297003185,0.18832794,0.5603739
backward,pre_gy_mean,167,427,0.298938422919968,0.7010615770800319,-0.7666851632160218,0.31327041467416455,-0.6813278794288635,-0.1760810911655426
backward,pitch_min,167,427,0.3047862121190873,0.6952137878809127,-0.6569879174595962,0.30318753593515546,-1.2215158,-0.8959713
backward,acc_mag_max,167,427,0.33553969344683,0.66446030655317,-0.6241530578062806,0.26849345804877367,39.261642,46.98946
backward,acc_mag_peak_value,167,427,0.33553969344683,0.66446030655317,-0.6241530578062806,0.26849345804877367,39.261642,46.98946
backward,delta_pitch_window,167,427,0.3373767687108219,0.6626232312891781,-0.5782648968129025,0.2828254498029702,-0.6612084731459618,-0.3087650239467621
backward,acc_mag_range,167,427,0.3455664782846485,0.6544335217153515,-0.5922515641430667,0.25574611900321137,36.747753,43.19954
backward,ax_final_initial,167,427,0.6540969583082079,0.6540969583082079,0.4879814349329789,0.30013041832026816,7.4793897,4.255933
backward,acc_mag_mean,167,427,0.34873578370191705,0.651264216298083,-0.4788248442252303,0.28317603668541136,11.925568,13.109544
backward,pitch_std,167,427,0.6505630425332005,0.6505630425332005,0.5447469155068784,0.25759721774250094,0.6221035,0.5172961
backward,peak_signed_gy,167,427,0.3529638615041579,0.6470361384958421,-0.5083095001682426,0.2554235790713655,-4.541172,-2.1375
backward,pitch_iqr,167,427,0.6457389670308096,0.6457389670308096,0.5833346011520136,0.26387973467584735,0.9561904259026052,0.6822994463145733
backward,gy_min,167,427,0.35627340167440297,0.6437265983255971,-0.5046920011692347,0.24365788329663857,-5.1737375,-3.647059
backward,pitch_final_initial,167,427,0.35773885484300716,0.6422611451569928,-0.48499583801200136,0.2264931495323171,-0.89195216,-0.54932696
backward,pre_ax_mean,167,427,0.6378998443394243,0.6378998443394243,0.5260344684735161,0.2995414323577669,-4.703996658325195,-6.973582267761231
backward,acc_mag_std,167,427,0.36225441388884994,0.6377455861111501,-0.5336115641041296,0.2334628167552483,7.471067,8.890124
backward,acc_mag_p95,167,427,0.37197268227012015,0.6280273177298799,-0.4822270846268421,0.21238553338288294,26.262526798248288,30.902910232543945
backward,ay_max,167,427,0.3744618491354527,0.6255381508645472,-0.4549137425373613,0.21374581048675484,11.653608,16.882418
backward,ax_range,167,427,0.3778344949445372,0.6221655050554629,-0.487507312641886,0.21433479644925604,38.816235,46.48199
backward,ay_final_initial,167,427,0.3795032885049573,0.6204967114950427,-0.395928889572094,0.22371650142338273,-1.0421052,1.7277858
backward,post_gy_mean,167,427,0.38070930738055503,0.619290692619445,-0.43583888380189606,0.18386178462746638,-0.2400401830673217,-0.0057586752809584
backward,ax_max,167,427,0.6187087183945925,0.6187087183945925,0.25910544033020083,0.2517494285433816,17.310526,12.292311
backward,post_impact_energy,167,427,0.38277075824930934,0.6172292417506906,-0.381155631462565,0.19889495014654532,166.1920703125,205.214375
backward,pre_impact_energy,167,427,0.3857717819630061,0.6142282180369939,-0.36412801444523063,0.19317337222510483,155.92052734375,193.2390234375
backward,ay_range,167,427,0.3864168618266979,0.6135831381733021,-0.42978656692021366,0.18668050316229368,32.921494,39.492836
backward,pre_roll_mean,167,427,0.607567067270611,0.607567067270611,0.4007460195464622,0.18982176162896688,-0.3137284517288208,-0.5704689621925354
backward,ax_iqr,167,427,0.6071463630116816,0.6071463630116816,0.3290614900849691,0.20756145788049193,8.203043438494205,6.658035039901733
backward,pre_ay_mean,167,427,0.6061927666914415,0.6061927666914415,0.36509949243952056,0.17037120139112874,-1.9114351272583008,-2.711153507232666
backward,jerk_max,167,427,0.3988977548416049,0.6011022451583952,-0.4203400998733604,0.17143698551375003,340.8164,376.7488
backward,pre_acc_mag_std,167,427,0.3990940834957719,0.6009059165042281,-0.3977524582426767,0.176779929602154,5.257983684539795,6.321046829223633
backward,jerk_std,167,427,0.40546074128090426,0.5945392587190957,-0.413000942003503,0.17745305641644113,111.69674,120.438576
backward,post_acc_mag_std,167,427,0.40576925773745254,0.5942307422625475,-0.3645667768661411,0.15641784346996873,5.954078197479248,7.032803535461426
backward,pitch_range,167,427,0.5898694414449789,0.5898694414449789,0.23514252920090686,0.18728351260009254,2.3506231,2.1688008
backward,gyro_mag_iqr,167,427,0.5864056430464598,0.5864056430464598,0.23537459202329225,0.1985443632641041,2.7510673105716705,2.2626612782478333
backward,pitch_max,167,427,0.41715631967914285,0.5828436803208572,-0.6064701085211093,0.2010124949164902,1.2887089,1.352759
backward,gy_std,167,427,0.5820443422288912,0.5820443422288912,0.3115407159572005,0.17023096663815226,1.7119887,1.498248
backward,az_min,167,427,0.5790713654657897,0.5790713654657897,0.2752786266750403,0.15697878248187466,-12.455555,-16.05791
backward,acc_mag_median,167,427,0.421138986663675,0.578861013336325,-0.23448931453261382,0.15525389502026393,9.988937,10.189789
backward,pre_az_mean,167,427,0.5788469898610273,0.5788469898610273,0.2721089680249472,0.16359786282236463,2.702754497528076,1.943208932876587
backward,pre_pitch_mean,167,427,0.4232845783842152,0.5767154216157848,-0.37995991388128764,0.21645234121920096,0.5427515506744385,0.6874417662620544
backward,ax_std,167,427,0.42336871923600106,0.5766312807639989,-0.35026785908908636,0.19669326452481453,7.7511373,8.227521
backward,az_range,167,427,0.42517774754939763,0.5748222524506024,-0.30941474773633626,0.1424644855488087,37.85509,40.76272
backward,roll_median,167,427,0.5720175573910726,0.5720175573910726,0.33199218156492893,0.16237782047146923,-0.4474068,-0.6299585
backward,gx_median,167,427,0.5708465972037191,0.5708465972037191,0.23796603167628969,0.137149588411,0.1125,0.0075747278
backward,acc_mag_min,167,427,0.4307731141931594,0.5692268858068406,-0.2269490379601205,0.14497468762708773,3.281482,3.8408976
backward,gy_range,167,427,0.567698326999397,0.567698326999397,0.2556637522129171,0.15641784346996873,8.336111,7.1357145
backward,ay_median,167,427,0.5676282096229088,0.5676282096229088,0.25040301323150765,0.15191630789942365,-2.0762517,-2.6853366
backward,ay_std,167,427,0.43328331627143835,0.5667166837285617,-0.2882656401163567,0.14232425079583222,6.3878818,6.728341
backward,az_std,167,427,0.4335637857773913,0.5664362142226087,-0.22923515617102197,0.15399178224347557,6.5933084,7.4673176
backward,roll_final_initial,167,427,0.43395644308572545,0.5660435569142745,-0.1893583298063834,0.17286737999411014,0.0010684729,0.4437161
backward,gy_max,167,427,0.43467164032590555,0.5653283596740944,-0.14237493317869565,0.1428150724312499,2.7415633,3.2177937
backward,gyro_mag_p95,167,427,0.5645149981068308,0.5645149981068308,0.1965348722219537,0.1280763998934216,6.899282693862914,6.273851442337036
backward,gyro_mag_std,167,427,0.5643186694526637,0.5643186694526637,0.1978122852485486,0.1267722166907403,2.1318395,1.9721147
backward,gyro_mag_mean,167,427,0.5636595661136743,0.5636595661136743,0.1331574786919971,0.15854941171521125,2.9214666,2.605747
backward,post_gx_mean,167,427,0.5635333548359954,0.5635333548359954,0.18652253588765028,0.14061338680951913,-0.0486553907394409,-0.2618733644485473
backward,gx_min,167,427,0.43834579085388936,0.5616542091461106,-0.1363903709896851,0.14085178588957917,-5.811111,-4.924307
backward,delta_roll_window,167,427,0.4391451289458554,0.5608548710541446,-0.19901460141194396,0.125229634407999,-0.0691711604595184,0.2018209844827652
backward,gx_std,167,427,0.5605884250234893,0.5605884250234893,0.12299799499899627,0.1736106241848855,2.3615036,2.0452983
backward,post_az_mean,167,427,0.4418937301041944,0.5581062698958056,-0.13859444952397676,0.13273219369224082,2.8756954669952397,4.666646957397461
backward,gx_range,167,427,0.5579940820934244,0.5579940820934244,0.1393045829048879,0.1384537716136813,11.764885,10.206581
backward,post_ay_mean,167,427,0.4467178056065854,0.5532821943934145,-0.11642432512943804,0.16570138411701188,-3.629668951034546,-2.5159645080566406
backward,roll_mean,167,427,0.5523426215484721,0.5523426215484721,0.2598057942520472,0.14145479532737804,-0.33788976,-0.40779847
backward,post_gyro_mag_std,167,427,0.5470978417871517,0.5470978417871517,0.14036091960306593,0.12312611311335175,2.0028812885284424,1.760833978652954
backward,pre_gx_mean,167,427,0.4531265338176107,0.5468734661823893,-0.12045063967724919,0.14061338680951913,0.2482124119997024,0.3383571207523346
backward,pre_gyro_mag_std,167,427,0.5453589308502433,0.5453589308502433,0.13477050001646512,0.13794892650296597,1.609067440032959,1.4075095653533936
backward,post_gz_mean,167,427,0.5450644378689927,0.5450644378689927,0.13955615538725305,0.10124949164902046,-0.0536442585289478,-0.1388191133737564
backward,tilt_delta_final,167,427,0.5418670855011288,0.5418670855011288,0.09455511559197931,0.11106592435737424,0.1435101,-0.0765264
backward,gz_final_initial,167,427,0.5417899563869918,0.5417899563869918,0.1378878280496312,0.11288897614606852,0.3,0.14742267
backward,gyro_mag_range,167,427,0.5415585690445806,0.5415585690445806,0.09784339395408198,0.10723751560111627,9.002128,8.303455
backward,peak_signed_ay,167,427,0.4593108864238735,0.5406891135761265,-0.1765968521225473,0.15472100295895327,-19.968422,-15.433024
backward,gyro_mag_max,167,427,0.5382490288743357,0.5382490288743357,0.09066403466103093,0.08592183314869091,9.186154,8.667243
