model_name,model_type,input_type,task_supported,params_or_model_size,E3 Fall F1,E3 Fall Precision,E3 Fall Recall,E3 Direction Macro F1,E3 Direction Accuracy,E6 BITS Fall F1,E6 BITS Direction Macro F1,E7 WEDA Fall F1,E7 WEDA Precision,E7 WEDA Recall,E7 WEDA Direction Macro F1,notes
DS-Fall-RD A5WCEFW,deep_temporal,temporal_tilt12,multitask_fall_direction,65959,0.8322981366459627,0.7613636363636364,0.9178082191780822,0.8966626725247414,0.9016393442622951,0.945054945054945,0.9350469350469351,0.6857142857142857,0.5333333333333333,0.96,0.8390350877192981,reference saved predictions
hist_gradient_boosting,classical_feature,summary_features,fall_only,,0.9395973154362416,0.9210526315789473,0.958904109589041,,,0.9375,,0.9433962264150944,0.8928571428571429,1.0,,fall-only summary feature classifier
hist_gradient_boosting,classical_feature,summary_features,direction_only,,,,,0.8596491228070176,0.8688524590163934,,0.8732563732563733,,,,0.8337912087912088,direction-only summary feature classifier
