model_name,task,feature,class_name,native_importance,signed_coefficient,permutation_importance_mean,permutation_importance_std
logistic_regression,direction_classification,ax_mean,,0.08415392542253801,,0.0,0.0
logistic_regression,direction_classification,ax_mean,forward,0.03071103140570714,0.03071103140570714,,
logistic_regression,direction_classification,ax_mean,backward,0.0955198567280997,0.0955198567280997,,
logistic_regression,direction_classification,ax_mean,lateral,0.12623088813380717,-0.12623088813380717,,
logistic_regression,direction_classification,ax_std,,0.41212551198821873,,0.020520053853387198,0.021765326519860552
logistic_regression,direction_classification,ax_std,forward,0.6181882679823264,0.6181882679823264,,
logistic_regression,direction_classification,ax_std,backward,0.3885314457046397,-0.3885314457046397,,
logistic_regression,direction_classification,ax_std,lateral,0.22965682227769005,-0.22965682227769005,,
logistic_regression,direction_classification,ax_min,,0.22139133207159364,,0.03806872539999475,0.012999759998100296
logistic_regression,direction_classification,ax_min,forward,0.28177672379023505,-0.28177672379023505,,
logistic_regression,direction_classification,ax_min,backward,0.33208699810739156,0.33208699810739156,,
logistic_regression,direction_classification,ax_min,lateral,0.050310274317154326,-0.050310274317154326,,
logistic_regression,direction_classification,ax_max,,0.14848843287367533,,0.02077123193443402,0.011947257803073798
logistic_regression,direction_classification,ax_max,forward,0.22273264931051284,-0.22273264931051284,,
logistic_regression,direction_classification,ax_max,backward,0.14544574196824542,0.14544574196824542,,
logistic_regression,direction_classification,ax_max,lateral,0.07728690734226774,0.07728690734226774,,
logistic_regression,direction_classification,ax_range,,0.11135130769834345,,0.015988180694063114,0.007994090347031557
logistic_regression,direction_classification,ax_range,forward,0.07920721707416568,0.07920721707416568,,
logistic_regression,direction_classification,ax_range,backward,0.16702696154751512,-0.16702696154751512,,
logistic_regression,direction_classification,ax_range,lateral,0.08781974447334953,0.08781974447334953,,
logistic_regression,direction_classification,ax_final_initial,,0.3204941888215136,,0.05433533080591908,0.004805244148346512
logistic_regression,direction_classification,ax_final_initial,forward,0.4807412832322708,0.4807412832322708,,
logistic_regression,direction_classification,ax_final_initial,backward,0.05247824265957133,-0.05247824265957133,,
