model_name,task,feature,class_name,native_importance,signed_coefficient,permutation_importance_mean,permutation_importance_std
logistic_regression,fall_detection,ax_mean,,0.35676082457284314,0.35676082457284314,-0.006386251248151997,0.006335250083844969
logistic_regression,fall_detection,ax_std,,0.11344722723666678,0.11344722723666678,-0.008220786846741079,0.0035231943628890147
logistic_regression,fall_detection,ax_min,,0.6202497186704817,-0.6202497186704817,-0.0006318193611821066,0.005629511243165558
logistic_regression,fall_detection,ax_max,,0.5914628479065043,0.5914628479065043,0.002953449139468223,0.00851427543633325
logistic_regression,fall_detection,ax_range,,0.7879154618705264,0.7879154618705264,0.012563305990175277,0.008526577385549867
logistic_regression,fall_detection,ax_final_initial,,0.28560268318793797,0.28560268318793797,-0.016548635103579224,0.004323488156611973
logistic_regression,fall_detection,ax_median,,0.4678746074796072,-0.4678746074796072,-0.0074878382632501015,0.011345341729018906
logistic_regression,fall_detection,ax_iqr,,0.43479497313486065,-0.43479497313486065,-0.021731636516690765,0.00933252876448342
logistic_regression,fall_detection,peak_signed_ax,,0.06435951823602619,0.06435951823602619,-0.0012918379330593144,0.0025836758661186288
logistic_regression,fall_detection,integrated_ax,,0.3567599536854762,0.3567599536854762,-0.008145608866250664,0.007607720278459574
logistic_regression,fall_detection,ay_mean,,0.6419856094421879,0.6419856094421879,-0.021280155736262674,0.011113757417142529
logistic_regression,fall_detection,ay_std,,0.4193922713585048,0.4193922713585048,-0.003531081282601112,0.005796625495868845
logistic_regression,fall_detection,ay_min,,0.13197648138859316,-0.13197648138859316,0.002278332354668189,0.005917661498984005
logistic_regression,fall_detection,ay_max,,0.37122590782923837,0.37122590782923837,0.0022474932705797367,0.01219418172564743
logistic_regression,fall_detection,ay_range,,0.27665079631351097,0.27665079631351097,-0.011675616900408326,0.003908402256018545
logistic_regression,fall_detection,ay_final_initial,,0.3646968993834068,0.3646968993834068,-0.018317407783056683,0.0037942053355794524
logistic_regression,fall_detection,ay_median,,0.534299817766785,-0.534299817766785,-0.007510622496560648,0.008718344040961645
logistic_regression,fall_detection,ay_iqr,,0.474186662982654,0.474186662982654,0.005007586122345353,0.011498436803066513
logistic_regression,fall_detection,peak_signed_ay,,0.3122882639950883,-0.3122882639950883,-0.0020904286553142136,0.01145731154257573
logistic_regression,fall_detection,integrated_ay,,0.641986304195598,0.641986304195598,-0.013921442779955152,0.004937419868777196
logistic_regression,fall_detection,az_mean,,0.4080141489819387,-0.4080141489819387,-0.015287104752753656,0.004127987055900613
logistic_regression,fall_detection,az_std,,2.6009562723098707,2.6009562723098707,0.25387801102629337,0.02693428289631858
logistic_regression,fall_detection,az_min,,0.006080021448930625,-0.006080021448930625,0.0,0.0
logistic_regression,fall_detection,az_max,,0.8327208508289271,0.8327208508289271,0.019373999897236406,0.004590783236684873
logistic_regression,fall_detection,az_range,,0.5082733631031783,0.5082733631031783,0.008774037319884131,0.008656063538497665
logistic_regression,fall_detection,az_final_initial,,0.33281591768175234,-0.33281591768175234,-0.0010651517841293145,0.007101011894194898
logistic_regression,fall_detection,az_median,,0.3573222710331636,-0.3573222710331636,-0.005140040148028824,0.0061742341051391056
logistic_regression,fall_detection,az_iqr,,0.22291914796561685,-0.22291914796561685,-0.01960939823535246,0.0036258584817458386
logistic_regression,fall_detection,peak_signed_az,,0.2739463457504175,-0.2739463457504175,-0.009556141237305837,0.007395631340194657
logistic_regression,fall_detection,integrated_az,,0.4080138427352753,-0.4080138427352753,-0.012187049591629773,0.008227744325925507
logistic_regression,fall_detection,gx_mean,,0.3074233189272747,0.3074233189272747,-0.023525329632199908,0.004854762646049337
logistic_regression,fall_detection,gx_std,,1.8641877810223966,-1.8641877810223966,0.0030686768445453926,0.013379706183561515
logistic_regression,fall_detection,gx_min,,0.49214882117695696,-0.49214882117695696,-0.0009273769213963057,0.0033634791818249027
logistic_regression,fall_detection,gx_max,,0.46230280618160513,-0.46230280618160513,-0.02305682205240265,0.005192536671471966
logistic_regression,fall_detection,gx_range,,0.04612043917108725,0.04612043917108725,-0.003875513799177943,0.0031643437663670124
logistic_regression,fall_detection,gx_final_initial,,0.13417393641134054,0.13417393641134054,-0.006459189665296572,0.0
logistic_regression,fall_detection,gx_median,,0.01704531601251331,0.01704531601251331,-0.0012918379330593144,0.0025836758661186288
logistic_regression,fall_detection,gx_iqr,,0.01985017240371522,0.01985017240371522,-0.0012918379330593144,0.0025836758661186288
logistic_regression,fall_detection,peak_signed_gx,,0.04728939424248526,0.04728939424248526,-0.0030498763323191015,0.003807358093268109
logistic_regression,fall_detection,integrated_gx,,0.30742359878858294,0.30742359878858294,-0.02218071201598726,0.0064496652299424395
logistic_regression,fall_detection,gy_mean,,0.11186605745710615,-0.11186605745710615,0.005061382785508384,0.00315497784401411
logistic_regression,fall_detection,gy_std,,0.6033754324045139,-0.6033754324045139,-0.013996894889893707,0.00972041296491015
logistic_regression,fall_detection,gy_min,,0.05061981522130789,0.05061981522130789,-0.007032153597039148,0.0035160767985195737
logistic_regression,fall_detection,gy_max,,0.22472536290881018,-0.22472536290881018,0.0012722646310432406,0.0025445292620864812
logistic_regression,fall_detection,gy_range,,0.14905407509437554,-0.14905407509437554,-0.008327550312283183,0.004861041142378433
logistic_regression,fall_detection,gy_final_initial,,0.06516227009004508,-0.06516227009004508,-0.006569511913023396,0.005862237913100053
logistic_regression,fall_detection,gy_median,,0.4771734715934109,0.4771734715934109,-0.029357243576704772,0.00578885576355828
logistic_regression,fall_detection,gy_iqr,,0.13072463789079988,0.13072463789079988,-0.0020904286553141914,0.006049415804077372
logistic_regression,fall_detection,peak_signed_gy,,0.011873508764461574,-0.011873508764461574,0.0,0.0
logistic_regression,fall_detection,integrated_gy,,0.11186615889493001,-0.11186615889493001,0.0032724740198554424,0.005654310201112944
logistic_regression,fall_detection,gz_mean,,0.28544204647580373,0.28544204647580373,-0.0006355462544438862,0.00742866503086444
logistic_regression,fall_detection,gz_std,,1.9948198088851092,-1.9948198088851092,0.007804490877829817,0.010051471824524342
logistic_regression,fall_detection,gz_min,,0.13738040219381936,-0.13738040219381936,-0.006928948913681765,0.004862064954664587
logistic_regression,fall_detection,gz_max,,0.3158190936170517,-0.3158190936170517,-0.02858050903720506,0.0031886523416322404
logistic_regression,fall_detection,gz_range,,0.10016060205299047,-0.10016060205299047,-0.008327550312283183,0.004861041142378432
logistic_regression,fall_detection,gz_final_initial,,0.25018347074892033,0.25018347074892033,-0.0007840219576861207,0.005836146990062328
logistic_regression,fall_detection,gz_median,,1.007276833670727,-1.007276833670727,0.006909734352342234,0.008972529244440253
logistic_regression,fall_detection,gz_iqr,,0.3368983714892694,0.3368983714892694,-0.013921442779955152,0.004937419868777196
