direction,feature,n_bits,n_weda,bits_median,weda_median,median_delta_bits_minus_weda,cohens_d_bits_vs_weda,ks_statistic
backward,tilt_delta_std,41,126,2.678751,6.5736815,-3.8949305,-2.4755176354753794,0.8315911730545877
backward,ax_min,41,126,-3.4993653,-22.973685,19.4743197,2.1904403735003735,0.8072009291521487
backward,pitch_range,41,126,1.4286349,2.5042716,-1.0756367,-2.565824439307644,0.7992644212156407
backward,pitch_max,41,126,0.36438274,1.3846912,-1.02030846,-3.2707911583928952,0.7981029810298103
backward,jerk_std,41,126,43.186424,121.49616499999999,-78.30974099999999,-2.151929527261716,0.7737127371273713
backward,tilt_delta_p95,41,126,4.1448002457618704,10.659929227828972,-6.515128982067101,-2.0645288962828654,0.7499032133178475
backward,tilt_delta_iqr,41,126,2.359742686152458,4.982472449541092,-2.6227297633886337,-1.53649679556635,0.735191637630662
backward,az_range,41,126,14.838783,42.715003499999995,-27.876220499999995,-1.4825763537945569,0.7346109175377468
backward,gy_range,41,126,4.31784,9.547990500000001,-5.230150500000001,-1.3942088358659341,0.6949283778552071
backward,pitch_std,41,126,0.3937954,0.66154905,-0.26775364999999995,-1.9255194479436892,0.6881533101045296
backward,jerk_p95,41,126,62.29031982421866,187.53981475830062,-125.24949493408195,-1.8010869693328664,0.6846689895470384
backward,jerk_iqr,41,126,28.474480390548703,67.51154088973999,-39.037060499191284,-1.4293567162949243,0.6796360820751065
backward,gyro_mag_std,41,126,1.2307329,2.3535778499999997,-1.1228449499999997,-1.480994526518123,0.6773132017034456
backward,pre_ax_mean,41,126,2.9739623069763184,-5.883976221084595,8.857938528060913,1.5656011476432243,0.6722802942315137
backward,jerk_max,41,126,132.47745,372.23699999999997,-239.75954999999996,-1.4890649050980596,0.667634533488192
backward,ax_range,41,126,17.037619,44.1820175,-27.1443985,-1.6495452766445007,0.6670538133952768
backward,az_max,41,126,11.500788,26.857205999999998,-15.356417999999998,-1.3143992450851159,0.664924506387921
backward,acc_mag_std,41,126,4.1267514,8.0892095,-3.962458100000001,-1.4998599126353827,0.6626016260162602
backward,ay_min,41,126,-8.451054,-23.63374,15.182686,1.65546760072731,0.6608594657375145
backward,pre_pitch_mean,41,126,-0.2670166194438934,0.6808552443981171,-0.9478718638420105,-1.5689810204462076,0.654084397986837
backward,gyro_mag_range,41,126,4.923211,9.9287505,-5.005539499999999,-1.3320073542300102,0.6523422377080914
backward,pre_gyro_mag_std,41,126,0.9293448328971864,1.7512935996055603,-0.8219487667083739,-1.1846004707653952,0.6467286101432443
backward,pitch_mean,41,126,-0.38872802,0.283008965,-0.671736985,-1.6234722226065617,0.6387921022067363
backward,ax_std,41,126,4.431756,8.240885,-3.8091290000000004,-1.597109147211922,0.6382113821138211
backward,acc_mag_range,41,126,18.107183,39.205264,-21.098081,-1.4498795364472055,0.6376306620209059
backward,gyro_mag_max,41,126,5.302532,10.2769955,-4.9744635,-1.2546151540815338,0.6353077816492451
backward,gyro_mag_peak_value,41,126,5.302532,10.2769955,-4.9744635,-1.2546151540815338,0.6353077816492451
backward,ay_range,41,126,16.507542,37.445291499999996,-20.937749499999995,-1.5293879540220063,0.629694154084398
backward,gyro_mag_iqr,41,126,1.4230348467826843,2.917112797498703,-1.4940779507160187,-1.4026355579791716,0.6234998064266357
backward,tilt_delta_max,41,126,7.4991584,16.675147000000003,-9.175988600000004,-1.3495352264563298,0.6211769260549749
backward,ax_mean,41,126,4.3089986,-2.6103578,6.9193564,1.6016602834445142,0.6200154858691445
backward,integrated_ax,41,126,8.617996,-5.220715,13.838711,1.60166029786863,0.6200154858691445
backward,roll_range,41,126,3.1989903,5.81448055,-2.6154902499999997,-1.6667976710729842,0.6200154858691445
backward,roll_min,41,126,-1.1708874,-2.9370618,1.7661744,1.8479067708391714,0.6126596980255516
backward,acc_mag_max,41,126,24.046104,42.3660755,-18.3199715,-1.2708816138465733,0.6058846302748742
backward,acc_mag_peak_value,41,126,24.046104,42.3660755,-18.3199715,-1.2708816138465733,0.6058846302748742
backward,gy_min,41,126,-2.7056444,-5.9969859,3.2913415,1.313110092229609,0.5979481223383663
backward,post_gyro_mag_std,41,126,1.0285401344299316,2.1700843572616577,-1.141544222831726,-1.0439140363225008,0.5979481223383663
backward,gz_range,41,126,4.156083,9.2442135,-5.088130500000001,-1.2906179297729918,0.5911730545876888
backward,acc_mag_p95,41,126,19.69143772125244,28.4180462360382,-8.72660851478576,-1.3442584975776446,0.5826558265582655
backward,ax_median,41,126,3.7126884,-2.8649076,6.577596,1.5453631948655109,0.5820751064653503
backward,pitch_median,41,126,-0.3656928,0.313850435,-0.6795432349999999,-1.4396886055084355,0.5820751064653503
backward,gyro_mag_p95,41,126,4.712589502334594,7.335768115520474,-2.62317861318588,-1.1435316291976902,0.5797522260936895
backward,acc_mag_min,41,126,5.890149,2.81304155,3.07710745,1.5495446487753914,0.5791715060007743
backward,peak_signed_ay,41,126,-5.817431,-22.8331985,17.015767500000003,0.7553213540757195,0.5747193186217576
backward,peak_signed_az,41,126,10.598652,25.1571895,-14.558537500000002,-0.37877902116732787,0.5696864111498258
backward,az_min,41,126,-3.3212366,-14.808232,11.4869954,0.8648555259810085,0.5650406504065041
backward,peak_signed_ax,41,126,13.860034,-19.272917,33.132951,0.737571534507367,0.5629113433991483
backward,gx_range,41,126,6.3468895,12.529778,-6.182888500000001,-1.1841128046678404,0.5553619821912504
backward,post_acc_mag_std,41,126,3.515864372253418,6.817155361175537,-3.301290988922119,-1.3488762554165474,0.5520712349980643
