epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,learning_rate,loss,val_direction_macro_f1,val_direction_output_accuracy,val_direction_output_loss,val_domain_score,val_fall_f1,val_fall_output_accuracy,val_fall_output_loss,val_loss
0,0.11491935700178146,0.26304182410240173,0.7755376100540161,0.4840031564235687,0.0010000000474974513,0.8793193697929382,0.17647058823529413,0.9269406199455261,0.15102975070476532,0.17647058823529413,0.0,0.8858447670936584,0.5960015058517456,0.7495658993721008
1,0.44825267791748047,0.21905571222305298,0.8743279576301575,0.25324466824531555,0.0010000000474974513,0.5857798457145691,0.17647058823529413,0.9269406199455261,0.15110640227794647,0.17647058823529413,0.0,0.8858447670936584,0.5826970338821411,0.7260467410087585
2,0.41129031777381897,0.21224868297576904,0.9455645084381104,0.16041678190231323,0.0010000000474974513,0.48108556866645813,0.04938271604938271,0.10502283275127411,0.15118728578090668,0.04938271604938271,0.0,0.8858447670936584,0.5845823287963867,0.717592716217041
3,0.3561827838420868,0.20723098516464233,0.9663978219032288,0.1061270534992218,0.0010000000474974513,0.4188781976699829,0.09195402298850575,0.14611871540546417,0.15127190947532654,0.09195402298850575,0.0,0.8858447670936584,0.5939034223556519,0.7190972566604614
4,0.38104838132858276,0.19494515657424927,0.9845430254936218,0.07188144326210022,0.0010000000474974513,0.366823673248291,0.1111111111111111,0.04566210135817528,0.15136003494262695,0.1111111111111111,0.0,0.8858447670936584,0.6113611459732056,0.7275616526603699
5,0.39448925852775574,0.18783585727214813,0.9852150678634644,0.0589882992208004,0.0010000000474974513,0.33933717012405396,0.17647058823529413,0.04566210135817528,0.15153385698795319,0.17647058823529413,0.0,0.8858447670936584,0.6342275142669678,0.7416248917579651
6,0.41801074147224426,0.1776624470949173,0.988575279712677,0.044879794120788574,0.0010000000474974513,0.3126368820667267,0.17647058823529413,0.04109589010477066,0.1518334597349167,0.17647058823529413,0.0,0.8858447670936584,0.667445719242096,0.7647619843482971
7,0.35282257199287415,0.16534748673439026,0.9879032373428345,0.04218912124633789,0.0010000000474974513,0.28918686509132385,0.17647058823529413,0.04109589010477066,0.15256324410438538,0.17647058823529413,0.0,0.8858447670936584,0.7048749327659607,0.7933778166770935
8,0.4543010890483856,0.15731339156627655,0.9905914068222046,0.03324564918875694,0.0010000000474974513,0.27103203535079956,0.17647058823529413,0.04109589010477066,0.15354867279529572,0.17647058823529413,0.0,0.8858447670936584,0.7441351413726807,0.8244508504867554
9,0.3884408473968506,0.1456458866596222,0.9919354915618896,0.0329752191901207,0.0010000000474974513,0.24992649257183075,0.17647058823529413,0.04109589010477066,0.15475179255008698,0.17647058823529413,0.0,0.8858447670936584,0.7665615677833557,0.8430076241493225
